"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",   -200.79
"Instparm: W",    459.98
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.10
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -196.95
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.03
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,205.356,1.0,206.947,206.915,0.711
10.01,213.195,1.0,206.971,206.938,0.712
10.02,217.641,1.0,206.994,206.961,0.712
10.03,227.099,1.0,207.017,206.984,0.713
10.04,219.814,1.0,207.039,207.007,0.714
10.05,230.819,1.0,207.062,207.03,0.715
10.06,212.005,1.0,207.085,207.052,0.715
10.07,200.915,1.0,207.108,207.075,0.716
10.08,191.827,1.0,207.13,207.097,0.717
10.09,191.908,1.0,207.153,207.12,0.717
10.1,199.259,1.0,207.175,207.142,0.718
10.11,209.071,1.0,207.197,207.164,0.719
10.12,215.44,1.0,207.219,207.187,0.719
10.13,216.906,1.0,207.241,207.209,0.72
10.14,205.222,1.0,207.263,207.231,0.721
10.15,205.811,1.0,207.285,207.252,0.722
10.16,217.769,1.0,207.307,207.274,0.722
10.17,216.285,1.0,207.329,207.296,0.723
10.18,216.0,1.0,207.351,207.318,0.724
10.19,208.766,1.0,207.372,207.339,0.724
10.2,204.384,1.0,207.394,207.361,0.725
10.21,204.904,1.0,207.415,207.382,0.726
10.22,196.871,1.0,207.436,207.403,0.727
10.23,189.68,1.0,207.458,207.424,0.727
10.24,194.415,1.0,207.479,207.445,0.728
10.25,213.042,1.0,207.5,207.466,0.729
10.26,211.393,1.0,207.521,207.487,0.729
10.27,196.578,1.0,207.542,207.508,0.73
10.28,208.515,1.0,207.562,207.529,0.731
10.29,217.205,1.0,207.583,207.55,0.732
10.3,218.0,1.0,207.604,207.57,0.732
10.31,196.402,1.0,207.624,207.591,0.733
10.32,195.799,1.0,207.645,207.611,0.734
10.33,207.69,1.0,207.665,207.631,0.734
10.34,206.303,1.0,207.685,207.651,0.735
10.35,210.492,1.0,207.705,207.671,0.736
10.36,212.796,1.0,207.725,207.691,0.736
10.37,210.307,1.0,207.745,207.711,0.737
10.38,209.103,1.0,207.765,207.731,0.738
10.39,210.794,1.0,207.785,207.751,0.739
10.4,218.173,1.0,207.805,207.771,0.739
10.41,214.519,1.0,207.824,207.79,0.74
10.42,205.041,1.0,207.844,207.81,0.741
10.43,220.12,1.0,207.863,207.829,0.741
10.44,219.314,1.0,207.882,207.848,0.742
10.45,216.316,1.0,207.901,207.867,0.743
10.46,215.106,1.0,207.921,207.886,0.744
10.47,221.258,1.0,207.94,207.905,0.744
10.48,214.85,1.0,207.959,207.924,0.745
10.49,202.387,1.0,207.977,207.943,0.746
10.5,204.572,1.0,207.996,207.962,0.746
10.51,226.422,1.0,208.015,207.98,0.747
10.52,230.784,1.0,208.033,207.999,0.748
10.53,224.757,1.0,208.052,208.017,0.749
10.54,199.931,1.0,208.07,208.035,0.749
10.55,203.238,1.0,208.088,208.054,0.75
10.56,199.546,1.0,208.106,208.072,0.751
10.57,205.232,1.0,208.125,208.09,0.751
10.58,201.55,1.0,208.142,208.108,0.752
10.59,212.565,1.0,208.16,208.126,0.753
10.6,236.23,1.0,208.178,208.143,0.753
10.61,231.889,1.0,208.196,208.161,0.754
10.62,217.673,1.0,208.213,208.178,0.755
10.63,192.022,1.0,208.231,208.196,0.756
10.64,217.406,1.0,208.248,208.213,0.756
10.65,215.676,1.0,208.265,208.23,0.757
10.66,204.357,1.0,208.283,208.248,0.758
10.67,203.887,1.0,208.3,208.265,0.758
10.68,228.813,1.0,208.317,208.282,0.759
10.69,217.827,1.0,208.334,208.298,0.76
10.7,233.708,1.0,208.35,208.315,0.761
10.71,236.885,1.0,208.367,208.332,0.761
10.72,218.422,1.0,208.384,208.348,0.762
10.73,201.852,1.0,208.4,208.365,0.763
10.74,203.536,1.0,208.417,208.381,0.763
10.75,192.515,1.0,208.433,208.397,0.764
10.76,195.416,1.0,208.449,208.414,0.765
10.77,198.648,1.0,208.465,208.43,0.766
10.78,203.412,1.0,208.481,208.446,0.766
10.79,215.465,1.0,208.497,208.461,0.767
10.8,210.829,1.0,208.513,208.477,0.768
10.81,200.307,1.0,208.529,208.493,0.768
10.82,207.808,1.0,208.544,208.508,0.769
10.83,217.804,1.0,208.56,208.524,0.77
10.84,207.56,1.0,208.575,208.539,0.771
10.85,206.88,1.0,208.591,208.554,0.771
10.86,203.483,1.0,208.606,208.57,0.772
10.87,211.789,1.0,208.621,208.585,0.773
10.88,222.663,1.0,208.636,208.6,0.773
10.89,210.829,1.0,208.651,208.614,0.774
10.9,207.245,1.0,208.666,208.629,0.775
10.91,221.037,1.0,208.68,208.644,0.775
10.92,205.462,1.0,208.695,208.658,0.776
10.93,203.877,1.0,208.709,208.673,0.777
10.94,218.894,1.0,208.724,208.687,0.778
10.95,224.503,1.0,208.738,208.701,0.778
10.96,209.244,1.0,208.752,208.715,0.779
10.97,195.626,1.0,208.766,208.729,0.78
10.98,195.749,1.0,208.78,208.743,0.78
10.99,216.98,1.0,208.794,208.757,0.781
11.0,229.611,1.0,208.808,208.771,0.782
11.01,224.887,1.0,208.821,208.784,0.783
11.02,210.033,1.0,208.835,208.798,0.783
11.03,195.784,1.0,208.848,208.811,0.784
11.04,202.722,1.0,208.862,208.825,0.785
11.05,200.513,1.0,208.875,208.838,0.785
11.06,210.456,1.0,208.888,208.851,0.786
11.07,216.355,1.0,208.901,208.864,0.787
11.08,198.718,1.0,208.914,208.877,0.788
11.09,216.014,1.0,208.927,208.889,0.788
11.1,198.995,1.0,208.94,208.902,0.789
11.11,210.779,1.0,208.952,208.915,0.79
11.12,228.641,1.0,208.965,208.927,0.79
11.13,233.606,1.0,208.977,208.939,0.791
11.14,220.109,1.0,208.989,208.952,0.792
11.15,194.57,1.0,209.002,208.964,0.792
11.16,210.949,1.0,209.014,208.976,0.793
11.17,190.592,1.0,209.026,208.988,0.794
11.18,203.464,1.0,209.037,209.0,0.795
11.19,214.661,1.0,209.049,209.011,0.795
11.2,203.014,1.0,209.061,209.023,0.796
11.21,199.269,1.0,209.072,209.034,0.797
11.22,193.81,1.0,209.084,209.046,0.797
11.23,199.052,1.0,209.095,209.057,0.798
11.24,212.098,1.0,209.106,209.068,0.799
11.25,219.182,1.0,209.118,209.079,0.8
11.26,213.094,1.0,209.129,209.09,0.8
11.27,206.823,1.0,209.139,209.101,0.801
11.28,202.55,1.0,209.15,209.112,0.802
11.29,214.931,1.0,209.161,209.122,0.802
11.3,230.787,1.0,209.171,209.133,0.803
11.31,217.497,1.0,209.182,209.143,0.804
11.32,208.974,1.0,209.192,209.154,0.805
11.33,214.023,1.0,209.203,209.164,0.805
11.34,212.42,1.0,209.213,209.174,0.806
11.35,216.298,1.0,209.223,209.184,0.807
11.36,235.902,1.0,209.233,209.194,0.807
11.37,237.282,1.0,209.242,209.204,0.808
11.38,218.974,1.0,209.252,209.213,0.809
11.39,202.273,1.0,209.262,209.223,0.809
11.4,199.142,1.0,209.271,209.232,0.81
11.41,216.143,1.0,209.281,209.242,0.811
11.42,199.296,1.0,209.29,209.251,0.812
11.43,195.144,1.0,209.299,209.26,0.812
11.44,212.118,1.0,209.308,209.269,0.813
11.45,226.121,1.0,209.317,209.278,0.814
11.46,216.884,1.0,209.326,209.287,0.814
11.47,197.907,1.0,209.335,209.295,0.815
11.48,200.979,1.0,209.343,209.304,0.816
11.49,206.269,1.0,209.352,209.312,0.817
11.5,202.733,1.0,209.36,209.321,0.817
11.51,209.677,1.0,209.369,209.329,0.818
11.52,226.346,1.0,209.377,209.337,0.819
11.53,217.07,1.0,209.385,209.345,0.819
11.54,207.335,1.0,209.393,209.353,0.82
11.55,216.215,1.0,209.401,209.361,0.821
11.56,214.597,1.0,209.408,209.368,0.822
11.57,210.598,1.0,209.416,209.376,0.822
11.58,211.7,1.0,209.423,209.384,0.823
11.59,203.504,1.0,209.431,209.391,0.824
11.6,199.453,1.0,209.438,209.398,0.824
11.61,210.034,1.0,209.445,209.405,0.825
11.62,216.242,1.0,209.452,209.412,0.826
11.63,224.631,1.0,209.46,209.419,0.826
11.64,214.135,1.0,209.466,209.426,0.827
11.65,214.541,1.0,209.473,209.433,0.828
11.66,209.074,1.0,209.48,209.439,0.829
11.67,203.769,1.0,209.486,209.446,0.829
11.68,214.841,1.0,209.493,209.452,0.83
11.69,207.701,1.0,209.499,209.458,0.831
11.7,219.518,1.0,209.505,209.464,0.831
11.71,218.622,1.0,209.511,209.47,0.832
11.72,226.44,1.0,209.517,209.476,0.833
11.73,227.156,1.0,209.523,209.482,0.834
11.74,201.704,1.0,209.529,209.488,0.834
11.75,209.641,1.0,209.535,209.493,0.835
11.76,202.734,1.0,209.54,209.499,0.836
11.77,198.474,1.0,209.545,209.504,0.836
11.78,202.207,1.0,209.551,209.509,0.837
11.79,204.682,1.0,209.556,209.515,0.838
11.8,192.391,1.0,209.561,209.52,0.839
11.81,202.603,1.0,209.566,209.524,0.839
11.82,216.756,1.0,209.571,209.529,0.84
11.83,198.857,1.0,209.575,209.534,0.841
11.84,189.967,1.0,209.58,209.538,0.841
11.85,193.192,1.0,209.585,209.543,0.842
11.86,195.676,1.0,209.589,209.547,0.843
11.87,200.188,1.0,209.593,209.551,0.843
11.88,206.86,1.0,209.597,209.556,0.844
11.89,206.327,1.0,209.601,209.56,0.845
11.9,198.474,1.0,209.605,209.563,0.846
11.91,202.851,1.0,209.609,209.567,0.846
11.92,206.506,1.0,209.613,209.571,0.847
11.93,209.505,1.0,209.616,209.574,0.848
11.94,214.173,1.0,209.62,209.578,0.848
11.95,217.502,1.0,209.623,209.581,0.849
11.96,202.995,1.0,209.627,209.584,0.85
11.97,208.332,1.0,209.63,209.587,0.851
11.98,218.327,1.0,209.633,209.59,0.851
11.99,209.18,1.0,209.636,209.593,0.852
12.0,205.336,1.0,209.638,209.596,0.853
12.01,214.146,1.0,209.641,209.599,0.853
12.02,218.493,1.0,209.644,209.601,0.854
12.03,214.017,1.0,209.646,209.603,0.855
12.04,198.888,1.0,209.648,209.606,0.856
12.05,200.978,1.0,209.651,209.608,0.856
12.06,216.926,1.0,209.653,209.61,0.857
12.07,193.48,1.0,209.655,209.612,0.858
12.08,192.142,1.0,209.657,209.614,0.858
12.09,207.902,1.0,209.658,209.615,0.859
12.1,208.518,1.0,209.66,209.617,0.86
12.11,219.578,1.0,209.662,209.618,0.86
12.12,227.786,1.0,209.663,209.62,0.861
12.13,214.957,1.0,209.664,209.621,0.862
12.14,205.395,1.0,209.666,209.622,0.863
12.15,198.224,1.0,209.667,209.623,0.863
12.16,192.052,1.0,209.668,209.624,0.864
12.17,191.824,1.0,209.668,209.625,0.865
12.18,213.42,1.0,209.669,209.626,0.865
12.19,222.94,1.0,209.67,209.626,0.866
12.2,212.479,1.0,209.67,209.627,0.867
12.21,210.822,1.0,209.671,209.627,0.868
12.22,229.085,1.0,209.671,209.627,0.868
12.23,211.639,1.0,209.671,209.627,0.869
12.24,206.179,1.0,209.671,209.627,0.87
12.25,208.462,1.0,209.671,209.627,0.87
12.26,202.438,1.0,209.671,209.627,0.871
12.27,205.099,1.0,209.671,209.627,0.872
12.28,216.651,1.0,209.67,209.626,0.872
12.29,219.819,1.0,209.67,209.625,0.873
12.3,223.274,1.0,209.669,209.625,0.874
12.31,205.187,1.0,209.668,209.624,0.875
12.32,206.723,1.0,209.667,209.623,0.875
12.33,203.098,1.0,209.666,209.622,0.876
12.34,197.917,1.0,209.665,209.621,0.877
12.35,216.587,1.0,209.664,209.619,0.877
12.36,221.816,1.0,209.663,209.618,0.878
12.37,210.587,1.0,209.661,209.617,0.879
12.38,203.926,1.0,209.66,209.615,0.88
12.39,198.928,1.0,209.658,209.613,0.88
12.4,198.814,1.0,209.656,209.611,0.881
12.41,195.746,1.0,209.654,209.609,0.882
12.42,186.058,1.0,209.652,209.607,0.882
12.43,191.312,1.0,209.65,209.605,0.883
12.44,201.932,1.0,209.648,209.603,0.884
12.45,210.492,1.0,209.645,209.6,0.885
12.46,205.511,1.0,209.643,209.598,0.885
12.47,200.758,1.0,209.64,209.595,0.886
12.48,190.278,1.0,209.638,209.592,0.887
12.49,198.526,1.0,209.635,209.589,0.887
12.5,205.046,1.0,209.632,209.586,0.888
12.51,201.956,1.0,209.629,209.583,0.889
12.52,203.425,1.0,209.625,209.58,0.889
12.53,190.267,1.0,209.622,209.576,0.89
12.54,183.771,1.0,209.619,209.573,0.891
12.55,197.524,1.0,209.615,209.569,0.892
12.56,200.194,1.0,209.611,209.566,0.892
12.57,206.448,1.0,209.608,209.562,0.893
12.58,195.112,1.0,209.604,209.558,0.894
12.59,186.365,1.0,209.6,209.554,0.894
12.6,188.218,1.0,209.596,209.55,0.895
12.61,193.021,1.0,209.591,209.545,0.896
12.62,206.055,1.0,209.587,209.541,0.897
12.63,218.638,1.0,209.583,209.536,0.897
12.64,216.986,1.0,209.578,209.532,0.898
12.65,216.802,1.0,209.573,209.527,0.899
12.66,209.784,1.0,209.568,209.522,0.899
12.67,216.013,1.0,209.563,209.517,0.9
12.68,223.606,1.0,209.558,209.512,0.901
12.69,219.398,1.0,209.553,209.507,0.902
12.7,219.6,1.0,209.548,209.501,0.902
12.71,196.018,1.0,209.543,209.496,0.903
12.72,189.201,1.0,209.537,209.49,0.904
12.73,197.783,1.0,209.531,209.484,0.904
12.74,204.788,1.0,209.526,209.479,0.905
12.75,208.393,1.0,209.52,209.473,0.906
12.76,216.173,1.0,209.514,209.467,0.906
12.77,212.424,1.0,209.508,209.46,0.907
12.78,214.184,1.0,209.501,209.454,0.908
12.79,215.796,1.0,209.495,209.448,0.909
12.8,227.132,1.0,209.489,209.441,0.909
12.81,230.795,1.0,209.482,209.435,0.91
12.82,212.734,1.0,209.475,209.428,0.911
12.83,208.0,1.0,209.469,209.421,0.911
12.84,203.241,1.0,209.462,209.414,0.912
12.85,198.829,1.0,209.455,209.407,0.913
