"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.283694
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -8.66
"Instparm: W",     15.78
"Instparm: X",      3.82
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.07
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -472.02
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.04
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,227.802,1.0,233.665,233.665,0.731
10.01,227.0,1.0,233.632,233.632,0.732
10.02,237.013,1.0,233.598,233.598,0.732
10.03,243.459,1.0,233.565,233.565,0.733
10.04,225.809,1.0,233.532,233.532,0.734
10.05,235.819,1.0,233.499,233.499,0.735
10.06,224.276,1.0,233.466,233.466,0.735
10.07,228.451,1.0,233.433,233.433,0.736
10.08,233.541,1.0,233.4,233.4,0.737
10.09,245.801,1.0,233.368,233.368,0.737
10.1,237.018,1.0,233.335,233.335,0.738
10.11,247.792,1.0,233.303,233.303,0.739
10.12,231.772,1.0,233.271,233.271,0.74
10.13,220.03,1.0,233.238,233.238,0.74
10.14,230.778,1.0,233.206,233.206,0.741
10.15,235.623,1.0,233.174,233.174,0.742
10.16,231.473,1.0,233.143,233.143,0.742
10.17,236.43,1.0,233.111,233.111,0.743
10.18,231.572,1.0,233.079,233.079,0.744
10.19,218.341,1.0,233.048,233.048,0.745
10.2,222.423,1.0,233.017,233.017,0.745
10.21,240.167,1.0,232.985,232.985,0.746
10.22,235.678,1.0,232.954,232.954,0.747
10.23,235.0,1.0,232.923,232.923,0.747
10.24,239.512,1.0,232.892,232.892,0.748
10.25,240.0,1.0,232.861,232.861,0.749
10.26,245.41,1.0,232.831,232.831,0.75
10.27,225.268,1.0,232.8,232.8,0.75
10.28,233.812,1.0,232.769,232.769,0.751
10.29,227.795,1.0,232.739,232.739,0.752
10.3,216.197,1.0,232.709,232.709,0.752
10.31,220.4,1.0,232.678,232.678,0.753
10.32,217.402,1.0,232.648,232.648,0.754
10.33,240.379,1.0,232.618,232.618,0.754
10.34,243.899,1.0,232.588,232.588,0.755
10.35,237.711,1.0,232.558,232.558,0.756
10.36,235.204,1.0,232.529,232.529,0.757
10.37,228.716,1.0,232.499,232.499,0.757
10.38,229.795,1.0,232.469,232.469,0.758
10.39,230.897,1.0,232.44,232.44,0.759
10.4,240.863,1.0,232.411,232.411,0.759
10.41,247.378,1.0,232.381,232.381,0.76
10.42,239.937,1.0,232.352,232.352,0.761
10.43,229.149,1.0,232.323,232.323,0.762
10.44,226.21,1.0,232.294,232.294,0.762
10.45,228.684,1.0,232.265,232.265,0.763
10.46,241.522,1.0,232.236,232.236,0.764
10.47,243.0,1.0,232.208,232.208,0.764
10.48,232.276,1.0,232.179,232.179,0.765
10.49,225.64,1.0,232.15,232.15,0.766
10.5,237.501,1.0,232.122,232.122,0.767
10.51,254.174,1.0,232.093,232.093,0.767
10.52,256.892,1.0,232.065,232.065,0.768
10.53,239.163,1.0,232.037,232.037,0.769
10.54,228.085,1.0,232.009,232.009,0.769
10.55,230.564,1.0,231.981,231.981,0.77
10.56,253.268,1.0,231.953,231.953,0.771
10.57,255.11,1.0,231.925,231.925,0.771
10.58,238.091,1.0,231.897,231.897,0.772
10.59,218.208,1.0,231.869,231.869,0.773
10.6,212.443,1.0,231.841,231.841,0.774
10.61,224.444,1.0,231.814,231.814,0.774
10.62,219.781,1.0,231.786,231.786,0.775
10.63,228.769,1.0,231.759,231.759,0.776
10.64,240.652,1.0,231.731,231.731,0.776
10.65,230.465,1.0,231.704,231.704,0.777
10.66,229.0,1.0,231.677,231.677,0.778
10.67,244.958,1.0,231.65,231.65,0.779
10.68,249.659,1.0,231.623,231.623,0.779
10.69,226.084,1.0,231.596,231.596,0.78
10.7,231.854,1.0,231.569,231.569,0.781
10.71,232.115,1.0,231.542,231.542,0.781
10.72,226.692,1.0,231.515,231.515,0.782
10.73,222.463,1.0,231.488,231.488,0.783
10.74,232.607,1.0,231.462,231.462,0.784
10.75,245.485,1.0,231.435,231.435,0.784
10.76,233.753,1.0,231.409,231.409,0.785
10.77,232.883,1.0,231.382,231.382,0.786
10.78,241.823,1.0,231.356,231.356,0.786
10.79,235.062,1.0,231.329,231.329,0.787
10.8,228.711,1.0,231.303,231.303,0.788
10.81,236.812,1.0,231.277,231.277,0.788
10.82,242.404,1.0,231.251,231.251,0.789
10.83,230.674,1.0,231.225,231.225,0.79
10.84,221.08,1.0,231.199,231.199,0.791
10.85,226.157,1.0,231.173,231.173,0.791
10.86,227.879,1.0,231.147,231.147,0.792
10.87,227.121,1.0,231.121,231.121,0.793
10.88,220.851,1.0,231.095,231.095,0.793
10.89,232.293,1.0,231.069,231.069,0.794
10.9,226.101,1.0,231.044,231.044,0.795
10.91,231.141,1.0,231.018,231.018,0.796
10.92,232.877,1.0,230.993,230.993,0.796
10.93,233.0,1.0,230.967,230.967,0.797
10.94,224.239,1.0,230.942,230.942,0.798
10.95,212.491,1.0,230.916,230.916,0.798
10.96,232.883,1.0,230.891,230.891,0.799
10.97,238.625,1.0,230.866,230.866,0.8
10.98,228.505,1.0,230.841,230.841,0.801
10.99,212.14,1.0,230.815,230.815,0.801
11.0,219.611,1.0,230.79,230.79,0.802
11.01,236.72,1.0,230.765,230.765,0.803
11.02,231.143,1.0,230.74,230.74,0.803
11.03,225.637,1.0,230.715,230.715,0.804
11.04,222.384,1.0,230.69,230.69,0.805
11.05,230.718,1.0,230.665,230.665,0.805
11.06,225.029,1.0,230.641,230.641,0.806
11.07,215.29,1.0,230.616,230.616,0.807
11.08,231.411,1.0,230.591,230.591,0.808
11.09,233.13,1.0,230.566,230.566,0.808
11.1,237.349,1.0,230.542,230.542,0.809
11.11,233.653,1.0,230.517,230.517,0.81
11.12,256.462,1.0,230.493,230.493,0.81
11.13,236.549,1.0,230.468,230.468,0.811
11.14,226.923,1.0,230.444,230.444,0.812
11.15,238.149,1.0,230.419,230.419,0.813
11.16,230.459,1.0,230.395,230.395,0.813
11.17,235.069,1.0,230.371,230.371,0.814
11.18,236.867,1.0,230.346,230.346,0.815
11.19,228.339,1.0,230.322,230.322,0.815
11.2,233.926,1.0,230.298,230.298,0.816
11.21,249.711,1.0,230.274,230.274,0.817
11.22,227.782,1.0,230.249,230.249,0.818
11.23,219.677,1.0,230.225,230.225,0.818
11.24,231.098,1.0,230.201,230.201,0.819
11.25,244.228,1.0,230.177,230.177,0.82
11.26,227.007,1.0,230.153,230.153,0.82
11.27,237.806,1.0,230.129,230.129,0.821
11.28,236.55,1.0,230.105,230.105,0.822
11.29,246.345,1.0,230.082,230.082,0.822
11.3,235.937,1.0,230.058,230.058,0.823
11.31,222.804,1.0,230.034,230.034,0.824
11.32,221.861,1.0,230.01,230.01,0.825
11.33,222.0,1.0,229.986,229.986,0.825
11.34,231.46,1.0,229.963,229.963,0.826
11.35,240.736,1.0,229.939,229.939,0.827
11.36,235.986,1.0,229.915,229.915,0.827
11.37,231.565,1.0,229.892,229.892,0.828
11.38,225.85,1.0,229.868,229.868,0.829
11.39,225.858,1.0,229.845,229.845,0.83
11.4,249.154,1.0,229.821,229.821,0.83
11.41,254.714,1.0,229.797,229.797,0.831
11.42,235.296,1.0,229.774,229.774,0.832
11.43,228.575,1.0,229.751,229.751,0.832
11.44,217.729,1.0,229.727,229.727,0.833
11.45,223.699,1.0,229.704,229.704,0.834
11.46,233.55,1.0,229.68,229.68,0.835
11.47,229.018,1.0,229.657,229.657,0.835
11.48,229.708,1.0,229.634,229.634,0.836
11.49,224.023,1.0,229.61,229.61,0.837
11.5,233.241,1.0,229.587,229.587,0.837
11.51,240.118,1.0,229.564,229.564,0.838
11.52,234.18,1.0,229.541,229.541,0.839
11.53,239.817,1.0,229.517,229.517,0.839
11.54,244.407,1.0,229.494,229.494,0.84
11.55,228.826,1.0,229.471,229.471,0.841
11.56,237.061,1.0,229.448,229.448,0.842
11.57,233.047,1.0,229.425,229.425,0.842
11.58,226.05,1.0,229.402,229.402,0.843
11.59,224.15,1.0,229.378,229.378,0.844
11.6,221.453,1.0,229.355,229.355,0.844
11.61,214.21,1.0,229.332,229.332,0.845
11.62,224.876,1.0,229.309,229.309,0.846
11.63,222.761,1.0,229.286,229.286,0.847
11.64,213.525,1.0,229.263,229.263,0.847
11.65,229.788,1.0,229.24,229.24,0.848
11.66,226.227,1.0,229.217,229.217,0.849
11.67,228.385,1.0,229.194,229.194,0.849
11.68,237.458,1.0,229.171,229.171,0.85
11.69,224.629,1.0,229.148,229.148,0.851
11.7,240.588,1.0,229.125,229.125,0.852
11.71,241.467,1.0,229.103,229.103,0.852
11.72,229.183,1.0,229.08,229.08,0.853
11.73,217.72,1.0,229.057,229.057,0.854
11.74,216.0,1.0,229.034,229.034,0.854
11.75,219.371,1.0,229.011,229.011,0.855
11.76,207.365,1.0,228.988,228.988,0.856
11.77,224.364,1.0,228.965,228.965,0.856
11.78,211.171,1.0,228.942,228.942,0.857
11.79,221.457,1.0,228.92,228.92,0.858
11.8,222.319,1.0,228.897,228.897,0.859
11.81,215.279,1.0,228.874,228.874,0.859
11.82,233.314,1.0,228.851,228.851,0.86
11.83,240.357,1.0,228.828,228.828,0.861
11.84,238.483,1.0,228.806,228.806,0.861
11.85,231.293,1.0,228.783,228.783,0.862
11.86,231.676,1.0,228.76,228.76,0.863
11.87,237.863,1.0,228.737,228.737,0.864
11.88,232.303,1.0,228.715,228.715,0.864
11.89,239.367,1.0,228.692,228.692,0.865
11.9,241.0,1.0,228.669,228.669,0.866
11.91,230.97,1.0,228.646,228.646,0.866
11.92,244.037,1.0,228.624,228.624,0.867
11.93,230.301,1.0,228.601,228.601,0.868
11.94,214.482,1.0,228.578,228.578,0.869
11.95,224.511,1.0,228.555,228.555,0.869
11.96,228.667,1.0,228.533,228.533,0.87
11.97,215.669,1.0,228.51,228.51,0.871
11.98,208.836,1.0,228.487,228.487,0.871
11.99,205.503,1.0,228.464,228.464,0.872
12.0,223.301,1.0,228.442,228.442,0.873
12.01,230.326,1.0,228.419,228.419,0.873
12.02,223.521,1.0,228.396,228.396,0.874
12.03,217.017,1.0,228.373,228.373,0.875
12.04,220.15,1.0,228.351,228.351,0.876
12.05,230.956,1.0,228.328,228.328,0.876
12.06,231.342,1.0,228.305,228.305,0.877
12.07,231.0,1.0,228.282,228.282,0.878
12.08,235.142,1.0,228.26,228.26,0.878
12.09,238.484,1.0,228.237,228.237,0.879
12.1,239.0,1.0,228.214,228.214,0.88
12.11,243.962,1.0,228.191,228.191,0.881
12.12,235.082,1.0,228.168,228.168,0.881
12.13,226.391,1.0,228.146,228.146,0.882
12.14,225.826,1.0,228.123,228.123,0.883
12.15,227.65,1.0,228.1,228.1,0.883
12.16,218.928,1.0,228.077,228.077,0.884
12.17,225.243,1.0,228.054,228.054,0.885
12.18,212.995,1.0,228.032,228.032,0.885
12.19,207.53,1.0,228.009,228.009,0.886
12.2,222.636,1.0,227.986,227.986,0.887
12.21,228.467,1.0,227.963,227.963,0.888
12.22,235.576,1.0,227.94,227.94,0.888
12.23,241.108,1.0,227.917,227.917,0.889
12.24,237.073,1.0,227.894,227.894,0.89
12.25,234.359,1.0,227.872,227.872,0.89
12.26,231.539,1.0,227.849,227.849,0.891
12.27,223.622,1.0,227.826,227.826,0.892
12.28,226.916,1.0,227.803,227.803,0.893
12.29,224.725,1.0,227.78,227.78,0.893
12.3,223.182,1.0,227.757,227.757,0.894
12.31,231.18,1.0,227.734,227.734,0.895
12.32,238.723,1.0,227.711,227.711,0.895
12.33,232.647,1.0,227.688,227.688,0.896
12.34,228.55,1.0,227.665,227.665,0.897
12.35,219.023,1.0,227.642,227.642,0.898
12.36,226.788,1.0,227.619,227.619,0.898
12.37,229.815,1.0,227.596,227.596,0.899
12.38,220.223,1.0,227.573,227.573,0.9
12.39,213.114,1.0,227.55,227.55,0.9
12.4,220.138,1.0,227.527,227.527,0.901
12.41,234.201,1.0,227.503,227.503,0.902
12.42,221.554,1.0,227.48,227.48,0.902
12.43,207.438,1.0,227.457,227.457,0.903
12.44,221.24,1.0,227.434,227.434,0.904
12.45,231.492,1.0,227.411,227.411,0.905
12.46,219.212,1.0,227.388,227.388,0.905
12.47,230.591,1.0,227.364,227.364,0.906
12.48,224.278,1.0,227.341,227.341,0.907
12.49,223.619,1.0,227.318,227.318,0.907
12.5,230.474,1.0,227.294,227.294,0.908
12.51,232.809,1.0,227.271,227.271,0.909
12.52,241.891,1.0,227.248,227.248,0.91
12.53,228.651,1.0,227.224,227.224,0.91
12.54,219.348,1.0,227.201,227.201,0.911
12.55,223.648,1.0,227.178,227.178,0.912
12.56,220.161,1.0,227.154,227.154,0.912
12.57,225.448,1.0,227.131,227.131,0.913
12.58,231.833,1.0,227.107,227.107,0.914
12.59,227.365,1.0,227.084,227.084,0.915
12.6,238.873,1.0,227.06,227.06,0.915
12.61,217.877,1.0,227.037,227.037,0.916
12.62,219.233,1.0,227.013,227.013,0.917
12.63,206.543,1.0,226.99,226.99,0.917
12.64,223.068,1.0,226.966,226.966,0.918
12.65,232.011,1.0,226.942,226.942,0.919
12.66,214.559,1.0,226.919,226.919,0.919
12.67,214.808,1.0,226.895,226.895,0.92
12.68,211.996,1.0,226.871,226.871,0.921
12.69,213.401,1.0,226.848,226.848,0.922
12.7,223.599,1.0,226.824,226.824,0.922
12.71,230.796,1.0,226.8,226.8,0.923
12.72,229.603,1.0,226.776,226.776,0.924
12.73,213.829,1.0,226.752,226.752,0.924
12.74,202.818,1.0,226.729,226.729,0.925
12.75,232.9,1.0,226.705,226.705,0.926
12.76,248.173,1.0,226.681,226.681,0.927
12.77,240.441,1.0,226.657,226.657,0.927
12.78,238.796,1.0,226.633,226.633,0.928
12.79,227.861,1.0,226.609,226.609,0.929
12.8,240.108,1.0,226.585,226.585,0.929
12.81,239.232,1.0,226.561,226.561,0.93
12.82,226.881,1.0,226.536,226.536,0.931
12.83,232.731,1.0,226.512,226.512,0.931
12.84,238.173,1.0,226.488,226.488,0.932
12.85,227.109,1.0,226.464,226.464,0.933
12.86,214.493,1.0,226.44,226.44,0.934
12.87,227.044,1.0,226.415,226.415,0.934
12.88,218.339,1.0,226.391,226.391,0.935
12.89,215.0,1.0,226.367,226.367,0.936
12.9,218.952,1.0,226.342,226.342,0.936
12.91,227.109,1.0,226.318,226.318,0.937
12.92,225.053,1.0,226.294,226.294,0.938
12.93,224.789,1.0,226.269,226.269,0.939
12.94,222.635,1.0,226.245,226.245,0.939
12.95,215.696,1.0,226.22,226.22,0.94
12.96,226.599,1.0,226.195,226.195,0.941
12.97,233.148,1.0,226.171,226.171,0.941
12.98,225.349,1.0,226.146,226.146,0.942
12.99,223.786,1.0,226.121,226.121,0.943
13.0,219.287,1.0,226.097,226.097,0.943
13.01,214.86,1.0,226.072,226.072,0.944
13.02,211.646,1.0,226.047,226.047,0.945
13.03,226.681,1.0,226.022,226.022,0.946
13.04,213.761,1.0,225.997,225.997,0.946
13.05,221.53,1.0,225.973,225.973,0.947
13.06,243.783,1.0,225.948,225.948,0.948
13.07,245.089,1.0,225.923,225.923,0.948
13.08,236.184,1.0,225.898,225.898,0.949
13.09,222.283,1.0,225.873,225.873,0.95
13.1,216.658,1.0,225.847,225.847,0.951
13.11,223.022,1.0,225.822,225.822,0.951
13.12,237.475,1.0,225.797,225.797,0.952
13.13,223.858,1.0,225.772,225.772,0.953
13.14,213.549,1.0,225.747,225.747,0.953
13.15,233.79,1.0,225.721,225.721,0.954
13.16,234.556,1.0,225.696,225.696,0.955
13.17,215.124,1.0,225.671,225.671,0.956
13.18,206.116,1.0,225.645,225.645,0.956
13.19,218.196,1.0,225.62,225.62,0.957
13.2,224.327,1.0,225.594,225.594,0.958
13.21,216.472,1.0,225.569,225.569,0.958
13.22,225.622,1.0,225.543,225.543,0.959
13.23,223.58,1.0,225.517,225.517,0.96
13.24,221.226,1.0,225.492,225.492,0.96
13.25,239.559,1.0,225.466,225.466,0.961
13.26,237.272,1.0,225.44,225.44,0.962
13.27,224.188,1.0,225.414,225.414,0.963
13.28,211.738,1.0,225.389,225.389,0.963
13.29,214.399,1.0,225.363,225.363,0.964
13.3,213.688,1.0,225.337,225.337,0.965
13.31,213.0,1.0,225.311,225.311,0.965
13.32,210.691,1.0,225.285,225.285,0.966
13.33,221.54,1.0,225.259,225.259,0.967
13.34,232.688,1.0,225.233,225.233,0.968
13.35,222.707,1.0,225.206,225.206,0.968
13.36,220.536,1.0,225.18,225.18,0.969
13.37,224.069,1.0,225.154,225.154,0.97
13.38,220.399,1.0,225.128,225.128,0.97
13.39,211.337,1.0,225.101,225.101,0.971
13.4,215.892,1.0,225.075,225.075,0.972
13.41,218.0,1.0,225.048,225.048,0.972
13.42,227.178,1.0,225.022,225.022,0.973
13.43,241.465,1.0,224.995,224.995,0.974
13.44,241.945,1.0,224.969,224.969,0.975
13.45,228.024,1.0,224.942,224.942,0.975
13.46,232.391,1.0,224.915,224.915,0.976
13.47,231.951,1.0,224.889,224.889,0.977
13.48,233.285,1.0,224.862,224.862,0.977
13.49,230.194,1.0,224.835,224.835,0.978
13.5,231.282,1.0,224.808,224.808,0.979
13.51,223.637,1.0,224.781,224.781,0.98
13.52,215.682,1.0,224.754,224.754,0.98
13.53,218.556,1.0,224.727,224.727,0.981
13.54,217.724,1.0,224.7,224.7,0.982
