"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.462202
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -11.33
"Instparm: V",     -2.00
"Instparm: W",     16.36
"Instparm: X",      4.01
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.06
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -697.87
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,228.287,1.0,229.118,229.118,0.744
10.01,215.341,1.0,229.193,229.193,0.744
10.02,227.654,1.0,229.268,229.268,0.745
10.03,236.279,1.0,229.343,229.343,0.746
10.04,243.367,1.0,229.416,229.416,0.747
10.05,222.179,1.0,229.489,229.489,0.747
10.06,245.448,1.0,229.562,229.562,0.748
10.07,225.288,1.0,229.633,229.633,0.749
10.08,237.53,1.0,229.704,229.704,0.749
10.09,241.723,1.0,229.774,229.774,0.75
10.1,238.37,1.0,229.844,229.844,0.751
10.11,262.491,1.0,229.913,229.913,0.752
10.12,249.586,1.0,229.981,229.981,0.752
10.13,248.906,1.0,230.049,230.049,0.753
10.14,255.342,1.0,230.116,230.116,0.754
10.15,227.924,1.0,230.182,230.182,0.754
10.16,243.106,1.0,230.248,230.248,0.755
10.17,239.57,1.0,230.313,230.313,0.756
10.18,231.763,1.0,230.377,230.377,0.756
10.19,240.947,1.0,230.441,230.441,0.757
10.2,234.769,1.0,230.504,230.504,0.758
10.21,221.351,1.0,230.567,230.567,0.759
10.22,220.0,1.0,230.629,230.629,0.759
10.23,233.542,1.0,230.69,230.69,0.76
10.24,248.537,1.0,230.751,230.751,0.761
10.25,234.664,1.0,230.811,230.811,0.761
10.26,224.884,1.0,230.87,230.87,0.762
10.27,241.126,1.0,230.929,230.929,0.763
10.28,249.307,1.0,230.987,230.987,0.764
