"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.099174
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      6.28
"Instparm: V",    -29.83
"Instparm: W",     63.87
"Instparm: X",      8.04
"Instparm: Y",    -14.26
"Instparm: Z",      0.00
"Instparm: SH/L",      0.02
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.05
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,222.138,1.0,228.402,228.402,0.718
10.01,228.195,1.0,228.419,228.419,0.719
10.02,226.269,1.0,228.436,228.436,0.719
10.03,237.829,1.0,228.453,228.453,0.72
10.04,245.367,1.0,228.47,228.47,0.721
10.05,245.091,1.0,228.487,228.487,0.722
10.06,235.912,1.0,228.503,228.503,0.722
10.07,245.902,1.0,228.519,228.519,0.723
10.08,239.735,1.0,228.536,228.536,0.724
10.09,216.305,1.0,228.552,228.552,0.724
10.1,226.704,1.0,228.568,228.568,0.725
10.11,223.465,1.0,228.584,228.584,0.726
10.12,223.0,1.0,228.6,228.6,0.726
10.13,234.783,1.0,228.616,228.616,0.727
10.14,235.094,1.0,228.632,228.632,0.728
10.15,242.245,1.0,228.647,228.647,0.729
10.16,233.947,1.0,228.663,228.663,0.729
10.17,238.43,1.0,228.678,228.678,0.73
10.18,235.382,1.0,228.694,228.694,0.731
10.19,241.33,1.0,228.709,228.709,0.731
10.2,242.904,1.0,228.724,228.724,0.732
10.21,232.158,1.0,228.739,228.739,0.733
