"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.938070
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -27.67
"Instparm: V",     -2.00
"Instparm: W",    111.23
"Instparm: X",      5.60
"Instparm: Y",    -21.04
"Instparm: Z",      0.00
"Instparm: SH/L",      0.06
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",  -1693.56
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.08
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,220.891,1.0,222.073,221.981,0.777
10.01,204.52,1.0,221.894,221.801,0.778
10.02,197.539,1.0,221.716,221.624,0.779
10.03,217.927,1.0,221.54,221.448,0.78
10.04,216.362,1.0,221.366,221.274,0.78
10.05,209.636,1.0,221.194,221.102,0.781
10.06,218.997,1.0,221.024,220.931,0.782
10.07,221.817,1.0,220.855,220.762,0.782
10.08,205.653,1.0,220.688,220.595,0.783
10.09,223.971,1.0,220.523,220.43,0.784
10.1,236.889,1.0,220.36,220.266,0.785
10.11,232.558,1.0,220.198,220.104,0.785
10.12,203.891,1.0,220.038,219.944,0.786
10.13,208.251,1.0,219.879,219.785,0.787
10.14,221.684,1.0,219.722,219.628,0.787
10.15,230.245,1.0,219.567,219.473,0.788
10.16,217.42,1.0,219.414,219.319,0.789
10.17,223.24,1.0,219.262,219.167,0.79
10.18,210.431,1.0,219.111,219.017,0.79
10.19,206.287,1.0,218.962,218.868,0.791
10.2,214.135,1.0,218.815,218.721,0.792
10.21,217.711,1.0,218.67,218.575,0.792
10.22,208.065,1.0,218.526,218.431,0.793
10.23,213.32,1.0,218.383,218.288,0.794
10.24,204.073,1.0,218.242,218.147,0.794
10.25,204.804,1.0,218.103,218.007,0.795
10.26,209.509,1.0,217.965,217.869,0.796
10.27,204.592,1.0,217.828,217.733,0.797
10.28,206.703,1.0,217.693,217.598,0.797
10.29,215.106,1.0,217.56,217.464,0.798
10.3,234.006,1.0,217.428,217.332,0.799
10.31,218.001,1.0,217.297,217.201,0.799
10.32,227.694,1.0,217.168,217.072,0.8
10.33,211.915,1.0,217.04,216.944,0.801
10.34,229.774,1.0,216.914,216.818,0.802
10.35,203.249,1.0,216.789,216.693,0.802
10.36,192.815,1.0,216.666,216.569,0.803
10.37,204.568,1.0,216.544,216.447,0.804
10.38,219.461,1.0,216.423,216.326,0.804
10.39,208.442,1.0,216.304,216.207,0.805
10.4,214.173,1.0,216.186,216.088,0.806
10.41,217.689,1.0,216.069,215.972,0.807
10.42,212.625,1.0,215.954,215.856,0.807
10.43,219.164,1.0,215.84,215.742,0.808
10.44,222.686,1.0,215.727,215.629,0.809
10.45,215.842,1.0,215.616,215.518,0.809
10.46,216.789,1.0,215.505,215.407,0.81
10.47,234.881,1.0,215.397,215.299,0.811
10.48,216.445,1.0,215.289,215.191,0.811
10.49,203.28,1.0,215.183,215.084,0.812
10.5,198.428,1.0,215.078,214.979,0.813
10.51,207.818,1.0,214.974,214.875,0.814
10.52,227.736,1.0,214.871,214.773,0.814
10.53,228.216,1.0,214.77,214.671,0.815
10.54,236.915,1.0,214.67,214.571,0.816
10.55,216.614,1.0,214.571,214.472,0.816
10.56,230.923,1.0,214.473,214.374,0.817
10.57,237.452,1.0,214.377,214.277,0.818
10.58,232.66,1.0,214.281,214.182,0.819
10.59,232.0,1.0,214.187,214.087,0.819
10.6,232.889,1.0,214.094,213.994,0.82
10.61,215.223,1.0,214.002,213.902,0.821
10.62,204.115,1.0,213.911,213.811,0.821
10.63,220.761,1.0,213.822,213.721,0.822
10.64,227.438,1.0,213.733,213.633,0.823
10.65,228.0,1.0,213.646,213.545,0.824
10.66,207.6,1.0,213.559,213.459,0.824
10.67,219.185,1.0,213.474,213.373,0.825
10.68,211.252,1.0,213.39,213.289,0.826
10.69,224.173,1.0,213.307,213.206,0.826
10.7,209.177,1.0,213.225,213.123,0.827
10.71,200.805,1.0,213.144,213.042,0.828
10.72,207.077,1.0,213.064,212.962,0.828
10.73,223.917,1.0,212.985,212.883,0.829
10.74,218.045,1.0,212.907,212.805,0.83
10.75,217.883,1.0,212.83,212.728,0.831
10.76,210.935,1.0,212.754,212.652,0.831
10.77,197.642,1.0,212.679,212.577,0.832
10.78,207.47,1.0,212.605,212.503,0.833
10.79,223.993,1.0,212.532,212.43,0.833
10.8,226.0,1.0,212.46,212.358,0.834
10.81,226.881,1.0,212.389,212.286,0.835
10.82,208.503,1.0,212.319,212.216,0.836
10.83,211.282,1.0,212.25,212.147,0.836
10.84,211.12,1.0,212.182,212.079,0.837
10.85,190.768,1.0,212.114,212.011,0.838
10.86,197.672,1.0,212.048,211.945,0.838
10.87,215.698,1.0,211.983,211.879,0.839
10.88,218.0,1.0,211.918,211.815,0.84
10.89,210.975,1.0,211.855,211.751,0.841
10.9,214.388,1.0,211.792,211.688,0.841
10.91,213.245,1.0,211.73,211.626,0.842
10.92,223.523,1.0,211.669,211.565,0.843
10.93,204.84,1.0,211.609,211.504,0.843
10.94,197.619,1.0,211.55,211.445,0.844
10.95,216.266,1.0,211.491,211.386,0.845
10.96,219.0,1.0,211.434,211.329,0.845
10.97,217.25,1.0,211.377,211.272,0.846
10.98,214.376,1.0,211.321,211.216,0.847
10.99,202.636,1.0,211.266,211.161,0.848
11.0,194.884,1.0,211.212,211.106,0.848
11.01,206.227,1.0,211.158,211.052,0.849
11.02,208.873,1.0,211.105,211.0,0.85
11.03,202.02,1.0,211.053,210.948,0.85
11.04,204.489,1.0,211.002,210.896,0.851
11.05,213.718,1.0,210.952,210.846,0.852
