"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -1.110744
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",     24.91
"Instparm: V",   -118.04
"Instparm: W",     81.89
"Instparm: X",      0.70
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.08
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",  -2056.24
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",     -0.04
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,224.109,1.0,215.383,215.33,0.79
10.01,235.927,1.0,215.4,215.321,0.79
10.02,237.0,1.0,215.391,215.312,0.791
10.03,239.73,1.0,215.382,215.303,0.792
10.04,251.824,1.0,215.374,215.294,0.793
10.05,222.088,1.0,215.365,215.285,0.793
10.06,212.638,1.0,215.356,215.276,0.794
10.07,212.0,1.0,215.347,215.267,0.795
10.08,216.541,1.0,215.338,215.258,0.795
10.09,207.014,1.0,215.328,215.249,0.796
10.1,210.537,1.0,215.319,215.24,0.797
10.11,222.792,1.0,215.31,215.23,0.797
10.12,233.974,1.0,215.301,215.221,0.798
10.13,212.341,1.0,215.292,215.212,0.799
10.14,221.778,1.0,215.283,215.203,0.8
10.15,227.528,1.0,215.274,215.193,0.8
10.16,218.042,1.0,215.264,215.184,0.801
10.17,212.475,1.0,215.255,215.174,0.802
10.18,203.859,1.0,215.246,215.165,0.802
10.19,186.724,1.0,215.236,215.156,0.803
10.2,203.078,1.0,215.227,215.146,0.804
10.21,232.106,1.0,215.218,215.137,0.805
10.22,231.387,1.0,215.208,215.127,0.805
10.23,202.11,1.0,215.199,215.118,0.806
10.24,201.707,1.0,215.189,215.108,0.807
10.25,203.804,1.0,215.18,215.098,0.807
10.26,224.74,1.0,215.17,215.089,0.808
10.27,227.901,1.0,215.161,215.079,0.809
10.28,240.614,1.0,215.151,215.069,0.81
10.29,221.285,1.0,215.141,215.06,0.81
10.3,221.701,1.0,215.132,215.05,0.811
10.31,209.401,1.0,215.122,215.04,0.812
10.32,203.502,1.0,215.112,215.03,0.812
10.33,213.79,1.0,215.103,215.02,0.813
10.34,222.191,1.0,215.093,215.011,0.814
10.35,237.376,1.0,215.083,215.001,0.814
10.36,231.815,1.0,215.073,214.991,0.815
10.37,217.534,1.0,215.063,214.981,0.816
10.38,218.692,1.0,215.054,214.971,0.817
10.39,221.691,1.0,215.044,214.961,0.817
10.4,215.723,1.0,215.034,214.951,0.818
10.41,214.104,1.0,215.024,214.941,0.819
10.42,232.814,1.0,215.014,214.931,0.819
10.43,214.403,1.0,215.004,214.92,0.82
10.44,210.21,1.0,214.994,214.91,0.821
10.45,216.264,1.0,214.984,214.9,0.822
10.46,207.161,1.0,214.974,214.89,0.822
10.47,223.881,1.0,214.963,214.88,0.823
10.48,221.532,1.0,214.953,214.869,0.824
10.49,214.747,1.0,214.943,214.859,0.824
10.5,219.358,1.0,214.933,214.849,0.825
10.51,227.141,1.0,214.923,214.838,0.826
10.52,211.048,1.0,214.912,214.828,0.827
10.53,222.377,1.0,214.902,214.817,0.827
10.54,230.24,1.0,214.892,214.807,0.828
10.55,219.416,1.0,214.881,214.796,0.829
10.56,202.858,1.0,214.871,214.786,0.829
10.57,206.342,1.0,214.86,214.775,0.83
10.58,213.23,1.0,214.85,214.765,0.831
10.59,225.565,1.0,214.839,214.754,0.831
10.6,218.997,1.0,214.829,214.744,0.832
10.61,203.779,1.0,214.818,214.733,0.833
10.62,211.773,1.0,214.808,214.722,0.834
10.63,209.448,1.0,214.797,214.711,0.834
10.64,218.765,1.0,214.786,214.701,0.835
10.65,220.0,1.0,214.776,214.69,0.836
10.66,209.357,1.0,214.765,214.679,0.836
10.67,211.546,1.0,214.754,214.668,0.837
10.68,215.545,1.0,214.743,214.657,0.838
10.69,215.114,1.0,214.733,214.646,0.839
10.7,218.542,1.0,214.722,214.635,0.839
10.71,217.23,1.0,214.711,214.624,0.84
10.72,217.0,1.0,214.7,214.613,0.841
10.73,217.884,1.0,214.689,214.602,0.841
10.74,218.884,1.0,214.678,214.591,0.842
