"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",     -8.98
"Instparm: V",     -2.00
"Instparm: W",     17.75
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.06
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -319.05
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,209.555,1.0,207.671,207.671,0.711
10.01,219.106,1.0,207.659,207.659,0.712
10.02,215.449,1.0,207.647,207.647,0.712
10.03,196.802,1.0,207.635,207.635,0.713
10.04,213.191,1.0,207.623,207.623,0.714
10.05,207.726,1.0,207.611,207.611,0.715
10.06,203.365,1.0,207.599,207.599,0.715
10.07,206.634,1.0,207.586,207.586,0.716
10.08,215.173,1.0,207.574,207.574,0.717
10.09,208.738,1.0,207.562,207.562,0.717
10.1,202.555,1.0,207.55,207.55,0.718
10.11,199.279,1.0,207.538,207.538,0.719
10.12,211.694,1.0,207.526,207.526,0.719
10.13,204.843,1.0,207.513,207.513,0.72
10.14,213.06,1.0,207.501,207.501,0.721
10.15,220.34,1.0,207.489,207.489,0.722
10.16,222.811,1.0,207.477,207.477,0.722
10.17,209.426,1.0,207.464,207.464,0.723
10.18,211.618,1.0,207.452,207.452,0.724
10.19,212.904,1.0,207.44,207.44,0.724
10.2,207.577,1.0,207.428,207.428,0.725
10.21,199.772,1.0,207.415,207.415,0.726
10.22,206.225,1.0,207.403,207.403,0.727
10.23,187.138,1.0,207.391,207.391,0.727
10.24,192.22,1.0,207.378,207.378,0.728
10.25,207.434,1.0,207.366,207.366,0.729
10.26,202.688,1.0,207.353,207.353,0.729
10.27,211.915,1.0,207.341,207.341,0.73
10.28,223.812,1.0,207.329,207.329,0.731
10.29,224.099,1.0,207.316,207.316,0.732
10.3,212.296,1.0,207.304,207.304,0.732
10.31,228.099,1.0,207.291,207.291,0.733
10.32,211.109,1.0,207.279,207.279,0.734
10.33,200.008,1.0,207.266,207.266,0.734
10.34,194.506,1.0,207.254,207.254,0.735
10.35,212.868,1.0,207.241,207.241,0.736
10.36,207.815,1.0,207.229,207.229,0.736
10.37,214.182,1.0,207.216,207.216,0.737
10.38,199.745,1.0,207.204,207.204,0.738
10.39,205.176,1.0,207.191,207.191,0.739
10.4,221.243,1.0,207.179,207.179,0.739
10.41,223.896,1.0,207.166,207.166,0.74
10.42,222.208,1.0,207.153,207.153,0.741
10.43,196.925,1.0,207.141,207.141,0.741
10.44,205.637,1.0,207.128,207.128,0.742
10.45,191.788,1.0,207.115,207.115,0.743
10.46,196.261,1.0,207.103,207.103,0.744
10.47,211.305,1.0,207.09,207.09,0.744
10.48,212.106,1.0,207.077,207.077,0.745
10.49,196.814,1.0,207.065,207.065,0.746
10.5,205.715,1.0,207.052,207.052,0.746
10.51,196.289,1.0,207.039,207.039,0.747
10.52,195.892,1.0,207.026,207.026,0.748
10.53,195.108,1.0,207.014,207.014,0.749
10.54,202.132,1.0,207.001,207.001,0.749
10.55,213.693,1.0,206.988,206.988,0.75
10.56,212.328,1.0,206.975,206.975,0.751
10.57,202.206,1.0,206.962,206.962,0.751
10.58,201.0,1.0,206.95,206.95,0.752
10.59,208.117,1.0,206.937,206.937,0.753
10.6,178.767,1.0,206.924,206.924,0.753
10.61,190.11,1.0,206.911,206.911,0.754
10.62,213.323,1.0,206.898,206.898,0.755
10.63,213.336,1.0,206.885,206.885,0.756
10.64,200.572,1.0,206.872,206.872,0.756
10.65,198.113,1.0,206.859,206.859,0.757
10.66,200.661,1.0,206.846,206.846,0.758
10.67,192.134,1.0,206.833,206.833,0.758
10.68,196.317,1.0,206.82,206.82,0.759
10.69,215.602,1.0,206.807,206.807,0.76
10.7,221.542,1.0,206.794,206.794,0.761
