"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -29.65
"Instparm: V",     60.80
"Instparm: W",      5.00
"Instparm: X",      8.33
"Instparm: Y",    -19.33
"Instparm: Z",      0.00
"Instparm: SH/L",      0.06
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    -59.96
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,230.0,1.0,229.573,229.573,0.711
10.01,234.553,1.0,229.581,229.581,0.712
10.02,234.09,1.0,229.589,229.589,0.712
10.03,247.648,1.0,229.597,229.597,0.713
10.04,256.276,1.0,229.605,229.605,0.714
10.05,230.633,1.0,229.613,229.613,0.715
10.06,231.635,1.0,229.621,229.621,0.715
10.07,232.908,1.0,229.628,229.628,0.716
10.08,244.806,1.0,229.636,229.636,0.717
10.09,246.908,1.0,229.644,229.644,0.717
10.1,248.815,1.0,229.651,229.651,0.718
10.11,242.65,1.0,229.659,229.659,0.719
10.12,230.213,1.0,229.666,229.666,0.719
10.13,226.281,1.0,229.673,229.673,0.72
10.14,230.53,1.0,229.68,229.68,0.721
10.15,249.113,1.0,229.688,229.688,0.722
10.16,240.136,1.0,229.695,229.695,0.722
10.17,240.81,1.0,229.702,229.702,0.723
10.18,248.237,1.0,229.708,229.708,0.724
10.19,241.766,1.0,229.715,229.715,0.724
10.2,221.114,1.0,229.722,229.722,0.725
10.21,219.904,1.0,229.729,229.729,0.726
10.22,229.032,1.0,229.735,229.735,0.727
10.23,243.542,1.0,229.742,229.742,0.727
10.24,243.195,1.0,229.749,229.749,0.728
10.25,230.371,1.0,229.755,229.755,0.729
10.26,238.017,1.0,229.761,229.761,0.729
10.27,254.323,1.0,229.768,229.768,0.73
10.28,252.396,1.0,229.774,229.774,0.731
10.29,253.801,1.0,229.78,229.78,0.732
10.3,253.1,1.0,229.786,229.786,0.732
10.31,245.801,1.0,229.792,229.792,0.733
10.32,238.703,1.0,229.798,229.798,0.734
10.33,230.806,1.0,229.804,229.804,0.734
10.34,232.697,1.0,229.809,229.809,0.735
10.35,219.523,1.0,229.815,229.815,0.736
10.36,235.064,1.0,229.821,229.821,0.736
10.37,229.818,1.0,229.826,229.826,0.737
10.38,221.821,1.0,229.832,229.832,0.738
10.39,205.751,1.0,229.837,229.837,0.739
10.4,213.863,1.0,229.842,229.842,0.739
10.41,223.963,1.0,229.847,229.847,0.74
10.42,226.792,1.0,229.853,229.853,0.741
10.43,230.582,1.0,229.858,229.858,0.741
10.44,243.532,1.0,229.863,229.863,0.742
10.45,234.262,1.0,229.868,229.868,0.743
10.46,242.839,1.0,229.872,229.872,0.744
10.47,244.894,1.0,229.877,229.877,0.744
10.48,228.914,1.0,229.882,229.882,0.745
10.49,211.814,1.0,229.886,229.886,0.746
10.5,229.645,1.0,229.891,229.891,0.746
10.51,220.397,1.0,229.895,229.895,0.747
10.52,227.03,1.0,229.9,229.9,0.748
10.53,228.0,1.0,229.904,229.904,0.749
10.54,246.721,1.0,229.908,229.908,0.749
10.55,224.941,1.0,229.912,229.912,0.75
10.56,243.377,1.0,229.916,229.916,0.751
10.57,248.671,1.0,229.92,229.92,0.751
10.58,224.971,1.0,229.924,229.924,0.752
10.59,234.454,1.0,229.928,229.928,0.753
10.6,220.884,1.0,229.932,229.932,0.753
10.61,223.444,1.0,229.935,229.935,0.754
10.62,237.327,1.0,229.939,229.939,0.755
10.63,234.56,1.0,229.942,229.942,0.756
10.64,233.112,1.0,229.945,229.945,0.756
10.65,223.24,1.0,229.949,229.949,0.757
10.66,222.0,1.0,229.952,229.952,0.758
10.67,223.773,1.0,229.955,229.955,0.758
10.68,231.976,1.0,229.958,229.958,0.759
10.69,254.259,1.0,229.961,229.961,0.76
10.7,230.438,1.0,229.964,229.964,0.761
10.71,227.885,1.0,229.967,229.967,0.761
10.72,228.885,1.0,229.969,229.969,0.762
10.73,230.769,1.0,229.972,229.972,0.763
10.74,225.697,1.0,229.975,229.975,0.763
10.75,225.0,1.0,229.977,229.977,0.764
10.76,244.429,1.0,229.979,229.979,0.765
10.77,247.0,1.0,229.982,229.982,0.766
10.78,231.118,1.0,229.984,229.984,0.766
10.79,226.354,1.0,229.986,229.986,0.767
10.8,229.526,1.0,229.988,229.988,0.768
10.81,229.119,1.0,229.99,229.99,0.768
10.82,225.477,1.0,229.992,229.992,0.769
10.83,226.761,1.0,229.993,229.993,0.77
10.84,230.52,1.0,229.995,229.995,0.771
10.85,244.195,1.0,229.997,229.997,0.771
10.86,250.396,1.0,229.998,229.998,0.772
10.87,236.059,1.0,229.999,229.999,0.773
10.88,241.028,1.0,230.001,230.001,0.773
10.89,219.17,1.0,230.002,230.002,0.774
10.9,216.878,1.0,230.003,230.003,0.775
10.91,229.282,1.0,230.004,230.004,0.775
10.92,247.661,1.0,230.005,230.005,0.776
10.93,224.581,1.0,230.006,230.006,0.777
10.94,224.504,1.0,230.007,230.007,0.778
10.95,235.509,1.0,230.007,230.007,0.778
10.96,235.249,1.0,230.008,230.008,0.779
10.97,241.999,1.0,230.009,230.009,0.78
10.98,224.635,1.0,230.009,230.009,0.78
10.99,233.364,1.0,230.009,230.009,0.781
11.0,253.349,1.0,230.009,230.009,0.782
11.01,239.406,1.0,230.01,230.01,0.783
11.02,225.652,1.0,230.01,230.01,0.783
11.03,227.49,1.0,230.01,230.01,0.784
11.04,236.722,1.0,230.009,230.009,0.785
11.05,220.565,1.0,230.009,230.009,0.785
11.06,223.228,1.0,230.009,230.009,0.786
11.07,216.161,1.0,230.009,230.009,0.787
11.08,215.0,1.0,230.008,230.008,0.788
11.09,214.13,1.0,230.007,230.007,0.788
11.1,220.088,1.0,230.007,230.007,0.789
11.11,253.167,1.0,230.006,230.006,0.79
11.12,237.145,1.0,230.005,230.005,0.79
11.13,226.183,1.0,230.004,230.004,0.791
11.14,237.154,1.0,230.003,230.003,0.792
11.15,242.471,1.0,230.002,230.002,0.792
11.16,233.459,1.0,230.001,230.001,0.793
11.17,223.33,1.0,229.999,229.999,0.794
11.18,228.066,1.0,229.998,229.998,0.795
11.19,229.866,1.0,229.996,229.996,0.795
11.2,239.523,1.0,229.995,229.995,0.796
11.21,240.135,1.0,229.993,229.993,0.797
11.22,232.216,1.0,229.991,229.991,0.797
11.23,229.271,1.0,229.989,229.989,0.798
11.24,231.592,1.0,229.987,229.987,0.799
11.25,212.998,1.0,229.985,229.985,0.8
11.26,211.727,1.0,229.983,229.983,0.8
11.27,208.548,1.0,229.981,229.981,0.801
11.28,231.287,1.0,229.978,229.978,0.802
11.29,242.759,1.0,229.976,229.976,0.802
11.3,218.15,1.0,229.973,229.973,0.803
11.31,234.67,1.0,229.97,229.97,0.804
11.32,249.191,1.0,229.968,229.968,0.805
11.33,236.373,1.0,229.965,229.965,0.805
11.34,236.58,1.0,229.962,229.962,0.806
11.35,229.264,1.0,229.959,229.959,0.807
11.36,240.029,1.0,229.956,229.956,0.807
11.37,254.023,1.0,229.952,229.952,0.808
11.38,227.674,1.0,229.949,229.949,0.809
11.39,212.704,1.0,229.946,229.946,0.809
11.4,217.86,1.0,229.942,229.942,0.81
11.41,223.286,1.0,229.938,229.938,0.811
11.42,229.14,1.0,229.935,229.935,0.812
11.43,225.719,1.0,229.931,229.931,0.812
11.44,215.585,1.0,229.927,229.927,0.813
11.45,226.832,1.0,229.923,229.923,0.814
11.46,211.044,1.0,229.919,229.919,0.814
11.47,225.093,1.0,229.914,229.914,0.815
11.48,240.813,1.0,229.91,229.91,0.816
11.49,248.123,1.0,229.906,229.906,0.817
11.5,236.199,1.0,229.901,229.901,0.817
11.51,233.147,1.0,229.896,229.896,0.818
11.52,252.608,1.0,229.892,229.892,0.819
11.53,244.07,1.0,229.887,229.887,0.819
11.54,235.186,1.0,229.882,229.882,0.82
11.55,225.487,1.0,229.877,229.877,0.821
11.56,242.719,1.0,229.872,229.872,0.822
11.57,236.645,1.0,229.866,229.866,0.822
11.58,229.05,1.0,229.861,229.861,0.823
11.59,210.159,1.0,229.856,229.856,0.824
11.6,201.056,1.0,229.85,229.85,0.824
11.61,216.975,1.0,229.844,229.844,0.825
11.62,239.511,1.0,229.839,229.839,0.826
11.63,241.304,1.0,229.833,229.833,0.826
11.64,229.135,1.0,229.827,229.827,0.827
11.65,224.459,1.0,229.821,229.821,0.828
11.66,211.301,1.0,229.815,229.815,0.829
11.67,202.231,1.0,229.808,229.808,0.829
11.68,222.99,1.0,229.802,229.802,0.83
11.69,216.011,1.0,229.796,229.796,0.831
11.7,218.225,1.0,229.789,229.789,0.831
11.71,233.356,1.0,229.782,229.782,0.832
11.72,225.871,1.0,229.776,229.776,0.833
11.73,218.095,1.0,229.769,229.769,0.834
11.74,233.021,1.0,229.762,229.762,0.834
11.75,226.73,1.0,229.755,229.755,0.835
11.76,225.0,1.0,229.748,229.748,0.836
11.77,239.312,1.0,229.74,229.74,0.836
11.78,231.061,1.0,229.733,229.733,0.837
11.79,230.682,1.0,229.725,229.725,0.838
11.8,230.159,1.0,229.718,229.718,0.839
11.81,214.877,1.0,229.71,229.71,0.839
11.82,223.756,1.0,229.702,229.702,0.84
11.83,225.161,1.0,229.694,229.694,0.841
11.84,225.839,1.0,229.686,229.686,0.841
11.85,237.738,1.0,229.678,229.678,0.842
11.86,232.458,1.0,229.67,229.67,0.843
11.87,241.051,1.0,229.662,229.662,0.843
11.88,234.629,1.0,229.653,229.653,0.844
11.89,219.613,1.0,229.645,229.645,0.845
11.9,221.181,1.0,229.636,229.636,0.846
11.91,230.358,1.0,229.627,229.627,0.846
11.92,243.695,1.0,229.619,229.619,0.847
11.93,228.466,1.0,229.61,229.61,0.848
11.94,226.669,1.0,229.601,229.601,0.848
11.95,224.498,1.0,229.591,229.591,0.849
11.96,213.997,1.0,229.582,229.582,0.85
11.97,216.999,1.0,229.573,229.573,0.851
11.98,207.174,1.0,229.563,229.563,0.851
11.99,223.311,1.0,229.554,229.554,0.852
12.0,230.327,1.0,229.544,229.544,0.853
12.01,226.843,1.0,229.534,229.534,0.853
12.02,224.338,1.0,229.524,229.524,0.854
12.03,215.695,1.0,229.514,229.514,0.855
12.04,236.412,1.0,229.504,229.504,0.856
12.05,224.407,1.0,229.494,229.494,0.856
12.06,221.829,1.0,229.484,229.484,0.857
12.07,220.342,1.0,229.473,229.473,0.858
12.08,213.374,1.0,229.463,229.463,0.858
12.09,220.279,1.0,229.452,229.452,0.859
12.1,237.721,1.0,229.441,229.441,0.86
12.11,238.519,1.0,229.431,229.431,0.86
12.12,238.0,1.0,229.42,229.42,0.861
12.13,227.261,1.0,229.409,229.409,0.862
12.14,232.431,1.0,229.397,229.397,0.863
12.15,211.72,1.0,229.386,229.386,0.863
12.16,225.969,1.0,229.375,229.375,0.864
12.17,242.364,1.0,229.363,229.363,0.865
12.18,230.995,1.0,229.352,229.352,0.865
12.19,211.532,1.0,229.34,229.34,0.866
12.2,229.396,1.0,229.328,229.328,0.867
12.21,230.71,1.0,229.316,229.316,0.868
12.22,230.822,1.0,229.304,229.304,0.868
12.23,229.357,1.0,229.292,229.292,0.869
12.24,231.463,1.0,229.28,229.28,0.87
12.25,230.359,1.0,229.267,229.267,0.87
12.26,230.0,1.0,229.255,229.255,0.871
12.27,236.558,1.0,229.242,229.242,0.872
12.28,228.168,1.0,229.23,229.23,0.872
12.29,227.638,1.0,229.217,229.217,0.873
12.3,232.092,1.0,229.204,229.204,0.874
12.31,224.82,1.0,229.191,229.191,0.875
12.32,223.0,1.0,229.178,229.178,0.875
12.33,218.098,1.0,229.165,229.165,0.876
12.34,222.716,1.0,229.151,229.151,0.877
12.35,220.735,1.0,229.138,229.138,0.877
12.36,221.631,1.0,229.124,229.124,0.878
12.37,223.63,1.0,229.111,229.111,0.879
12.38,232.962,1.0,229.097,229.097,0.88
12.39,228.486,1.0,229.083,229.083,0.88
12.4,235.138,1.0,229.069,229.069,0.881
12.41,243.507,1.0,229.055,229.055,0.882
12.42,238.497,1.0,229.041,229.041,0.882
12.43,235.375,1.0,229.026,229.026,0.883
12.44,233.376,1.0,229.012,229.012,0.884
12.45,232.188,1.0,228.997,228.997,0.885
12.46,220.645,1.0,228.983,228.983,0.885
12.47,226.917,1.0,228.968,228.968,0.886
12.48,237.102,1.0,228.953,228.953,0.887
12.49,236.571,1.0,228.938,228.938,0.887
12.5,229.526,1.0,228.923,228.923,0.888
12.51,224.765,1.0,228.908,228.908,0.889
12.52,229.658,1.0,228.892,228.892,0.889
12.53,217.267,1.0,228.877,228.877,0.89
12.54,214.0,1.0,228.862,228.862,0.891
12.55,237.4,1.0,228.846,228.846,0.892
12.56,240.581,1.0,228.83,228.83,0.892
12.57,236.776,1.0,228.814,228.814,0.893
12.58,221.501,1.0,228.798,228.798,0.894
12.59,235.711,1.0,228.782,228.782,0.894
12.6,219.081,1.0,228.766,228.766,0.895
12.61,230.886,1.0,228.75,228.75,0.896
12.62,240.625,1.0,228.733,228.733,0.897
12.63,246.819,1.0,228.717,228.717,0.897
12.64,242.381,1.0,228.7,228.7,0.898
12.65,227.362,1.0,228.683,228.683,0.899
12.66,225.604,1.0,228.667,228.667,0.899
12.67,233.212,1.0,228.65,228.65,0.9
12.68,229.394,1.0,228.633,228.633,0.901
12.69,228.8,1.0,228.615,228.615,0.902
12.7,225.8,1.0,228.598,228.598,0.902
12.71,224.201,1.0,228.581,228.581,0.903
12.72,231.989,1.0,228.563,228.563,0.904
12.73,230.008,1.0,228.546,228.546,0.904
12.74,209.848,1.0,228.528,228.528,0.905
12.75,201.81,1.0,228.51,228.51,0.906
12.76,224.114,1.0,228.492,228.492,0.906
12.77,250.711,1.0,228.474,228.474,0.907
12.78,250.427,1.0,228.456,228.456,0.908
12.79,233.883,1.0,228.437,228.437,0.909
12.8,236.361,1.0,228.419,228.419,0.909
12.81,227.669,1.0,228.4,228.4,0.91
12.82,236.119,1.0,228.382,228.382,0.911
12.83,241.381,1.0,228.363,228.363,0.911
12.84,244.38,1.0,228.344,228.344,0.912
12.85,228.352,1.0,228.325,228.325,0.913
12.86,231.13,1.0,228.306,228.306,0.914
12.87,219.54,1.0,228.287,228.287,0.914
12.88,222.331,1.0,228.268,228.268,0.915
12.89,234.281,1.0,228.248,228.248,0.916
12.9,235.419,1.0,228.229,228.229,0.916
12.91,227.101,1.0,228.209,228.209,0.917
12.92,225.0,1.0,228.189,228.189,0.918
12.93,225.0,1.0,228.169,228.169,0.918
