"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.006269
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",     78.98
"Instparm: V",   -128.06
"Instparm: W",     60.30
"Instparm: X",      5.20
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,239.555,1.0,232.607,232.607,0.711
10.01,243.642,1.0,232.474,232.474,0.712
10.02,217.603,1.0,232.342,232.342,0.713
10.03,207.721,1.0,232.211,232.211,0.714
10.04,220.643,1.0,232.081,232.081,0.714
10.05,237.456,1.0,231.952,231.952,0.715
10.06,219.914,1.0,231.824,231.824,0.716
10.07,210.732,1.0,231.697,231.697,0.716
10.08,210.908,1.0,231.571,231.571,0.717
10.09,228.248,1.0,231.445,231.445,0.718
10.1,235.445,1.0,231.321,231.321,0.718
10.11,218.765,1.0,231.198,231.198,0.719
10.12,226.974,1.0,231.076,231.076,0.72
10.13,239.783,1.0,230.955,230.955,0.721
10.14,220.161,1.0,230.835,230.835,0.721
10.15,227.057,1.0,230.716,230.716,0.722
10.16,240.674,1.0,230.598,230.598,0.723
10.17,237.475,1.0,230.48,230.48,0.723
10.18,228.859,1.0,230.364,230.364,0.724
10.19,223.479,1.0,230.249,230.249,0.725
10.2,216.673,1.0,230.134,230.134,0.726
10.21,231.36,1.0,230.021,230.021,0.726
10.22,242.935,1.0,229.908,229.908,0.727
10.23,234.069,1.0,229.796,229.796,0.728
10.24,239.317,1.0,229.686,229.686,0.728
10.25,215.643,1.0,229.576,229.576,0.729
10.26,228.329,1.0,229.467,229.467,0.73
10.27,212.874,1.0,229.359,229.359,0.731
10.28,223.614,1.0,229.251,229.251,0.731
10.29,229.503,1.0,229.145,229.145,0.732
10.3,220.097,1.0,229.04,229.04,0.733
10.31,217.2,1.0,228.935,228.935,0.733
10.32,219.699,1.0,228.831,228.831,0.734
10.33,255.968,1.0,228.729,228.729,0.735
10.34,240.226,1.0,228.627,228.627,0.736
10.35,236.203,1.0,228.525,228.525,0.736
10.36,228.815,1.0,228.425,228.425,0.737
10.37,230.693,1.0,228.326,228.326,0.738
10.38,237.282,1.0,228.227,228.227,0.738
10.39,230.824,1.0,228.129,228.129,0.739
10.4,230.897,1.0,228.032,228.032,0.74
10.41,215.763,1.0,227.936,227.936,0.74
10.42,218.48,1.0,227.841,227.841,0.741
10.43,216.313,1.0,227.746,227.746,0.742
10.44,205.258,1.0,227.652,227.652,0.743
10.45,221.001,1.0,227.559,227.559,0.743
10.46,228.367,1.0,227.467,227.467,0.744
10.47,225.424,1.0,227.376,227.376,0.745
10.48,211.595,1.0,227.285,227.285,0.745
10.49,235.013,1.0,227.195,227.195,0.746
10.5,243.358,1.0,227.106,227.106,0.747
10.51,248.463,1.0,227.018,227.018,0.748
10.52,218.665,1.0,226.931,226.931,0.748
10.53,223.026,1.0,226.844,226.844,0.749
10.54,226.674,1.0,226.758,226.758,0.75
10.55,228.782,1.0,226.673,226.673,0.75
10.56,221.874,1.0,226.588,226.588,0.751
10.57,213.877,1.0,226.504,226.504,0.752
10.58,217.45,1.0,226.421,226.421,0.753
10.59,231.344,1.0,226.339,226.339,0.753
10.6,240.114,1.0,226.257,226.257,0.754
10.61,223.223,1.0,226.176,226.176,0.755
10.62,232.55,1.0,226.096,226.096,0.755
10.63,243.769,1.0,226.017,226.017,0.756
10.64,221.92,1.0,225.938,225.938,0.757
10.65,218.113,1.0,225.86,225.86,0.757
10.66,211.791,1.0,225.783,225.783,0.758
10.67,211.0,1.0,225.706,225.706,0.759
10.68,220.748,1.0,225.63,225.63,0.76
10.69,199.855,1.0,225.555,225.555,0.76
10.7,224.448,1.0,225.48,225.48,0.761
10.71,233.31,1.0,225.406,225.406,0.762
10.72,227.807,1.0,225.333,225.333,0.762
10.73,228.769,1.0,225.26,225.26,0.763
10.74,214.858,1.0,225.188,225.188,0.764
10.75,213.883,1.0,225.117,225.117,0.765
10.76,221.948,1.0,225.046,225.046,0.765
10.77,220.352,1.0,224.976,224.976,0.766
10.78,228.823,1.0,224.907,224.907,0.767
10.79,240.584,1.0,224.838,224.838,0.767
10.8,249.053,1.0,224.77,224.77,0.768
10.81,238.545,1.0,224.703,224.703,0.769
10.82,217.622,1.0,224.636,224.636,0.77
10.83,231.728,1.0,224.57,224.57,0.77
10.84,245.44,1.0,224.504,224.504,0.771
10.85,233.805,1.0,224.439,224.439,0.772
10.86,231.121,1.0,224.374,224.374,0.772
10.87,214.302,1.0,224.311,224.311,0.773
10.88,206.729,1.0,224.247,224.247,0.774
10.89,208.634,1.0,224.185,224.185,0.774
10.9,216.021,1.0,224.123,224.123,0.775
10.91,224.018,1.0,224.061,224.061,0.776
10.92,222.369,1.0,224.001,224.001,0.777
10.93,228.136,1.0,223.94,223.94,0.777
10.94,230.752,1.0,223.881,223.881,0.778
10.95,210.858,1.0,223.821,223.821,0.779
10.96,228.133,1.0,223.763,223.763,0.779
10.97,222.251,1.0,223.705,223.705,0.78
10.98,226.247,1.0,223.647,223.647,0.781
10.99,239.238,1.0,223.59,223.59,0.782
11.0,244.495,1.0,223.534,223.534,0.782
