"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.006824
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",    158.25
"Instparm: X",     -1.13
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.07
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -350.77
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.14
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,230.781,1.0,255.248,255.233,0.711
10.01,238.106,1.0,255.055,255.04,0.712
10.02,225.346,1.0,254.863,254.847,0.713
10.03,228.549,1.0,254.671,254.656,0.714
10.04,240.824,1.0,254.481,254.465,0.714
10.05,233.817,1.0,254.291,254.276,0.715
10.06,230.273,1.0,254.102,254.087,0.716
10.07,230.0,1.0,253.914,253.899,0.716
10.08,238.173,1.0,253.727,253.712,0.717
10.09,234.461,1.0,253.541,253.526,0.718
10.1,234.0,1.0,253.356,253.341,0.719
10.11,230.372,1.0,253.172,253.156,0.719
10.12,229.093,1.0,252.988,252.973,0.72
10.13,228.094,1.0,252.806,252.791,0.721
10.14,248.839,1.0,252.624,252.609,0.721
10.15,240.132,1.0,252.444,252.428,0.722
10.16,228.136,1.0,252.264,252.249,0.723
10.17,241.479,1.0,252.085,252.07,0.723
10.18,242.095,1.0,251.907,251.892,0.724
10.19,243.808,1.0,251.73,251.715,0.725
10.2,237.673,1.0,251.554,251.539,0.726
10.21,240.614,1.0,251.379,251.363,0.726
10.22,236.484,1.0,251.205,251.189,0.727
10.23,221.555,1.0,251.031,251.016,0.728
10.24,222.707,1.0,250.859,250.843,0.728
10.25,229.315,1.0,250.687,250.672,0.729
10.26,242.624,1.0,250.517,250.501,0.73
10.27,243.099,1.0,250.347,250.331,0.731
10.28,241.198,1.0,250.178,250.162,0.731
10.29,231.093,1.0,250.01,249.995,0.732
10.3,236.302,1.0,249.843,249.828,0.733
10.31,234.3,1.0,249.677,249.661,0.733
10.32,246.594,1.0,249.512,249.496,0.734
10.33,240.806,1.0,249.348,249.332,0.735
10.34,225.619,1.0,249.184,249.169,0.736
10.35,236.579,1.0,249.022,249.006,0.736
10.36,253.268,1.0,248.861,248.845,0.737
10.37,243.329,1.0,248.7,248.684,0.738
10.38,242.0,1.0,248.54,248.524,0.738
10.39,228.545,1.0,248.382,248.366,0.739
10.4,235.07,1.0,248.224,248.208,0.74
10.41,243.17,1.0,248.067,248.051,0.741
10.42,225.186,1.0,247.911,247.895,0.741
10.43,220.313,1.0,247.756,247.74,0.742
10.44,237.008,1.0,247.602,247.586,0.743
10.45,251.527,1.0,247.448,247.432,0.743
10.46,254.789,1.0,247.296,247.28,0.744
10.47,254.106,1.0,247.145,247.128,0.745
10.48,233.445,1.0,246.994,246.978,0.745
10.49,239.04,1.0,246.844,246.828,0.746
10.5,249.822,1.0,246.696,246.68,0.747
10.51,240.289,1.0,246.548,246.532,0.748
10.52,233.647,1.0,246.401,246.385,0.748
10.53,224.082,1.0,246.255,246.239,0.749
10.54,235.48,1.0,246.11,246.094,0.75
10.55,239.673,1.0,245.966,245.95,0.75
10.56,224.858,1.0,245.823,245.807,0.751
10.57,223.89,1.0,245.681,245.665,0.752
10.58,214.21,1.0,245.54,245.523,0.753
10.59,230.792,1.0,245.399,245.383,0.753
10.6,247.227,1.0,245.26,245.244,0.754
10.61,251.666,1.0,245.121,245.105,0.755
10.62,244.892,1.0,244.984,244.967,0.755
10.63,232.455,1.0,244.847,244.831,0.756
10.64,237.214,1.0,244.711,244.695,0.757
10.65,251.31,1.0,244.576,244.56,0.758
10.66,259.209,1.0,244.443,244.426,0.758
10.67,234.29,1.0,244.31,244.293,0.759
10.68,244.293,1.0,244.177,244.161,0.76
10.69,256.63,1.0,244.046,244.03,0.76
10.7,251.802,1.0,243.916,243.9,0.761
10.71,245.69,1.0,243.787,243.77,0.762
10.72,237.038,1.0,243.658,243.642,0.762
10.73,243.074,1.0,243.531,243.514,0.763
10.74,241.348,1.0,243.404,243.388,0.764
10.75,235.699,1.0,243.279,243.262,0.765
10.76,246.48,1.0,243.154,243.137,0.765
10.77,255.062,1.0,243.03,243.014,0.766
10.78,245.412,1.0,242.907,242.891,0.767
10.79,241.354,1.0,242.786,242.769,0.767
10.8,245.408,1.0,242.665,242.648,0.768
10.81,261.861,1.0,242.544,242.528,0.769
10.82,241.98,1.0,242.425,242.408,0.77
10.83,225.794,1.0,242.307,242.29,0.77
10.84,245.121,1.0,242.19,242.173,0.771
10.85,259.435,1.0,242.073,242.056,0.772
10.86,252.208,1.0,241.958,241.941,0.772
10.87,247.485,1.0,241.843,241.826,0.773
10.88,242.608,1.0,241.73,241.713,0.774
10.89,234.097,1.0,241.617,241.6,0.775
10.9,239.144,1.0,241.505,241.488,0.775
10.91,222.454,1.0,241.394,241.377,0.776
10.92,227.892,1.0,241.284,241.267,0.777
10.93,232.506,1.0,241.175,241.158,0.777
10.94,240.885,1.0,241.067,241.05,0.778
10.95,245.503,1.0,240.96,240.943,0.779
10.96,245.125,1.0,240.854,240.837,0.779
10.97,242.375,1.0,240.748,240.731,0.78
10.98,248.996,1.0,240.644,240.627,0.781
10.99,244.755,1.0,240.54,240.523,0.782
11.0,247.495,1.0,240.438,240.421,0.782
11.01,250.62,1.0,240.336,240.319,0.783
11.02,234.414,1.0,240.236,240.218,0.784
11.03,220.657,1.0,240.136,240.118,0.784
11.04,231.21,1.0,240.037,240.02,0.785
11.05,251.307,1.0,239.939,239.922,0.786
11.06,266.199,1.0,239.842,239.824,0.787
11.07,268.0,1.0,239.746,239.728,0.787
11.08,238.401,1.0,239.65,239.633,0.788
11.09,222.688,1.0,239.556,239.539,0.789
11.1,234.047,1.0,239.463,239.445,0.789
11.11,220.351,1.0,239.37,239.353,0.79
11.12,218.869,1.0,239.279,239.261,0.791
11.13,233.766,1.0,239.188,239.171,0.792
11.14,229.055,1.0,239.098,239.081,0.792
11.15,217.587,1.0,239.01,238.992,0.793
11.16,229.01,1.0,238.922,238.904,0.794
11.17,257.009,1.0,238.835,238.817,0.794
11.18,248.002,1.0,238.749,238.731,0.795
11.19,230.409,1.0,238.663,238.646,0.796
11.2,228.0,1.0,238.579,238.562,0.796
11.21,229.731,1.0,238.496,238.478,0.797
11.22,223.945,1.0,238.414,238.396,0.798
11.23,236.832,1.0,238.332,238.314,0.799
11.24,248.505,1.0,238.251,238.234,0.799
11.25,237.044,1.0,238.172,238.154,0.8
11.26,232.41,1.0,238.093,238.075,0.801
11.27,227.686,1.0,238.015,237.997,0.801
11.28,227.862,1.0,237.938,237.921,0.802
11.29,227.138,1.0,237.862,237.844,0.803
11.3,239.063,1.0,237.787,237.769,0.804
11.31,226.359,1.0,237.713,237.695,0.804
11.32,236.913,1.0,237.64,237.622,0.805
11.33,250.186,1.0,237.567,237.549,0.806
11.34,252.0,1.0,237.496,237.478,0.806
11.35,252.0,1.0,237.425,237.407,0.807
11.36,244.267,1.0,237.356,237.338,0.808
11.37,250.729,1.0,237.287,237.269,0.809
11.38,237.408,1.0,237.219,237.201,0.809
11.39,230.71,1.0,237.152,237.134,0.81
11.4,236.86,1.0,237.086,237.068,0.811
11.41,225.143,1.0,237.021,237.003,0.811
11.42,232.424,1.0,236.957,236.939,0.812
11.43,240.85,1.0,236.894,236.876,0.813
11.44,230.874,1.0,236.831,236.813,0.814
11.45,230.711,1.0,236.77,236.752,0.814
11.46,245.536,1.0,236.709,236.691,0.815
11.47,238.599,1.0,236.65,236.631,0.816
11.48,224.187,1.0,236.591,236.573,0.816
11.49,230.538,1.0,236.533,236.515,0.817
11.5,256.748,1.0,236.476,236.458,0.818
11.51,249.059,1.0,236.42,236.402,0.818
11.52,254.673,1.0,236.365,236.346,0.819
11.53,263.669,1.0,236.311,236.292,0.82
11.54,245.411,1.0,236.257,236.239,0.821
11.55,227.528,1.0,236.205,236.186,0.821
