"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.005499
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",     -9.20
"Instparm: V",     -2.00
"Instparm: W",      5.00
"Instparm: X",      4.78
"Instparm: Y",     16.11
"Instparm: Z",      0.00
"Instparm: SH/L",      0.11
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -581.08
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.15
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,225.575,1.0,239.389,239.389,0.711
10.01,227.0,1.0,239.213,239.213,0.711
10.02,228.82,1.0,239.038,239.038,0.712
10.03,229.0,1.0,238.863,238.863,0.713
10.04,220.814,1.0,238.69,238.69,0.713
10.05,219.091,1.0,238.517,238.517,0.714
10.06,235.359,1.0,238.345,238.345,0.715
10.07,221.556,1.0,238.175,238.175,0.716
10.08,215.459,1.0,238.004,238.004,0.716
10.09,232.248,1.0,237.835,237.835,0.717
10.1,241.259,1.0,237.667,237.667,0.718
10.11,227.487,1.0,237.5,237.5,0.718
10.12,228.72,1.0,237.333,237.333,0.719
10.13,230.813,1.0,237.167,237.167,0.72
10.14,210.161,1.0,237.002,237.002,0.72
10.15,213.434,1.0,236.838,236.838,0.721
10.16,220.337,1.0,236.675,236.675,0.722
10.17,227.335,1.0,236.513,236.513,0.723
10.18,240.664,1.0,236.351,236.351,0.723
10.19,236.575,1.0,236.191,236.191,0.724
10.2,218.826,1.0,236.031,236.031,0.725
10.21,208.868,1.0,235.872,235.872,0.725
10.22,213.419,1.0,235.714,235.714,0.726
10.23,214.903,1.0,235.557,235.557,0.727
10.24,209.585,1.0,235.401,235.401,0.728
10.25,213.51,1.0,235.245,235.245,0.728
10.26,207.688,1.0,235.091,235.091,0.729
10.27,191.677,1.0,234.937,234.937,0.73
10.28,208.02,1.0,234.784,234.784,0.73
10.29,224.41,1.0,234.632,234.632,0.731
10.3,224.199,1.0,234.481,234.481,0.732
10.31,225.8,1.0,234.331,234.331,0.733
10.32,230.498,1.0,234.181,234.181,0.733
10.33,231.899,1.0,234.033,234.033,0.734
10.34,225.708,1.0,233.885,233.885,0.735
10.35,218.711,1.0,233.739,233.739,0.735
10.36,217.102,1.0,233.593,233.593,0.736
10.37,225.08,1.0,233.448,233.448,0.737
10.38,217.026,1.0,233.303,233.303,0.738
10.39,210.618,1.0,233.16,233.16,0.738
10.4,212.69,1.0,233.018,233.018,0.739
10.41,219.274,1.0,232.876,232.876,0.74
10.42,224.48,1.0,232.735,232.735,0.74
10.43,225.896,1.0,232.595,232.595,0.741
10.44,227.79,1.0,232.456,232.456,0.742
10.45,231.579,1.0,232.318,232.318,0.742
10.46,237.367,1.0,232.181,232.181,0.743
10.47,223.695,1.0,232.044,232.044,0.744
10.48,217.532,1.0,231.909,231.909,0.745
10.49,219.68,1.0,231.774,231.774,0.745
10.5,226.251,1.0,231.64,231.64,0.746
10.51,231.463,1.0,231.507,231.507,0.747
10.52,218.617,1.0,231.375,231.375,0.747
10.53,223.243,1.0,231.244,231.244,0.748
10.54,220.434,1.0,231.114,231.114,0.749
10.55,218.218,1.0,230.984,230.984,0.75
10.56,234.033,1.0,230.856,230.856,0.75
10.57,245.794,1.0,230.728,230.728,0.751
10.58,221.191,1.0,230.601,230.601,0.752
10.59,208.215,1.0,230.475,230.475,0.752
10.6,216.781,1.0,230.35,230.35,0.753
10.61,224.222,1.0,230.225,230.225,0.754
10.62,207.231,1.0,230.102,230.102,0.755
10.63,209.44,1.0,229.979,229.979,0.755
10.64,212.663,1.0,229.858,229.858,0.756
10.65,225.422,1.0,229.737,229.737,0.757
10.66,233.209,1.0,229.617,229.617,0.757
10.67,237.546,1.0,229.498,229.498,0.758
10.68,231.797,1.0,229.379,229.379,0.759
10.69,226.571,1.0,229.262,229.262,0.759
10.7,218.031,1.0,229.145,229.145,0.76
10.71,218.77,1.0,229.03,229.03,0.761
10.72,203.076,1.0,228.915,228.915,0.762
10.73,207.19,1.0,228.801,228.801,0.762
10.74,220.374,1.0,228.688,228.688,0.763
10.75,224.65,1.0,228.576,228.576,0.764
10.76,235.597,1.0,228.464,228.464,0.764
10.77,223.759,1.0,228.354,228.354,0.765
10.78,213.177,1.0,228.244,228.244,0.766
10.79,219.938,1.0,228.135,228.135,0.767
10.8,237.75,1.0,228.027,228.027,0.767
10.81,235.594,1.0,227.92,227.92,0.768
10.82,228.834,1.0,227.814,227.814,0.769
10.83,235.924,1.0,227.709,227.709,0.769
10.84,223.8,1.0,227.604,227.604,0.77
10.85,208.805,1.0,227.501,227.501,0.771
10.86,227.223,1.0,227.398,227.398,0.772
10.87,233.515,1.0,227.296,227.296,0.772
10.88,235.757,1.0,227.195,227.195,0.773
10.89,221.073,1.0,227.095,227.095,0.774
10.9,231.288,1.0,226.996,226.996,0.774
10.91,235.632,1.0,226.897,226.897,0.775
