"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.238952
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",    -46.76
"Instparm: W",     72.94
"Instparm: X",     -2.64
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.02
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",     -0.08
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,240.069,1.0,281.392,281.392,0.728
10.01,252.659,1.0,281.207,281.207,0.729
10.02,260.372,1.0,281.024,281.024,0.729
10.03,264.64,1.0,280.842,280.842,0.73
10.04,259.543,1.0,280.661,280.661,0.731
10.05,248.999,1.0,280.48,280.48,0.731
10.06,250.727,1.0,280.301,280.301,0.732
10.07,267.353,1.0,280.122,280.122,0.733
10.08,256.286,1.0,279.944,279.944,0.734
10.09,258.631,1.0,279.767,279.767,0.734
10.1,255.37,1.0,279.592,279.592,0.735
10.11,252.279,1.0,279.417,279.417,0.736
10.12,242.933,1.0,279.242,279.242,0.736
10.13,245.626,1.0,279.069,279.069,0.737
10.14,253.248,1.0,278.897,278.897,0.738
10.15,256.717,1.0,278.726,278.726,0.739
10.16,268.769,1.0,278.555,278.555,0.739
10.17,272.715,1.0,278.386,278.386,0.74
10.18,262.145,1.0,278.217,278.217,0.741
10.19,253.766,1.0,278.05,278.05,0.741
10.2,274.693,1.0,277.883,277.883,0.742
10.21,268.868,1.0,277.717,277.717,0.743
10.22,276.129,1.0,277.552,277.552,0.743
10.23,267.972,1.0,277.389,277.389,0.744
10.24,263.39,1.0,277.226,277.226,0.745
10.25,267.51,1.0,277.064,277.064,0.746
10.26,263.491,1.0,276.902,276.902,0.746
10.27,264.803,1.0,276.742,276.742,0.747
10.28,276.713,1.0,276.583,276.583,0.748
10.29,265.391,1.0,276.425,276.425,0.748
10.3,264.9,1.0,276.267,276.267,0.749
10.31,270.4,1.0,276.111,276.111,0.75
10.32,298.887,1.0,275.955,275.955,0.751
10.33,281.318,1.0,275.801,275.801,0.751
10.34,239.451,1.0,275.647,275.647,0.752
10.35,257.462,1.0,275.494,275.494,0.753
10.36,252.815,1.0,275.343,275.343,0.753
10.37,256.489,1.0,275.192,275.192,0.754
10.38,268.666,1.0,275.042,275.042,0.755
10.39,270.897,1.0,274.893,274.893,0.756
10.4,262.93,1.0,274.745,274.745,0.756
