"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -12.97
"Instparm: V",     -2.00
"Instparm: W",     55.65
"Instparm: X",      2.00
"Instparm: Y",     -3.48
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    200.39
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.13
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,309.514,1.0,291.107,291.107,0.711
10.01,313.464,1.0,291.929,291.929,0.712
10.02,309.449,1.0,292.741,292.741,0.712
10.03,323.558,1.0,293.543,293.543,0.713
10.04,319.543,1.0,294.336,294.336,0.714
10.05,319.909,1.0,295.119,295.119,0.715
10.06,320.909,1.0,295.892,295.892,0.715
10.07,313.732,1.0,296.656,296.656,0.716
10.08,312.092,1.0,297.411,297.411,0.717
10.09,301.107,1.0,298.156,298.156,0.717
10.1,311.797,1.0,298.892,298.892,0.718
10.11,316.628,1.0,299.619,299.619,0.719
10.12,317.907,1.0,300.337,300.337,0.719
10.13,318.0,1.0,301.046,301.046,0.72
10.14,317.094,1.0,301.746,301.746,0.721
10.15,312.472,1.0,302.437,302.437,0.722
10.16,312.0,1.0,303.12,303.12,0.722
10.17,319.24,1.0,303.793,303.793,0.723
10.18,314.572,1.0,304.458,304.458,0.724
10.19,324.851,1.0,305.115,305.115,0.724
10.2,330.519,1.0,305.763,305.763,0.725
10.21,302.991,1.0,306.402,306.402,0.726
10.22,318.967,1.0,307.034,307.034,0.727
10.23,328.223,1.0,307.656,307.656,0.727
10.24,315.463,1.0,308.271,308.271,0.728
10.25,336.552,1.0,308.878,308.878,0.729
10.26,350.723,1.0,309.476,309.476,0.729
10.27,331.268,1.0,310.067,310.067,0.73
10.28,328.099,1.0,310.649,310.649,0.731
10.29,318.093,1.0,311.224,311.224,0.732
10.3,326.003,1.0,311.791,311.791,0.732
10.31,334.199,1.0,312.35,312.35,0.733
10.32,336.799,1.0,312.901,312.901,0.734
10.33,301.931,1.0,313.445,313.445,0.734
10.34,308.786,1.0,313.981,313.981,0.735
10.35,322.579,1.0,314.51,314.51,0.736
10.36,319.509,1.0,315.032,315.032,0.736
10.37,321.693,1.0,315.546,315.546,0.737
10.38,301.36,1.0,316.052,316.052,0.738
10.39,299.0,1.0,316.552,316.552,0.739
10.4,309.76,1.0,317.045,317.045,0.739
10.41,332.511,1.0,317.53,317.53,0.74
10.42,344.855,1.0,318.008,318.008,0.741
10.43,336.149,1.0,318.48,318.48,0.741
10.44,327.839,1.0,318.944,318.944,0.742
10.45,316.262,1.0,319.402,319.402,0.743
10.46,331.994,1.0,319.852,319.852,0.744
10.47,317.013,1.0,320.297,320.297,0.744
10.48,283.721,1.0,320.734,320.734,0.745
10.49,295.186,1.0,321.165,321.165,0.746
10.5,305.037,1.0,321.589,321.589,0.746
10.51,346.166,1.0,322.007,322.007,0.747
10.52,339.401,1.0,322.419,322.419,0.748
10.53,328.19,1.0,322.824,322.824,0.749
10.54,327.891,1.0,323.223,323.223,0.749
10.55,308.396,1.0,323.615,323.615,0.75
10.56,325.596,1.0,324.002,324.002,0.751
10.57,340.465,1.0,324.382,324.382,0.751
10.58,334.88,1.0,324.756,324.756,0.752
10.59,334.89,1.0,325.125,325.125,0.753
10.6,335.889,1.0,325.487,325.487,0.753
10.61,330.667,1.0,325.843,325.843,0.754
10.62,331.777,1.0,326.194,326.194,0.755
10.63,316.015,1.0,326.539,326.539,0.756
10.64,306.898,1.0,326.878,326.878,0.756
10.65,300.676,1.0,327.212,327.212,0.757
10.66,329.269,1.0,327.539,327.539,0.758
10.67,333.0,1.0,327.862,327.862,0.758
10.68,333.0,1.0,328.179,328.179,0.759
10.69,328.571,1.0,328.49,328.49,0.76
10.7,315.604,1.0,328.796,328.796,0.761
10.71,323.735,1.0,329.097,329.097,0.761
10.72,317.923,1.0,329.392,329.392,0.762
10.73,323.19,1.0,329.682,329.682,0.763
10.74,315.161,1.0,329.967,329.967,0.763
10.75,336.971,1.0,330.247,330.247,0.764
10.76,335.584,1.0,330.522,330.522,0.765
10.77,327.055,1.0,330.792,330.792,0.766
10.78,334.823,1.0,331.056,331.056,0.766
10.79,328.944,1.0,331.316,331.316,0.767
10.8,342.105,1.0,331.571,331.571,0.768
10.81,345.762,1.0,331.822,331.822,0.768
10.82,313.41,1.0,332.067,332.067,0.769
10.83,316.043,1.0,332.308,332.308,0.77
10.84,339.001,1.0,332.544,332.544,0.771
10.85,349.917,1.0,332.776,332.776,0.771
10.86,336.932,1.0,333.003,333.003,0.772
10.87,347.304,1.0,333.225,333.225,0.773
10.88,333.188,1.0,333.443,333.443,0.773
10.89,328.366,1.0,333.657,333.657,0.774
10.9,318.345,1.0,333.866,333.866,0.775
10.91,335.423,1.0,334.071,334.071,0.775
10.92,330.108,1.0,334.271,334.271,0.776
10.93,333.383,1.0,334.468,334.468,0.777
10.94,338.381,1.0,334.66,334.66,0.778
10.95,307.474,1.0,334.848,334.848,0.778
10.96,308.252,1.0,335.032,335.032,0.779
10.97,322.999,1.0,335.212,335.212,0.78
10.98,335.495,1.0,335.388,335.388,0.78
10.99,324.762,1.0,335.56,335.56,0.781
11.0,312.515,1.0,335.729,335.729,0.782
11.01,332.834,1.0,335.893,335.893,0.783
11.02,329.016,1.0,336.054,336.054,0.783
11.03,312.294,1.0,336.21,336.21,0.784
11.04,306.511,1.0,336.364,336.364,0.785
11.05,309.487,1.0,336.513,336.513,0.785
11.06,323.071,1.0,336.659,336.659,0.786
11.07,329.355,1.0,336.801,336.801,0.787
11.08,306.495,1.0,336.94,336.94,0.788
11.09,325.624,1.0,337.075,337.075,0.788
11.1,328.13,1.0,337.207,337.207,0.789
11.11,311.482,1.0,337.335,337.335,0.79
11.12,340.283,1.0,337.46,337.46,0.79
11.13,332.84,1.0,337.582,337.582,0.791
11.14,339.682,1.0,337.7,337.7,0.792
11.15,325.38,1.0,337.815,337.815,0.792
11.16,347.286,1.0,337.927,337.927,0.793
11.17,330.193,1.0,338.036,338.036,0.794
11.18,317.468,1.0,338.142,338.142,0.795
11.19,315.134,1.0,338.244,338.244,0.795
11.2,315.0,1.0,338.344,338.344,0.796
11.21,342.691,1.0,338.441,338.441,0.797
11.22,326.242,1.0,338.534,338.534,0.797
11.23,298.793,1.0,338.625,338.625,0.798
11.24,319.195,1.0,338.713,338.713,0.799
11.25,325.591,1.0,338.798,338.798,0.8
11.26,309.597,1.0,338.88,338.88,0.8
11.27,318.218,1.0,338.96,338.96,0.801
11.28,296.713,1.0,339.036,339.036,0.802
11.29,305.931,1.0,339.11,339.11,0.802
11.3,310.585,1.0,339.182,339.182,0.803
11.31,324.78,1.0,339.251,339.251,0.804
11.32,320.974,1.0,339.317,339.317,0.805
11.33,316.558,1.0,339.381,339.381,0.805
11.34,325.46,1.0,339.442,339.442,0.806
11.35,337.315,1.0,339.501,339.501,0.807
11.36,316.661,1.0,339.557,339.557,0.807
11.37,312.141,1.0,339.611,339.611,0.808
11.38,318.867,1.0,339.663,339.663,0.809
11.39,328.58,1.0,339.712,339.712,0.809
11.4,318.852,1.0,339.76,339.76,0.81
11.41,317.0,1.0,339.804,339.804,0.811
11.42,330.707,1.0,339.847,339.847,0.812
11.43,344.988,1.0,339.888,339.888,0.812
11.44,341.009,1.0,339.926,339.926,0.813
11.45,325.457,1.0,339.962,339.962,0.814
11.46,321.29,1.0,339.997,339.997,0.814
11.47,328.692,1.0,340.029,340.029,0.815
11.48,316.333,1.0,340.059,340.059,0.816
11.49,330.222,1.0,340.087,340.087,0.817
11.5,332.147,1.0,340.114,340.114,0.817
11.51,326.882,1.0,340.138,340.138,0.818
11.52,323.442,1.0,340.161,340.161,0.819
11.53,342.599,1.0,340.182,340.182,0.819
11.54,345.148,1.0,340.201,340.201,0.82
11.55,319.462,1.0,340.218,340.218,0.821
11.56,328.614,1.0,340.233,340.233,0.822
11.57,302.936,1.0,340.247,340.247,0.822
11.58,314.15,1.0,340.259,340.259,0.823
11.59,321.248,1.0,340.27,340.27,0.824
11.6,335.587,1.0,340.279,340.279,0.824
11.61,334.605,1.0,340.286,340.286,0.825
11.62,313.64,1.0,340.292,340.292,0.826
11.63,314.239,1.0,340.296,340.296,0.826
11.64,322.627,1.0,340.299,340.299,0.827
11.65,325.694,1.0,340.3,340.3,0.828
11.66,313.301,1.0,340.3,340.3,0.829
11.67,325.385,1.0,340.299,340.299,0.829
11.68,330.537,1.0,340.296,340.296,0.83
11.69,333.536,1.0,340.292,340.292,0.831
11.7,349.208,1.0,340.287,340.287,0.831
11.71,360.445,1.0,340.28,340.28,0.832
11.72,335.835,1.0,340.272,340.272,0.833
11.73,327.626,1.0,340.263,340.263,0.834
11.74,311.823,1.0,340.253,340.253,0.834
11.75,329.226,1.0,340.241,340.241,0.835
11.76,359.954,1.0,340.229,340.229,0.836
11.77,343.111,1.0,340.215,340.215,0.836
11.78,317.963,1.0,340.2,340.2,0.837
11.79,311.477,1.0,340.185,340.185,0.838
11.8,331.174,1.0,340.168,340.168,0.839
11.81,342.562,1.0,340.15,340.15,0.839
11.82,338.122,1.0,340.131,340.131,0.84
11.83,337.0,1.0,340.112,340.112,0.841
11.84,353.777,1.0,340.091,340.091,0.841
11.85,339.393,1.0,340.07,340.07,0.842
11.86,325.944,1.0,340.048,340.048,0.843
11.87,323.162,1.0,340.024,340.024,0.843
11.88,317.977,1.0,340.001,340.001,0.844
11.89,322.857,1.0,339.976,339.976,0.845
11.9,336.544,1.0,339.951,339.951,0.846
11.91,330.642,1.0,339.924,339.924,0.846
11.92,343.201,1.0,339.898,339.898,0.847
11.93,326.796,1.0,339.87,339.87,0.848
11.94,321.331,1.0,339.842,339.842,0.848
11.95,282.633,1.0,339.813,339.813,0.849
11.96,319.182,1.0,339.784,339.784,0.85
11.97,349.663,1.0,339.754,339.754,0.851
11.98,334.014,1.0,339.723,339.723,0.851
11.99,339.988,1.0,339.692,339.692,0.852
12.0,344.496,1.0,339.661,339.661,0.853
12.01,351.651,1.0,339.629,339.629,0.853
12.02,344.69,1.0,339.596,339.596,0.854
12.03,310.609,1.0,339.563,339.563,0.855
12.04,313.131,1.0,339.53,339.53,0.856
12.05,332.423,1.0,339.496,339.496,0.856
12.06,345.95,1.0,339.462,339.462,0.857
12.07,339.712,1.0,339.428,339.428,0.858
12.08,333.03,1.0,339.393,339.393,0.858
12.09,351.041,1.0,339.358,339.358,0.859
12.1,349.208,1.0,339.323,339.323,0.86
12.11,324.018,1.0,339.287,339.287,0.86
12.12,330.571,1.0,339.252,339.252,0.861
12.13,330.522,1.0,339.216,339.216,0.862
12.14,326.697,1.0,339.18,339.18,0.863
12.15,341.679,1.0,339.143,339.143,0.863
12.16,344.175,1.0,339.107,339.107,0.864
12.17,329.163,1.0,339.07,339.07,0.865
12.18,321.057,1.0,339.033,339.033,0.865
12.19,340.585,1.0,338.997,338.997,0.866
12.2,349.115,1.0,338.96,338.96,0.867
12.21,345.888,1.0,338.923,338.923,0.868
12.22,337.602,1.0,338.886,338.886,0.868
12.23,343.394,1.0,338.849,338.849,0.869
12.24,335.146,1.0,338.812,338.812,0.87
12.25,328.076,1.0,338.775,338.775,0.87
12.26,337.663,1.0,338.739,338.739,0.871
12.27,356.396,1.0,338.702,338.702,0.872
12.28,354.265,1.0,338.665,338.665,0.872
12.29,333.347,1.0,338.629,338.629,0.873
12.3,321.634,1.0,338.592,338.592,0.874
12.31,326.544,1.0,338.556,338.556,0.875
12.32,335.358,1.0,338.52,338.52,0.875
12.33,337.817,1.0,338.484,338.484,0.876
12.34,315.952,1.0,338.449,338.449,0.877
12.35,325.69,1.0,338.413,338.413,0.877
12.36,324.106,1.0,338.378,338.378,0.878
12.37,331.152,1.0,338.343,338.343,0.879
12.38,339.518,1.0,338.308,338.308,0.88
12.39,321.457,1.0,338.274,338.274,0.88
12.4,338.16,1.0,338.24,338.24,0.881
12.41,359.268,1.0,338.206,338.206,0.882
12.42,358.122,1.0,338.173,338.173,0.882
