"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.155209
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",    316.01
"Instparm: W",      5.00
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.07
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    249.63
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.09
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,339.862,1.0,349.98,349.98,0.722
10.01,347.464,1.0,349.723,349.723,0.723
10.02,358.013,1.0,349.468,349.468,0.723
10.03,322.604,1.0,349.214,349.214,0.724
10.04,325.367,1.0,348.961,348.961,0.725
10.05,315.999,1.0,348.709,348.709,0.726
10.06,309.547,1.0,348.459,348.459,0.726
10.07,323.536,1.0,348.209,348.209,0.727
10.08,328.633,1.0,347.961,347.961,0.728
10.09,329.908,1.0,347.715,347.715,0.728
10.1,314.574,1.0,347.469,347.469,0.729
10.11,323.885,1.0,347.225,347.225,0.73
10.12,327.72,1.0,346.982,346.982,0.73
10.13,315.311,1.0,346.74,346.74,0.731
10.14,325.778,1.0,346.5,346.5,0.732
10.15,327.906,1.0,346.26,346.26,0.733
10.16,309.894,1.0,346.022,346.022,0.733
10.17,329.719,1.0,345.786,345.786,0.734
10.18,342.855,1.0,345.55,345.55,0.735
10.19,337.67,1.0,345.316,345.316,0.735
10.2,326.153,1.0,345.083,345.083,0.736
10.21,300.605,1.0,344.851,344.851,0.737
10.22,301.613,1.0,344.621,344.621,0.738
10.23,309.223,1.0,344.391,344.391,0.738
10.24,334.366,1.0,344.164,344.164,0.739
10.25,335.196,1.0,343.937,343.937,0.74
10.26,349.428,1.0,343.711,343.711,0.74
10.27,347.395,1.0,343.487,343.487,0.741
10.28,320.871,1.0,343.264,343.264,0.742
10.29,332.41,1.0,343.043,343.043,0.743
10.3,318.695,1.0,342.822,342.822,0.743
10.31,317.9,1.0,342.603,342.603,0.744
10.32,321.598,1.0,342.385,342.385,0.745
10.33,331.891,1.0,342.169,342.169,0.745
10.34,327.607,1.0,341.954,341.954,0.746
10.35,324.305,1.0,341.74,341.74,0.747
