"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",   -152.90
"Instparm: V",    309.74
"Instparm: W",      5.00
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.08
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    272.55
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.10
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,312.761,1.0,303.916,303.916,0.711
10.01,312.732,1.0,304.913,304.913,0.712
10.02,311.18,1.0,305.899,305.899,0.712
10.03,319.189,1.0,306.872,306.872,0.713
10.04,338.191,1.0,307.834,307.834,0.714
10.05,356.365,1.0,308.785,308.785,0.715
10.06,345.276,1.0,309.724,309.724,0.715
10.07,345.817,1.0,310.652,310.652,0.716
10.08,328.745,1.0,311.568,311.568,0.717
10.09,321.553,1.0,312.473,312.473,0.717
10.1,332.797,1.0,313.367,313.367,0.718
10.11,328.558,1.0,314.251,314.251,0.719
10.12,334.347,1.0,315.123,315.123,0.719
10.13,351.315,1.0,315.984,315.984,0.72
10.14,357.53,1.0,316.835,316.835,0.721
10.15,361.623,1.0,317.675,317.675,0.722
10.16,373.769,1.0,318.505,318.505,0.722
10.17,370.475,1.0,319.324,319.324,0.723
10.18,359.145,1.0,320.132,320.132,0.724
10.19,339.915,1.0,320.931,320.931,0.724
10.2,338.0,1.0,321.719,321.719,0.725
10.21,319.026,1.0,322.497,322.497,0.726
10.22,318.806,1.0,323.265,323.265,0.727
10.23,345.182,1.0,324.023,324.023,0.727
10.24,343.488,1.0,324.771,324.771,0.728
10.25,343.902,1.0,325.509,325.509,0.729
10.26,345.803,1.0,326.238,326.238,0.729
10.27,343.296,1.0,326.956,326.956,0.73
10.28,337.594,1.0,327.666,327.666,0.731
10.29,371.225,1.0,328.366,328.366,0.732
10.3,356.994,1.0,329.056,329.056,0.732
10.31,339.701,1.0,329.737,329.737,0.733
10.32,340.699,1.0,330.409,330.409,0.734
10.33,331.109,1.0,331.072,331.072,0.734
10.34,334.494,1.0,331.726,331.726,0.735
10.35,326.914,1.0,332.37,332.37,0.736
10.36,358.332,1.0,333.006,333.006,0.736
10.37,360.205,1.0,333.633,333.633,0.737
10.38,328.592,1.0,334.251,334.251,0.738
10.39,338.455,1.0,334.86,334.86,0.739
10.4,350.76,1.0,335.461,335.461,0.739
10.41,359.17,1.0,336.053,336.053,0.74
10.42,366.271,1.0,336.637,336.637,0.741
10.43,359.836,1.0,337.212,337.212,0.741
10.44,348.258,1.0,337.779,337.779,0.742
10.45,359.527,1.0,338.338,338.338,0.743
10.46,352.95,1.0,338.889,338.889,0.744
10.47,340.377,1.0,339.431,339.431,0.744
10.48,340.787,1.0,339.966,339.966,0.745
10.49,340.107,1.0,340.492,340.492,0.746
10.5,345.358,1.0,341.011,341.011,0.746
10.51,345.107,1.0,341.521,341.521,0.747
10.52,356.599,1.0,342.025,342.025,0.748
10.53,387.43,1.0,342.52,342.52,0.749
10.54,342.861,1.0,343.008,343.008,0.749
10.55,337.0,1.0,343.488,343.488,0.75
10.56,358.377,1.0,343.961,343.961,0.751
10.57,356.548,1.0,344.426,344.426,0.751
10.58,359.56,1.0,344.884,344.884,0.752
10.59,334.202,1.0,345.335,345.335,0.753
10.6,339.003,1.0,345.779,345.779,0.753
10.61,329.334,1.0,346.215,346.215,0.754
10.62,326.223,1.0,346.645,346.645,0.755
10.63,328.664,1.0,347.067,347.067,0.756
10.64,328.112,1.0,347.483,347.483,0.756
10.65,315.578,1.0,347.892,347.892,0.757
10.66,334.4,1.0,348.294,348.294,0.758
10.67,342.319,1.0,348.689,348.689,0.758
10.68,355.406,1.0,349.078,349.078,0.759
10.69,327.769,1.0,349.46,349.46,0.76
10.7,332.854,1.0,349.835,349.835,0.761
10.71,353.471,1.0,350.204,350.204,0.761
10.72,339.192,1.0,350.567,350.567,0.762
10.73,321.967,1.0,350.923,350.923,0.763
10.74,338.562,1.0,351.273,351.273,0.763
10.75,345.417,1.0,351.617,351.617,0.764
