"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.359545
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",     52.67
"Instparm: X",      5.62
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.06
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,348.425,1.0,369.73,369.73,0.736
10.01,335.162,1.0,369.437,369.437,0.737
10.02,325.808,1.0,369.146,369.146,0.738
10.03,334.099,1.0,368.856,368.856,0.739
10.04,339.548,1.0,368.568,368.568,0.739
10.05,328.181,1.0,368.281,368.281,0.74
10.06,306.097,1.0,367.996,367.996,0.741
10.07,347.608,1.0,367.712,367.712,0.741
10.08,333.837,1.0,367.429,367.429,0.742
10.09,344.709,1.0,367.148,367.148,0.743
10.1,346.907,1.0,366.869,366.869,0.744
10.11,343.372,1.0,366.591,366.591,0.744
10.12,332.119,1.0,366.314,366.314,0.745
10.13,331.0,1.0,366.039,366.039,0.746
10.14,338.248,1.0,365.765,365.765,0.746
10.15,337.189,1.0,365.493,365.493,0.747
10.16,344.243,1.0,365.222,365.222,0.748
10.17,347.715,1.0,364.953,364.953,0.749
10.18,351.618,1.0,364.685,364.685,0.749
10.19,360.138,1.0,364.419,364.419,0.75
10.2,357.384,1.0,364.154,364.154,0.751
10.21,338.026,1.0,363.89,363.89,0.751
10.22,333.29,1.0,363.628,363.628,0.752
10.23,335.708,1.0,363.368,363.368,0.753
10.24,336.0,1.0,363.109,363.109,0.753
10.25,324.273,1.0,362.851,362.851,0.754
10.26,332.919,1.0,362.595,362.595,0.755
10.27,330.395,1.0,362.34,362.34,0.756
10.28,326.396,1.0,362.087,362.087,0.756
10.29,337.708,1.0,361.836,361.836,0.757
10.3,332.698,1.0,361.585,361.585,0.758
10.31,342.799,1.0,361.337,361.337,0.758
10.32,331.406,1.0,361.09,361.09,0.759
10.33,321.907,1.0,360.844,360.844,0.76
10.34,354.257,1.0,360.6,360.6,0.761
10.35,352.609,1.0,360.357,360.357,0.761
10.36,331.344,1.0,360.116,360.116,0.762
10.37,316.432,1.0,359.876,359.876,0.763
10.38,326.666,1.0,359.638,359.638,0.763
10.39,352.219,1.0,359.401,359.401,0.764
10.4,362.173,1.0,359.166,359.166,0.765
10.41,368.378,1.0,358.932,358.932,0.766
10.42,355.561,1.0,358.7,358.7,0.766
10.43,352.209,1.0,358.469,358.469,0.767
10.44,336.782,1.0,358.24,358.24,0.768
10.45,316.209,1.0,358.012,358.012,0.768
10.46,352.461,1.0,357.786,357.786,0.769
10.47,357.894,1.0,357.561,357.561,0.77
10.48,332.083,1.0,357.338,357.338,0.77
10.49,364.733,1.0,357.116,357.116,0.771
10.5,354.713,1.0,356.896,356.896,0.772
10.51,360.141,1.0,356.677,356.677,0.773
10.52,354.755,1.0,356.46,356.46,0.773
10.53,362.918,1.0,356.244,356.244,0.774
10.54,372.023,1.0,356.03,356.03,0.775
10.55,340.921,1.0,355.817,355.817,0.775
10.56,332.546,1.0,355.606,355.606,0.776
10.57,346.245,1.0,355.396,355.396,0.777
10.58,333.761,1.0,355.188,355.188,0.778
10.59,335.558,1.0,354.982,354.982,0.778
10.6,342.224,1.0,354.777,354.777,0.779
10.61,316.335,1.0,354.573,354.573,0.78
10.62,333.434,1.0,354.371,354.371,0.78
10.63,355.538,1.0,354.171,354.171,0.781
10.64,349.123,1.0,353.972,353.972,0.782
10.65,363.972,1.0,353.774,353.774,0.783
10.66,352.696,1.0,353.578,353.578,0.783
10.67,325.29,1.0,353.384,353.384,0.784
10.68,345.927,1.0,353.191,353.191,0.785
10.69,366.716,1.0,353.0,353.0,0.785
10.7,354.833,1.0,352.81,352.81,0.786
10.71,367.16,1.0,352.621,352.621,0.787
10.72,352.192,1.0,352.435,352.435,0.787
10.73,349.116,1.0,352.249,352.249,0.788
10.74,357.839,1.0,352.066,352.066,0.789
10.75,359.883,1.0,351.883,351.883,0.79
10.76,340.571,1.0,351.703,351.703,0.79
10.77,338.883,1.0,351.524,351.524,0.791
10.78,345.176,1.0,351.346,351.346,0.792
10.79,351.292,1.0,351.17,351.17,0.792
10.8,355.526,1.0,350.996,350.996,0.793
10.81,334.852,1.0,350.823,350.823,0.794
10.82,339.927,1.0,350.651,350.651,0.795
10.83,361.249,1.0,350.481,350.481,0.795
10.84,363.12,1.0,350.313,350.313,0.796
10.85,365.639,1.0,350.146,350.146,0.797
10.86,335.226,1.0,349.981,349.981,0.797
10.87,339.789,1.0,349.817,349.817,0.798
10.88,323.431,1.0,349.655,349.655,0.799
10.89,331.537,1.0,349.495,349.495,0.8
10.9,361.964,1.0,349.336,349.336,0.8
10.91,358.982,1.0,349.178,349.178,0.801
10.92,354.492,1.0,349.022,349.022,0.802
10.93,350.494,1.0,348.868,348.868,0.802
10.94,333.354,1.0,348.715,348.715,0.803
10.95,341.509,1.0,348.563,348.563,0.804
10.96,354.379,1.0,348.414,348.414,0.804
10.97,341.126,1.0,348.265,348.265,0.805
10.98,334.627,1.0,348.119,348.119,0.806
10.99,353.231,1.0,347.973,347.973,0.807
11.0,346.389,1.0,347.83,347.83,0.807
11.01,354.607,1.0,347.688,347.688,0.808
