"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.278792
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",   -427.74
"Instparm: W",    173.04
"Instparm: X",      8.23
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.02
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    836.43
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,318.842,1.0,302.877,302.84,0.691
10.01,309.073,1.0,303.617,303.579,0.692
10.02,315.282,1.0,304.347,304.31,0.693
10.03,309.631,1.0,305.068,305.031,0.693
10.04,309.91,1.0,305.78,305.743,0.694
10.05,327.275,1.0,306.483,306.446,0.695
10.06,319.003,1.0,307.178,307.14,0.695
10.07,315.275,1.0,307.863,307.826,0.696
10.08,346.785,1.0,308.54,308.502,0.697
10.09,335.475,1.0,309.207,309.17,0.698
10.1,323.111,1.0,309.867,309.829,0.698
10.11,327.442,1.0,310.517,310.48,0.699
10.12,318.933,1.0,311.16,311.122,0.7
10.13,322.532,1.0,311.794,311.756,0.7
10.14,326.624,1.0,312.419,312.381,0.701
10.15,324.283,1.0,313.036,312.999,0.702
10.16,323.095,1.0,313.646,313.608,0.703
10.17,320.285,1.0,314.247,314.209,0.703
10.18,317.286,1.0,314.839,314.801,0.704
10.19,324.234,1.0,315.424,315.386,0.705
10.2,332.231,1.0,316.001,315.963,0.705
10.21,336.614,1.0,316.571,316.533,0.706
10.22,338.806,1.0,317.132,317.094,0.707
10.23,340.806,1.0,317.686,317.648,0.707
10.24,324.756,1.0,318.232,318.194,0.708
10.25,323.0,1.0,318.771,318.732,0.709
10.26,332.919,1.0,319.302,319.263,0.71
10.27,321.381,1.0,319.825,319.787,0.71
10.28,294.772,1.0,320.342,320.303,0.711
10.29,306.41,1.0,320.851,320.812,0.712
10.3,315.202,1.0,321.352,321.314,0.712
10.31,316.9,1.0,321.847,321.808,0.713
10.32,325.096,1.0,322.334,322.296,0.714
10.33,336.79,1.0,322.815,322.776,0.715
10.34,334.405,1.0,323.288,323.25,0.715
10.35,345.68,1.0,323.755,323.716,0.716
10.36,347.0,1.0,324.215,324.176,0.717
10.37,342.511,1.0,324.668,324.629,0.717
10.38,333.924,1.0,325.114,325.075,0.718
10.39,337.485,1.0,325.554,325.515,0.719
10.4,342.483,1.0,325.987,325.948,0.72
10.41,335.83,1.0,326.413,326.374,0.72
10.42,336.792,1.0,326.833,326.794,0.721
10.43,335.209,1.0,327.247,327.208,0.722
10.44,322.468,1.0,327.655,327.615,0.722
10.45,313.842,1.0,328.056,328.016,0.723
10.46,333.572,1.0,328.45,328.411,0.724
10.47,322.589,1.0,328.839,328.8,0.725
10.48,329.937,1.0,329.222,329.182,0.725
10.49,336.36,1.0,329.598,329.559,0.726
10.5,328.963,1.0,329.969,329.929,0.727
10.51,342.281,1.0,330.334,330.294,0.727
10.52,338.647,1.0,330.692,330.653,0.728
10.53,323.731,1.0,331.045,331.005,0.729
10.54,325.566,1.0,331.393,331.353,0.729
10.55,313.525,1.0,331.734,331.694,0.73
10.56,325.361,1.0,332.07,332.03,0.731
10.57,336.794,1.0,332.4,332.36,0.732
10.58,332.66,1.0,332.725,332.685,0.732
10.59,324.883,1.0,333.045,333.005,0.733
10.6,306.216,1.0,333.359,333.319,0.734
10.61,327.998,1.0,333.667,333.627,0.734
10.62,329.223,1.0,333.971,333.93,0.735
10.63,318.343,1.0,334.269,334.228,0.736
10.64,344.519,1.0,334.562,334.521,0.737
10.65,341.789,1.0,334.85,334.809,0.737
10.66,343.661,1.0,335.132,335.092,0.738
10.67,338.681,1.0,335.41,335.369,0.739
10.68,332.683,1.0,335.683,335.642,0.739
10.69,313.398,1.0,335.951,335.91,0.74
10.7,293.292,1.0,336.214,336.173,0.741
10.71,305.16,1.0,336.472,336.431,0.742
10.72,322.039,1.0,336.725,336.684,0.742
10.73,339.033,1.0,336.974,336.933,0.743
10.74,330.393,1.0,337.218,337.177,0.744
10.75,323.699,1.0,337.457,337.416,0.744
10.76,338.013,1.0,337.692,337.651,0.745
10.77,338.235,1.0,337.923,337.882,0.746
10.78,345.941,1.0,338.149,338.107,0.746
10.79,338.18,1.0,338.37,338.329,0.747
10.8,331.711,1.0,338.587,338.546,0.748
10.81,353.03,1.0,338.8,338.759,0.749
10.82,364.808,1.0,339.009,338.967,0.749
10.83,339.588,1.0,339.213,339.172,0.75
10.84,334.24,1.0,339.414,339.372,0.751
10.85,335.759,1.0,339.61,339.568,0.751
10.86,326.328,1.0,339.802,339.76,0.752
10.87,338.183,1.0,339.99,339.948,0.753
10.88,338.243,1.0,340.174,340.133,0.754
10.89,342.39,1.0,340.355,340.313,0.754
10.9,337.734,1.0,340.531,340.489,0.755
10.91,322.963,1.0,340.704,340.662,0.756
10.92,323.631,1.0,340.872,340.83,0.756
10.93,333.642,1.0,341.037,340.995,0.757
10.94,337.628,1.0,341.199,341.157,0.758
10.95,342.379,1.0,341.357,341.314,0.759
10.96,333.371,1.0,341.511,341.468,0.759
10.97,320.626,1.0,341.661,341.619,0.76
10.98,332.993,1.0,341.808,341.766,0.761
10.99,332.378,1.0,341.952,341.91,0.761
11.0,342.485,1.0,342.092,342.05,0.762
11.01,342.253,1.0,342.229,342.187,0.763
11.02,332.397,1.0,342.363,342.32,0.764
11.03,328.382,1.0,342.493,342.45,0.764
11.04,334.977,1.0,342.62,342.577,0.765
11.05,328.154,1.0,342.744,342.701,0.766
11.06,314.801,1.0,342.864,342.822,0.766
11.07,313.0,1.0,342.982,342.939,0.767
11.08,315.612,1.0,343.096,343.053,0.768
11.09,342.975,1.0,343.208,343.165,0.768
11.1,326.995,1.0,343.316,343.273,0.769
11.11,312.698,1.0,343.422,343.379,0.77
11.12,320.559,1.0,343.525,343.481,0.771
11.13,322.869,1.0,343.624,343.581,0.771
11.14,306.505,1.0,343.721,343.678,0.772
11.15,329.165,1.0,343.815,343.772,0.773
11.16,346.878,1.0,343.907,343.863,0.773
11.17,355.936,1.0,343.995,343.952,0.774
11.18,359.6,1.0,344.081,344.038,0.775
11.19,339.213,1.0,344.165,344.121,0.776
11.2,312.625,1.0,344.246,344.202,0.776
11.21,328.903,1.0,344.324,344.28,0.777
11.22,334.595,1.0,344.4,344.356,0.778
11.23,337.594,1.0,344.473,344.429,0.778
11.24,335.408,1.0,344.544,344.5,0.779
11.25,328.09,1.0,344.612,344.568,0.78
11.26,350.309,1.0,344.678,344.634,0.781
11.27,328.113,1.0,344.742,344.698,0.781
11.28,343.837,1.0,344.804,344.759,0.782
11.29,330.621,1.0,344.863,344.819,0.783
11.3,335.755,1.0,344.92,344.876,0.783
11.31,325.804,1.0,344.975,344.93,0.784
11.32,334.33,1.0,345.028,344.983,0.785
11.33,336.86,1.0,345.078,345.034,0.785
11.34,341.3,1.0,345.127,345.082,0.786
11.35,315.352,1.0,345.173,345.129,0.787
11.36,313.578,1.0,345.218,345.173,0.788
11.37,336.328,1.0,345.26,345.216,0.788
11.38,370.901,1.0,345.301,345.256,0.789
11.39,367.42,1.0,345.34,345.295,0.79
11.4,348.849,1.0,345.377,345.332,0.79
11.41,350.286,1.0,345.412,345.367,0.791
