"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",    -80.46
"Instparm: W",     93.09
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    547.89
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.20
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,341.041,1.0,359.96,359.96,0.711
10.01,334.805,1.0,359.674,359.674,0.712
10.02,334.91,1.0,359.389,359.389,0.712
10.03,330.451,1.0,359.105,359.105,0.713
10.04,329.09,1.0,358.823,358.823,0.714
10.05,326.272,1.0,358.542,358.542,0.715
10.06,324.182,1.0,358.263,358.263,0.715
10.07,326.725,1.0,357.985,357.985,0.716
10.08,336.99,1.0,357.708,357.708,0.717
10.09,330.738,1.0,357.433,357.433,0.717
10.1,340.889,1.0,357.159,357.159,0.718
10.11,359.235,1.0,356.887,356.887,0.719
10.12,343.772,1.0,356.616,356.616,0.719
10.13,313.902,1.0,356.346,356.346,0.72
10.14,331.839,1.0,356.078,356.078,0.721
10.15,334.0,1.0,355.811,355.811,0.722
10.16,315.894,1.0,355.546,355.546,0.722
10.17,330.289,1.0,355.282,355.282,0.723
10.18,330.191,1.0,355.02,355.02,0.724
10.19,319.149,1.0,354.759,354.759,0.724
10.2,325.231,1.0,354.499,354.499,0.725
10.21,321.482,1.0,354.241,354.241,0.726
10.22,321.903,1.0,353.984,353.984,0.727
10.23,330.125,1.0,353.729,353.729,0.727
10.24,325.585,1.0,353.475,353.475,0.728
10.25,349.357,1.0,353.222,353.222,0.729
10.26,354.705,1.0,352.971,352.971,0.729
10.27,344.184,1.0,352.722,352.722,0.73
10.28,342.099,1.0,352.473,352.473,0.731
10.29,333.894,1.0,352.227,352.227,0.732
10.3,340.202,1.0,351.981,351.981,0.732
10.31,357.199,1.0,351.737,351.737,0.733
10.32,351.803,1.0,351.495,351.495,0.734
10.33,352.798,1.0,351.254,351.254,0.734
10.34,333.226,1.0,351.014,351.014,0.735
10.35,319.32,1.0,350.776,350.776,0.736
10.36,339.555,1.0,350.539,350.539,0.736
10.37,353.671,1.0,350.304,350.304,0.737
10.38,334.36,1.0,350.07,350.07,0.738
10.39,319.442,1.0,349.838,349.838,0.739
10.4,352.072,1.0,349.607,349.607,0.739
10.41,336.282,1.0,349.377,349.377,0.74
10.42,342.959,1.0,349.149,349.149,0.741
10.43,344.0,1.0,348.923,348.923,0.741
10.44,332.363,1.0,348.697,348.697,0.742
10.45,332.79,1.0,348.474,348.474,0.743
10.46,341.05,1.0,348.251,348.251,0.744
10.47,333.953,1.0,348.031,348.031,0.744
10.48,334.787,1.0,347.811,347.811,0.745
10.49,324.28,1.0,347.593,347.593,0.746
10.5,351.574,1.0,347.377,347.377,0.746
10.51,317.512,1.0,347.162,347.162,0.747
