"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.170077
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -22.27
"Instparm: V",     -2.00
"Instparm: W",    112.42
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.07
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.19
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,334.239,1.0,322.574,322.56,0.723
10.01,318.788,1.0,322.498,322.484,0.724
10.02,306.987,1.0,322.423,322.408,0.724
10.03,317.829,1.0,322.347,322.333,0.725
10.04,315.362,1.0,322.273,322.258,0.726
10.05,302.271,1.0,322.198,322.184,0.727
10.06,300.091,1.0,322.124,322.11,0.727
10.07,307.268,1.0,322.051,322.036,0.728
10.08,324.347,1.0,321.978,321.963,0.729
10.09,326.908,1.0,321.905,321.89,0.729
10.1,327.0,1.0,321.833,321.818,0.73
10.11,311.58,1.0,321.761,321.746,0.731
10.12,322.694,1.0,321.689,321.675,0.732
10.13,314.03,1.0,321.618,321.604,0.732
10.14,311.188,1.0,321.548,321.533,0.733
10.15,295.604,1.0,321.478,321.463,0.734
10.16,295.811,1.0,321.408,321.393,0.734
10.17,319.529,1.0,321.339,321.324,0.735
10.18,313.859,1.0,321.27,321.255,0.736
10.19,309.383,1.0,321.201,321.187,0.736
10.2,309.0,1.0,321.133,321.119,0.737
10.21,320.746,1.0,321.066,321.051,0.738
10.22,322.0,1.0,320.998,320.984,0.739
10.23,331.028,1.0,320.932,320.917,0.739
10.24,328.39,1.0,320.865,320.851,0.74
10.25,320.783,1.0,320.8,320.785,0.741
10.26,307.376,1.0,320.734,320.719,0.741
10.27,297.888,1.0,320.669,320.654,0.742
10.28,304.208,1.0,320.605,320.59,0.743
10.29,321.212,1.0,320.541,320.526,0.744
10.3,334.704,1.0,320.477,320.462,0.744
10.31,333.3,1.0,320.414,320.399,0.745
10.32,332.1,1.0,320.351,320.336,0.746
10.33,320.31,1.0,320.288,320.274,0.746
10.34,302.821,1.0,320.226,320.212,0.747
10.35,300.102,1.0,320.165,320.15,0.748
10.36,297.306,1.0,320.104,320.089,0.749
10.37,316.75,1.0,320.043,320.028,0.749
10.38,332.461,1.0,319.983,319.968,0.75
10.39,327.721,1.0,319.923,319.908,0.751
10.4,325.207,1.0,319.864,319.849,0.751
10.41,338.444,1.0,319.805,319.79,0.752
10.42,320.29,1.0,319.747,319.732,0.753
10.43,332.329,1.0,319.689,319.674,0.754
10.44,316.097,1.0,319.631,319.616,0.754
10.45,335.475,1.0,319.574,319.559,0.755
10.46,298.645,1.0,319.518,319.503,0.756
10.47,313.669,1.0,319.462,319.446,0.756
10.48,329.405,1.0,319.406,319.391,0.757
10.49,312.24,1.0,319.351,319.335,0.758
10.5,326.073,1.0,319.296,319.281,0.758
10.51,328.893,1.0,319.242,319.226,0.759
10.52,316.509,1.0,319.188,319.172,0.76
10.53,309.649,1.0,319.134,319.119,0.761
10.54,309.0,1.0,319.081,319.066,0.761
10.55,324.148,1.0,319.029,319.013,0.762
10.56,332.235,1.0,318.976,318.961,0.763
10.57,301.838,1.0,318.925,318.909,0.763
10.58,297.11,1.0,318.874,318.858,0.764
10.59,322.798,1.0,318.823,318.807,0.765
10.6,342.895,1.0,318.773,318.757,0.766
10.61,334.334,1.0,318.723,318.707,0.766
10.62,329.446,1.0,318.673,318.658,0.767
10.63,329.0,1.0,318.625,318.609,0.768
10.64,295.268,1.0,318.576,318.561,0.768
10.65,320.281,1.0,318.528,318.513,0.769
10.66,312.47,1.0,318.481,318.465,0.77
10.67,315.433,1.0,318.434,318.418,0.771
10.68,337.268,1.0,318.387,318.371,0.771
10.69,333.799,1.0,318.341,318.325,0.772
10.7,317.948,1.0,318.295,318.279,0.773
