"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.166070
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -28.68
"Instparm: V",     -2.00
"Instparm: W",     38.80
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.06
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.20
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,305.692,1.0,304.1,304.1,0.723
10.01,293.073,1.0,303.917,303.917,0.723
10.02,286.539,1.0,303.734,303.734,0.724
10.03,284.18,1.0,303.553,303.553,0.725
10.04,309.467,1.0,303.372,303.372,0.726
10.05,280.178,1.0,303.192,303.192,0.726
10.06,292.45,1.0,303.014,303.014,0.727
10.07,282.19,1.0,302.836,302.836,0.728
10.08,277.367,1.0,302.659,302.659,0.728
10.09,295.156,1.0,302.483,302.483,0.729
10.1,300.63,1.0,302.308,302.308,0.73
10.11,285.58,1.0,302.134,302.134,0.731
10.12,284.0,1.0,301.96,301.96,0.731
10.13,288.532,1.0,301.788,301.788,0.732
10.14,289.0,1.0,301.617,301.617,0.733
10.15,288.094,1.0,301.446,301.446,0.733
10.16,286.189,1.0,301.277,301.277,0.734
10.17,291.43,1.0,301.108,301.108,0.735
10.18,292.0,1.0,300.94,300.94,0.735
10.19,283.862,1.0,300.774,300.774,0.736
10.2,293.847,1.0,300.608,300.608,0.737
10.21,293.193,1.0,300.443,300.443,0.738
10.22,281.259,1.0,300.279,300.279,0.738
10.23,288.125,1.0,300.116,300.116,0.739
10.24,285.39,1.0,299.954,299.954,0.74
10.25,295.825,1.0,299.793,299.793,0.74
10.26,293.393,1.0,299.633,299.633,0.741
10.27,273.17,1.0,299.473,299.473,0.742
10.28,271.901,1.0,299.315,299.315,0.743
10.29,289.112,1.0,299.158,299.158,0.743
10.3,296.402,1.0,299.001,299.001,0.744
