"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",     57.27
"Instparm: X",     -1.40
"Instparm: Y",      5.21
"Instparm: Z",      0.00
"Instparm: SH/L",      0.07
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    321.15
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.03
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,320.267,1.0,294.481,294.481,0.711
10.01,298.146,1.0,295.172,295.172,0.712
10.02,317.846,1.0,295.854,295.854,0.712
10.03,331.829,1.0,296.527,296.527,0.713
10.04,349.372,1.0,297.191,297.191,0.714
10.05,346.454,1.0,297.847,297.847,0.715
10.06,323.279,1.0,298.495,298.495,0.715
10.07,318.275,1.0,299.134,299.134,0.716
10.08,327.081,1.0,299.764,299.764,0.717
10.09,337.986,1.0,300.387,300.387,0.717
10.1,311.777,1.0,301.001,301.001,0.718
10.11,308.093,1.0,301.607,301.607,0.719
10.12,319.787,1.0,302.205,302.205,0.719
10.13,315.562,1.0,302.795,302.795,0.72
10.14,291.443,1.0,303.377,303.377,0.721
10.15,291.717,1.0,303.951,303.951,0.722
10.16,316.443,1.0,304.517,304.517,0.722
10.17,319.0,1.0,305.076,305.076,0.723
10.18,320.809,1.0,305.627,305.627,0.724
10.19,325.521,1.0,306.17,306.17,0.724
10.2,326.0,1.0,306.705,306.705,0.725
10.21,328.711,1.0,307.234,307.234,0.726
10.22,326.29,1.0,307.754,307.754,0.727
10.23,337.737,1.0,308.267,308.267,0.727
10.24,338.098,1.0,308.773,308.773,0.728
10.25,334.392,1.0,309.272,309.272,0.729
10.26,315.965,1.0,309.763,309.763,0.729
10.27,312.197,1.0,310.248,310.248,0.73
10.28,327.317,1.0,310.725,310.725,0.731
10.29,322.695,1.0,311.195,311.195,0.732
10.3,309.396,1.0,311.659,311.659,0.732
10.31,327.798,1.0,312.115,312.115,0.733
10.32,339.895,1.0,312.564,312.564,0.734
10.33,308.629,1.0,313.007,313.007,0.734
10.34,296.91,1.0,313.443,313.443,0.735
10.35,331.939,1.0,313.873,313.873,0.736
10.36,329.713,1.0,314.295,314.295,0.736
10.37,314.636,1.0,314.712,314.712,0.737
10.38,330.05,1.0,315.121,315.121,0.738
10.39,341.867,1.0,315.525,315.525,0.739
10.4,308.031,1.0,315.922,315.922,0.739
10.41,311.17,1.0,316.312,316.312,0.74
10.42,320.959,1.0,316.697,316.697,0.741
10.43,355.135,1.0,317.075,317.075,0.741
10.44,350.943,1.0,317.447,317.447,0.742
10.45,324.051,1.0,317.813,317.813,0.743
10.46,300.428,1.0,318.172,318.172,0.744
10.47,315.881,1.0,318.526,318.526,0.744
10.48,315.319,1.0,318.874,318.874,0.745
10.49,303.387,1.0,319.216,319.216,0.746
10.5,293.071,1.0,319.552,319.552,0.746
10.51,300.033,1.0,319.883,319.883,0.747
10.52,320.628,1.0,320.208,320.208,0.748
10.53,338.161,1.0,320.527,320.527,0.749
10.54,311.473,1.0,320.84,320.84,0.749
10.55,298.198,1.0,321.148,321.148,0.75
10.56,313.033,1.0,321.451,321.451,0.751
10.57,341.71,1.0,321.748,321.748,0.751
10.58,341.44,1.0,322.039,322.039,0.752
10.59,329.435,1.0,322.325,322.325,0.753
10.6,324.443,1.0,322.606,322.606,0.753
10.61,328.444,1.0,322.882,322.882,0.754
10.62,319.227,1.0,323.152,323.152,0.755
10.63,333.985,1.0,323.418,323.418,0.756
10.64,322.685,1.0,323.678,323.678,0.756
10.65,320.113,1.0,323.933,323.933,0.757
10.66,311.131,1.0,324.183,324.183,0.758
