"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",    115.78
"Instparm: X",      5.08
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.22
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    320.39
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.15
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,288.87,1.0,296.199,296.167,0.711
10.01,303.391,1.0,296.148,296.116,0.712
10.02,306.82,1.0,296.097,296.065,0.712
10.03,307.0,1.0,296.047,296.015,0.713
10.04,322.462,1.0,295.998,295.966,0.714
10.05,284.905,1.0,295.949,295.917,0.715
10.06,299.177,1.0,295.901,295.869,0.715
10.07,294.641,1.0,295.853,295.821,0.716
10.08,295.816,1.0,295.806,295.774,0.717
10.09,283.291,1.0,295.76,295.728,0.717
10.1,298.334,1.0,295.714,295.682,0.718
10.11,294.558,1.0,295.669,295.637,0.719
10.12,314.855,1.0,295.625,295.593,0.719
10.13,312.468,1.0,295.581,295.549,0.72
10.14,291.161,1.0,295.538,295.505,0.721
10.15,279.943,1.0,295.495,295.463,0.722
10.16,292.58,1.0,295.453,295.421,0.722
10.17,291.285,1.0,295.412,295.379,0.723
10.18,311.806,1.0,295.371,295.338,0.724
10.19,308.575,1.0,295.331,295.298,0.724
10.2,307.096,1.0,295.291,295.258,0.725
10.21,282.605,1.0,295.252,295.219,0.726
10.22,293.548,1.0,295.214,295.181,0.727
10.23,292.292,1.0,295.176,295.143,0.727
10.24,282.073,1.0,295.139,295.106,0.728
10.25,317.986,1.0,295.103,295.07,0.729
10.26,314.786,1.0,295.067,295.034,0.729
10.27,293.268,1.0,295.031,294.999,0.73
10.28,300.01,1.0,294.997,294.964,0.731
10.29,298.298,1.0,294.963,294.93,0.732
10.3,317.806,1.0,294.93,294.897,0.732
10.31,298.402,1.0,294.897,294.864,0.733
10.32,286.105,1.0,294.865,294.832,0.734
10.33,293.093,1.0,294.833,294.8,0.734
10.34,294.899,1.0,294.802,294.769,0.735
10.35,320.157,1.0,294.772,294.739,0.736
10.36,301.445,1.0,294.743,294.709,0.736
10.37,295.409,1.0,294.714,294.68,0.737
10.38,287.821,1.0,294.685,294.652,0.738
10.39,282.515,1.0,294.657,294.624,0.739
10.4,298.14,1.0,294.63,294.597,0.739
10.41,296.415,1.0,294.604,294.57,0.74
10.42,302.271,1.0,294.578,294.544,0.741
10.43,293.149,1.0,294.553,294.519,0.741
10.44,283.048,1.0,294.528,294.494,0.742
10.45,297.212,1.0,294.504,294.47,0.743
10.46,299.894,1.0,294.481,294.447,0.744
10.47,294.636,1.0,294.458,294.424,0.744
10.48,319.917,1.0,294.436,294.402,0.745
10.49,288.161,1.0,294.415,294.381,0.746
10.5,293.822,1.0,294.394,294.36,0.746
10.51,281.611,1.0,294.373,294.34,0.747
10.52,285.353,1.0,294.354,294.32,0.748
10.53,316.322,1.0,294.335,294.301,0.749
10.54,311.977,1.0,294.317,294.283,0.749
10.55,314.564,1.0,294.299,294.265,0.75
10.56,301.639,1.0,294.282,294.248,0.751
10.57,308.013,1.0,294.265,294.231,0.751
10.58,307.22,1.0,294.25,294.215,0.752
10.59,315.896,1.0,294.235,294.2,0.753
10.6,308.997,1.0,294.22,294.186,0.753
10.61,286.668,1.0,294.206,294.172,0.754
10.62,291.996,1.0,294.193,294.158,0.755
10.63,313.426,1.0,294.18,294.146,0.756
10.64,318.663,1.0,294.168,294.134,0.756
10.65,319.887,1.0,294.157,294.122,0.757
10.66,304.922,1.0,294.146,294.111,0.758
10.67,307.433,1.0,294.136,294.101,0.758
10.68,304.455,1.0,294.127,294.092,0.759
10.69,301.343,1.0,294.118,294.083,0.76
10.7,302.771,1.0,294.11,294.075,0.761
10.71,307.425,1.0,294.102,294.067,0.761
10.72,304.461,1.0,294.095,294.06,0.762
10.73,308.421,1.0,294.089,294.054,0.763
10.74,307.232,1.0,294.083,294.048,0.763
10.75,300.816,1.0,294.078,294.043,0.764
10.76,292.052,1.0,294.074,294.039,0.765
10.77,281.29,1.0,294.07,294.035,0.766
10.78,287.941,1.0,294.067,294.032,0.766
10.79,279.298,1.0,294.064,294.029,0.767
10.8,267.421,1.0,294.063,294.027,0.768
10.81,285.386,1.0,294.061,294.026,0.768
10.82,286.238,1.0,294.061,294.025,0.769
