"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.034240
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     16.69
"Instparm: W",      5.00
"Instparm: X",      4.24
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.07
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    127.71
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.15
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,293.664,1.0,315.88,315.88,0.709
10.01,311.391,1.0,315.702,315.702,0.709
10.02,298.436,1.0,315.525,315.525,0.71
10.03,306.099,1.0,315.349,315.349,0.711
10.04,310.638,1.0,315.174,315.174,0.711
10.05,308.272,1.0,315.0,315.0,0.712
10.06,300.729,1.0,314.827,314.827,0.713
10.07,300.908,1.0,314.654,314.654,0.713
10.08,304.633,1.0,314.483,314.483,0.714
10.09,311.355,1.0,314.312,314.312,0.715
10.1,309.278,1.0,314.142,314.142,0.716
10.11,321.699,1.0,313.973,313.973,0.716
10.12,303.959,1.0,313.805,313.805,0.717
10.13,288.404,1.0,313.638,313.638,0.718
10.14,295.154,1.0,313.472,313.472,0.718
10.15,292.377,1.0,313.306,313.306,0.719
10.16,311.012,1.0,313.142,313.142,0.72
10.17,302.141,1.0,312.978,312.978,0.721
10.18,300.095,1.0,312.815,312.815,0.721
10.19,300.0,1.0,312.653,312.653,0.722
10.2,308.135,1.0,312.492,312.492,0.723
10.21,309.904,1.0,312.332,312.332,0.723
10.22,299.162,1.0,312.173,312.173,0.724
10.23,283.555,1.0,312.015,312.015,0.725
10.24,301.854,1.0,311.857,311.857,0.726
10.25,305.804,1.0,311.701,311.701,0.726
10.26,307.803,1.0,311.545,311.545,0.727
10.27,302.592,1.0,311.39,311.39,0.728
10.28,294.792,1.0,311.236,311.236,0.728
10.29,294.901,1.0,311.083,311.083,0.729
10.3,290.499,1.0,310.931,310.931,0.73
10.31,299.899,1.0,310.78,310.78,0.731
10.32,303.699,1.0,310.629,310.629,0.731
10.33,321.085,1.0,310.48,310.48,0.732
10.34,308.619,1.0,310.331,310.331,0.733
10.35,290.827,1.0,310.184,310.184,0.733
10.36,309.656,1.0,310.037,310.037,0.734
10.37,325.466,1.0,309.891,309.891,0.735
10.38,320.718,1.0,309.746,309.746,0.735
10.39,309.236,1.0,309.602,309.602,0.736
10.4,279.307,1.0,309.459,309.459,0.737
10.41,292.133,1.0,309.316,309.316,0.738
10.42,301.167,1.0,309.175,309.175,0.738
10.43,299.313,1.0,309.034,309.034,0.739
10.44,309.742,1.0,308.895,308.895,0.74
10.45,285.051,1.0,308.756,308.756,0.74
10.46,285.578,1.0,308.618,308.618,0.741
10.47,284.212,1.0,308.481,308.481,0.742
10.48,291.15,1.0,308.345,308.345,0.743
10.49,307.186,1.0,308.21,308.21,0.743
10.5,286.676,1.0,308.076,308.076,0.744
10.51,301.852,1.0,307.943,307.943,0.745
10.52,305.784,1.0,307.81,307.81,0.745
10.53,307.784,1.0,307.679,307.679,0.746
10.54,309.783,1.0,307.548,307.548,0.747
10.55,311.782,1.0,307.419,307.419,0.748
10.56,306.656,1.0,307.29,307.29,0.748
10.57,301.548,1.0,307.162,307.162,0.749
10.58,288.541,1.0,307.035,307.035,0.75
10.59,300.344,1.0,306.909,306.909,0.75
10.6,307.335,1.0,306.784,306.784,0.751
10.61,312.444,1.0,306.66,306.66,0.752
10.62,303.227,1.0,306.537,306.537,0.752
10.63,281.574,1.0,306.414,306.414,0.753
10.64,280.775,1.0,306.293,306.293,0.754
10.65,273.014,1.0,306.172,306.172,0.755
10.66,291.513,1.0,306.052,306.052,0.755
10.67,307.298,1.0,305.934,305.934,0.756
10.68,323.179,1.0,305.816,305.816,0.757
10.69,321.457,1.0,305.699,305.699,0.757
10.7,297.979,1.0,305.583,305.583,0.758
10.71,300.31,1.0,305.468,305.468,0.759
10.72,295.692,1.0,305.354,305.354,0.76
10.73,300.306,1.0,305.241,305.241,0.76
10.74,297.464,1.0,305.128,305.128,0.761
10.75,292.583,1.0,305.017,305.017,0.762
10.76,308.779,1.0,304.906,304.906,0.762
10.77,318.945,1.0,304.797,304.797,0.763
10.78,311.177,1.0,304.688,304.688,0.764
10.79,291.479,1.0,304.58,304.58,0.765
10.8,305.75,1.0,304.474,304.474,0.765
10.81,308.881,1.0,304.368,304.368,0.766
10.82,309.0,1.0,304.263,304.263,0.767
10.83,314.282,1.0,304.159,304.159,0.767
10.84,299.16,1.0,304.055,304.055,0.768
10.85,305.796,1.0,303.953,303.953,0.769
10.86,304.362,1.0,303.852,303.852,0.769
10.87,292.575,1.0,303.752,303.752,0.77
10.88,298.028,1.0,303.652,303.652,0.771
10.89,309.537,1.0,303.553,303.553,0.772
10.9,308.367,1.0,303.456,303.456,0.772
10.91,299.227,1.0,303.359,303.359,0.773
10.92,296.246,1.0,303.263,303.263,0.774
10.93,317.913,1.0,303.169,303.169,0.774
10.94,314.867,1.0,303.075,303.075,0.775
10.95,327.136,1.0,302.982,302.982,0.776
10.96,327.249,1.0,302.89,302.89,0.777
10.97,314.751,1.0,302.798,302.798,0.777
10.98,308.627,1.0,302.708,302.708,0.778
10.99,304.503,1.0,302.619,302.619,0.779
11.0,291.767,1.0,302.53,302.53,0.779
11.01,301.354,1.0,302.443,302.443,0.78
11.02,315.221,1.0,302.356,302.356,0.781
11.03,308.274,1.0,302.271,302.271,0.782
11.04,305.256,1.0,302.186,302.186,0.782
11.05,319.82,1.0,302.102,302.102,0.783
11.06,322.0,1.0,302.019,302.019,0.784
11.07,322.871,1.0,301.938,301.938,0.784
11.08,330.835,1.0,301.857,301.857,0.785
11.09,305.025,1.0,301.777,301.777,0.786
11.1,295.781,1.0,301.697,301.697,0.787
11.11,311.518,1.0,301.619,301.619,0.787
11.12,313.131,1.0,301.542,301.542,0.788
11.13,283.469,1.0,301.466,301.466,0.789
11.14,311.99,1.0,301.39,301.39,0.789
11.15,316.132,1.0,301.316,301.316,0.79
11.16,316.0,1.0,301.242,301.242,0.791
11.17,307.33,1.0,301.169,301.169,0.791
11.18,306.867,1.0,301.098,301.098,0.792
11.19,310.465,1.0,301.027,301.027,0.793
11.2,308.403,1.0,300.957,300.957,0.794
11.21,323.576,1.0,300.888,300.888,0.794
11.22,300.917,1.0,300.82,300.82,0.795
11.23,304.781,1.0,300.753,300.753,0.796
11.24,315.505,1.0,300.687,300.687,0.796
11.25,317.864,1.0,300.622,300.622,0.797
11.26,319.727,1.0,300.557,300.557,0.798
11.27,298.428,1.0,300.494,300.494,0.799
11.28,299.312,1.0,300.431,300.431,0.799
11.29,311.207,1.0,300.37,300.37,0.8
11.3,312.138,1.0,300.309,300.309,0.801
11.31,292.191,1.0,300.25,300.25,0.801
11.32,297.608,1.0,300.191,300.191,0.802
11.33,284.373,1.0,300.133,300.133,0.803
11.34,284.58,1.0,300.076,300.076,0.804
11.35,296.175,1.0,300.02,300.02,0.804
11.36,315.184,1.0,299.965,299.965,0.805
11.37,289.66,1.0,299.911,299.911,0.806
11.38,312.468,1.0,299.858,299.858,0.806
11.39,293.835,1.0,299.806,299.806,0.807
11.4,302.006,1.0,299.754,299.754,0.808
11.41,290.286,1.0,299.704,299.704,0.808
11.42,282.003,1.0,299.655,299.655,0.809
11.43,292.132,1.0,299.606,299.606,0.81
11.44,301.703,1.0,299.558,299.558,0.811
11.45,305.566,1.0,299.512,299.512,0.811
11.46,321.391,1.0,299.466,299.466,0.812
11.47,312.035,1.0,299.421,299.421,0.813
11.48,303.166,1.0,299.377,299.377,0.813
11.49,312.246,1.0,299.334,299.334,0.814
11.5,300.346,1.0,299.292,299.292,0.815
11.51,306.53,1.0,299.251,299.251,0.816
11.52,319.936,1.0,299.211,299.211,0.816
11.53,310.922,1.0,299.172,299.172,0.817
11.54,309.0,1.0,299.133,299.133,0.818
11.55,298.785,1.0,299.096,299.096,0.818
11.56,297.851,1.0,299.059,299.059,0.819
11.57,301.402,1.0,299.024,299.024,0.82
11.58,302.0,1.0,298.989,298.989,0.821
11.59,296.902,1.0,298.955,298.955,0.821
11.6,290.056,1.0,298.923,298.923,0.822
11.61,290.697,1.0,298.891,298.891,0.823
11.62,301.18,1.0,298.86,298.86,0.823
11.63,297.913,1.0,298.83,298.83,0.824
11.64,293.61,1.0,298.801,298.801,0.825
11.65,305.706,1.0,298.773,298.773,0.825
11.66,318.159,1.0,298.745,298.745,0.826
11.67,326.769,1.0,298.719,298.719,0.827
11.68,317.851,1.0,298.694,298.694,0.828
11.69,314.309,1.0,298.669,298.669,0.828
11.7,308.931,1.0,298.646,298.646,0.829
11.71,293.644,1.0,298.623,298.623,0.83
11.72,280.871,1.0,298.601,298.601,0.83
11.73,308.527,1.0,298.58,298.58,0.831
11.74,325.805,1.0,298.561,298.561,0.832
11.75,313.673,1.0,298.542,298.542,0.833
11.76,310.158,1.0,298.524,298.524,0.833
11.77,306.632,1.0,298.506,298.506,0.834
11.78,305.159,1.0,298.49,298.49,0.835
11.79,304.159,1.0,298.475,298.475,0.835
11.8,301.478,1.0,298.461,298.461,0.836
11.81,304.361,1.0,298.447,298.447,0.837
11.82,308.359,1.0,298.435,298.435,0.838
11.83,292.214,1.0,298.423,298.423,0.838
11.84,289.839,1.0,298.412,298.412,0.839
11.85,302.576,1.0,298.403,298.403,0.84
11.86,304.162,1.0,298.394,298.394,0.84
11.87,312.376,1.0,298.386,298.386,0.841
11.88,311.489,1.0,298.379,298.379,0.842
11.89,296.776,1.0,298.373,298.373,0.842
11.9,302.363,1.0,298.368,298.368,0.843
11.91,309.851,1.0,298.363,298.363,0.844
11.92,316.848,1.0,298.36,298.36,0.845
11.93,306.311,1.0,298.357,298.357,0.845
11.94,283.137,1.0,298.356,298.356,0.846
11.95,292.345,1.0,298.355,298.355,0.847
11.96,301.669,1.0,298.356,298.356,0.847
11.97,293.002,1.0,298.357,298.357,0.848
11.98,295.164,1.0,298.359,298.359,0.849
11.99,294.335,1.0,298.362,298.362,0.85
12.0,308.973,1.0,298.366,298.366,0.85
12.01,311.169,1.0,298.371,298.371,0.851
12.02,294.381,1.0,298.377,298.377,0.852
12.03,289.339,1.0,298.383,298.383,0.852
12.04,289.0,1.0,298.391,298.391,0.853
12.05,304.763,1.0,298.399,298.399,0.854
12.06,312.975,1.0,298.409,298.409,0.854
12.07,294.11,1.0,298.419,298.419,0.855
12.08,300.768,1.0,298.43,298.43,0.856
12.09,313.762,1.0,298.442,298.442,0.857
12.1,296.142,1.0,298.455,298.455,0.857
12.11,297.789,1.0,298.469,298.469,0.858
12.12,295.694,1.0,298.484,298.484,0.859
12.13,297.478,1.0,298.5,298.5,0.859
12.14,307.082,1.0,298.516,298.516,0.86
12.15,313.126,1.0,298.534,298.534,0.861
12.16,300.804,1.0,298.552,298.552,0.862
12.17,305.419,1.0,298.572,298.572,0.862
12.18,287.228,1.0,298.592,298.592,0.863
12.19,307.702,1.0,298.613,298.613,0.864
12.2,315.469,1.0,298.635,298.635,0.864
12.21,285.568,1.0,298.658,298.658,0.865
12.22,289.686,1.0,298.682,298.682,0.866
12.23,298.573,1.0,298.707,298.707,0.867
12.24,287.683,1.0,298.732,298.732,0.867
12.25,308.8,1.0,298.759,298.759,0.868
12.26,320.562,1.0,298.786,298.786,0.869
12.27,298.227,1.0,298.814,298.814,0.869
12.28,294.639,1.0,298.844,298.844,0.87
12.29,306.464,1.0,298.874,298.874,0.871
12.3,312.274,1.0,298.905,298.905,0.871
12.31,304.002,1.0,298.937,298.937,0.872
12.32,290.555,1.0,298.969,298.969,0.873
12.33,295.353,1.0,299.003,299.003,0.874
12.34,308.432,1.0,299.038,299.038,0.874
12.35,304.471,1.0,299.073,299.073,0.875
12.36,299.737,1.0,299.109,299.109,0.876
12.37,311.228,1.0,299.147,299.147,0.876
12.38,316.444,1.0,299.185,299.185,0.877
12.39,321.886,1.0,299.224,299.224,0.878
12.4,310.792,1.0,299.264,299.264,0.879
12.41,312.067,1.0,299.304,299.304,0.879
12.42,300.806,1.0,299.346,299.346,0.88
12.43,300.437,1.0,299.389,299.389,0.881
12.44,298.564,1.0,299.432,299.432,0.881
12.45,303.681,1.0,299.476,299.476,0.882
12.46,303.378,1.0,299.522,299.522,0.883
12.47,293.273,1.0,299.568,299.568,0.884
12.48,311.254,1.0,299.615,299.615,0.884
12.49,313.571,1.0,299.662,299.662,0.885
12.5,306.526,1.0,299.711,299.711,0.886
12.51,317.94,1.0,299.761,299.761,0.886
12.52,319.383,1.0,299.811,299.811,0.887
12.53,300.42,1.0,299.862,299.862,0.888
12.54,290.348,1.0,299.915,299.915,0.888
12.55,293.841,1.0,299.968,299.968,0.889
12.56,311.935,1.0,300.022,300.022,0.89
12.57,311.97,1.0,300.076,300.076,0.891
12.58,306.167,1.0,300.132,300.132,0.891
12.59,298.56,1.0,300.189,300.189,0.892
12.6,292.977,1.0,300.246,300.246,0.893
12.61,292.804,1.0,300.304,300.304,0.893
12.62,297.018,1.0,300.364,300.364,0.894
12.63,306.032,1.0,300.424,300.424,0.895
12.64,317.632,1.0,300.484,300.484,0.896
12.65,312.78,1.0,300.546,300.546,0.896
12.66,317.414,1.0,300.609,300.609,0.897
12.67,310.987,1.0,300.672,300.672,0.898
12.68,309.801,1.0,300.737,300.737,0.898
12.69,320.405,1.0,300.802,300.802,0.899
12.7,325.4,1.0,300.868,300.868,0.9
12.71,321.204,1.0,300.935,300.935,0.9
12.72,298.429,1.0,301.003,301.003,0.901
12.73,306.574,1.0,301.071,301.071,0.902
12.74,337.132,1.0,301.141,301.141,0.903
12.75,312.897,1.0,301.211,301.211,0.903
12.76,316.956,1.0,301.282,301.282,0.904
12.77,307.255,1.0,301.354,301.354,0.905
12.78,328.679,1.0,301.427,301.427,0.905
12.79,331.818,1.0,301.501,301.501,0.906
12.8,334.976,1.0,301.576,301.576,0.907
12.81,333.616,1.0,301.651,301.651,0.908
12.82,314.734,1.0,301.727,301.727,0.908
12.83,311.587,1.0,301.805,301.805,0.909
12.84,313.586,1.0,301.883,301.883,0.91
12.85,311.622,1.0,301.961,301.961,0.91
12.86,306.246,1.0,302.041,302.041,0.911
12.87,317.669,1.0,302.122,302.122,0.912
12.88,327.331,1.0,302.203,302.203,0.913
12.89,305.275,1.0,302.285,302.285,0.913
12.9,287.935,1.0,302.368,302.368,0.914
12.91,302.377,1.0,302.452,302.452,0.915
12.92,319.63,1.0,302.537,302.537,0.915
12.93,330.889,1.0,302.622,302.622,0.916
12.94,311.712,1.0,302.709,302.709,0.917
12.95,320.971,1.0,302.796,302.796,0.917
12.96,313.976,1.0,302.884,302.884,0.918
12.97,301.556,1.0,302.973,302.973,0.919
12.98,317.089,1.0,303.063,303.063,0.92
12.99,318.856,1.0,303.153,303.153,0.92
13.0,318.0,1.0,303.245,303.245,0.921
13.01,326.635,1.0,303.337,303.337,0.922
13.02,316.447,1.0,303.43,303.43,0.922
13.03,296.534,1.0,303.524,303.524,0.923
13.04,331.179,1.0,303.618,303.618,0.924
13.05,308.327,1.0,303.714,303.714,0.925
13.06,291.956,1.0,303.81,303.81,0.925
13.07,293.129,1.0,303.907,303.907,0.926
13.08,299.471,1.0,304.005,304.005,0.927
13.09,312.717,1.0,304.104,304.104,0.927
13.1,306.632,1.0,304.204,304.204,0.928
13.11,318.043,1.0,304.304,304.304,0.929
