"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.268166
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",     91.85
"Instparm: V",   -211.03
"Instparm: W",    193.67
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.02
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.13
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,335.466,1.0,288.458,288.45,0.73
10.01,319.609,1.0,289.165,289.156,0.731
10.02,302.526,1.0,289.863,289.854,0.731
10.03,302.82,1.0,290.552,290.544,0.732
10.04,295.724,1.0,291.233,291.224,0.733
10.05,286.817,1.0,291.904,291.896,0.734
10.06,315.992,1.0,292.568,292.559,0.734
10.07,332.627,1.0,293.223,293.214,0.735
10.08,322.194,1.0,293.869,293.86,0.736
10.09,306.475,1.0,294.507,294.498,0.736
10.1,295.018,1.0,295.136,295.128,0.737
10.11,300.35,1.0,295.758,295.749,0.738
10.12,296.466,1.0,296.371,296.362,0.738
10.13,310.502,1.0,296.976,296.968,0.739
10.14,325.59,1.0,297.573,297.565,0.74
10.15,318.849,1.0,298.162,298.154,0.741
10.16,305.326,1.0,298.744,298.735,0.741
10.17,309.43,1.0,299.317,299.308,0.742
10.18,322.664,1.0,299.883,299.874,0.743
10.19,317.67,1.0,300.441,300.432,0.743
10.2,316.096,1.0,300.991,300.982,0.744
10.21,327.746,1.0,301.534,301.525,0.745
10.22,324.484,1.0,302.069,302.06,0.746
10.23,306.847,1.0,302.597,302.588,0.746
10.24,321.244,1.0,303.117,303.109,0.747
10.25,315.783,1.0,303.63,303.622,0.748
10.26,314.098,1.0,304.136,304.127,0.748
10.27,301.381,1.0,304.635,304.626,0.749
10.28,317.119,1.0,305.126,305.118,0.75
10.29,309.093,1.0,305.611,305.602,0.751
10.3,305.299,1.0,306.088,306.08,0.751
10.31,310.4,1.0,306.559,306.55,0.752
10.32,331.69,1.0,307.023,307.014,0.753
10.33,340.294,1.0,307.48,307.471,0.753
10.34,312.237,1.0,307.93,307.921,0.754
10.35,281.147,1.0,308.373,308.364,0.755
10.36,301.351,1.0,308.81,308.801,0.755
10.37,331.83,1.0,309.24,309.231,0.756
10.38,347.563,1.0,309.664,309.655,0.757
10.39,342.721,1.0,310.081,310.072,0.758
10.4,336.62,1.0,310.492,310.483,0.758
10.41,319.867,1.0,310.896,310.887,0.759
10.42,305.457,1.0,311.295,311.286,0.76
10.43,289.671,1.0,311.687,311.678,0.76
10.44,324.702,1.0,312.072,312.063,0.761
10.45,320.052,1.0,312.452,312.443,0.762
10.46,313.633,1.0,312.826,312.817,0.763
10.47,315.682,1.0,313.193,313.184,0.763
10.48,323.15,1.0,313.555,313.546,0.764
10.49,321.32,1.0,313.911,313.902,0.765
10.5,319.214,1.0,314.261,314.252,0.765
10.51,319.0,1.0,314.605,314.596,0.766
10.52,304.725,1.0,314.944,314.935,0.767
10.53,307.459,1.0,315.277,315.268,0.768
10.54,306.217,1.0,315.604,315.595,0.768
10.55,304.218,1.0,315.926,315.916,0.769
10.56,323.596,1.0,316.242,316.233,0.77
10.57,319.768,1.0,316.552,316.543,0.77
10.58,324.34,1.0,316.858,316.849,0.771
10.59,320.552,1.0,317.158,317.149,0.772
10.6,289.767,1.0,317.453,317.443,0.773
10.61,304.665,1.0,317.742,317.733,0.773
10.62,310.554,1.0,318.026,318.017,0.774
10.63,316.328,1.0,318.306,318.296,0.775
