"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.160727
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",     14.23
"Instparm: V",    -48.06
"Instparm: W",     38.15
"Instparm: X",      2.84
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.15
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,301.733,1.0,339.971,339.971,0.722
10.01,315.659,1.0,339.722,339.722,0.723
10.02,328.833,1.0,339.475,339.475,0.724
10.03,331.82,1.0,339.229,339.229,0.724
10.04,326.543,1.0,338.984,338.984,0.725
10.05,299.633,1.0,338.74,338.74,0.726
10.06,317.903,1.0,338.497,338.497,0.727
10.07,315.458,1.0,338.256,338.256,0.727
10.08,312.276,1.0,338.016,338.016,0.728
10.09,312.0,1.0,337.777,337.777,0.729
10.1,318.352,1.0,337.539,337.539,0.729
10.11,311.743,1.0,337.303,337.303,0.73
10.12,313.72,1.0,337.067,337.067,0.731
10.13,310.374,1.0,336.833,336.833,0.732
10.14,323.59,1.0,336.6,336.6,0.732
10.15,329.528,1.0,336.368,336.368,0.733
10.16,329.095,1.0,336.138,336.138,0.734
10.17,314.521,1.0,335.908,335.908,0.734
10.18,315.714,1.0,335.68,335.68,0.735
10.19,318.713,1.0,335.453,335.453,0.736
10.2,316.288,1.0,335.228,335.228,0.737
10.21,314.193,1.0,335.003,335.003,0.737
10.22,306.775,1.0,334.78,334.78,0.738
10.23,311.417,1.0,334.558,334.558,0.739
10.24,316.512,1.0,334.337,334.337,0.739
10.25,304.371,1.0,334.117,334.117,0.74
10.26,310.214,1.0,333.899,333.899,0.741
10.27,325.422,1.0,333.681,333.681,0.741
10.28,317.99,1.0,333.465,333.465,0.742
10.29,325.106,1.0,333.25,333.25,0.743
10.3,317.897,1.0,333.037,333.037,0.744
10.31,308.901,1.0,332.824,332.824,0.744
10.32,301.703,1.0,332.613,332.613,0.745
10.33,305.496,1.0,332.403,332.403,0.746
10.34,294.315,1.0,332.195,332.195,0.746
10.35,304.68,1.0,331.987,331.987,0.747
10.36,321.268,1.0,331.781,331.781,0.748
10.37,330.182,1.0,331.576,331.576,0.749
10.38,344.461,1.0,331.372,331.372,0.749
10.39,347.794,1.0,331.169,331.169,0.75
10.4,331.86,1.0,330.968,330.968,0.751
10.41,311.178,1.0,330.768,330.768,0.751
10.42,321.543,1.0,330.569,330.569,0.752
10.43,312.254,1.0,330.371,330.371,0.753
10.44,314.581,1.0,330.175,330.175,0.754
10.45,323.053,1.0,329.979,329.979,0.754
10.46,347.255,1.0,329.785,329.785,0.755
10.47,342.848,1.0,329.593,329.593,0.756
10.48,321.445,1.0,329.401,329.401,0.756
10.49,311.853,1.0,329.211,329.211,0.757
10.5,325.287,1.0,329.022,329.022,0.758
10.51,318.074,1.0,328.834,328.834,0.759
10.52,312.539,1.0,328.647,328.647,0.759
10.53,326.269,1.0,328.462,328.462,0.76
10.54,347.612,1.0,328.277,328.277,0.761
10.55,334.852,1.0,328.095,328.095,0.761
10.56,321.421,1.0,327.913,327.913,0.762
10.57,316.439,1.0,327.732,327.732,0.763
10.58,302.651,1.0,327.553,327.553,0.763
10.59,301.89,1.0,327.375,327.375,0.764
10.6,316.227,1.0,327.198,327.198,0.765
10.61,298.446,1.0,327.023,327.023,0.766
10.62,318.211,1.0,326.849,326.849,0.766
10.63,329.881,1.0,326.676,326.676,0.767
10.64,317.685,1.0,326.504,326.504,0.768
10.65,294.704,1.0,326.333,326.333,0.768
