"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.118494
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -41.04
"Instparm: V",     24.96
"Instparm: W",     72.67
"Instparm: X",      2.49
"Instparm: Y",      0.65
"Instparm: Z",      0.00
"Instparm: SH/L",      0.02
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    350.73
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.23
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,286.494,1.0,284.059,284.059,0.703
10.01,290.374,1.0,284.488,284.488,0.703
10.02,300.102,1.0,284.911,284.911,0.704
10.03,307.369,1.0,285.328,285.328,0.705
10.04,303.452,1.0,285.739,285.739,0.705
10.05,294.817,1.0,286.144,286.144,0.706
10.06,292.182,1.0,286.544,286.544,0.707
10.07,305.627,1.0,286.938,286.938,0.708
10.08,306.092,1.0,287.327,287.327,0.708
10.09,308.723,1.0,287.71,287.71,0.709
10.1,307.185,1.0,288.087,288.087,0.71
10.11,307.0,1.0,288.459,288.459,0.71
10.12,308.813,1.0,288.826,288.826,0.711
10.13,310.813,1.0,289.187,289.187,0.712
10.14,320.06,1.0,289.543,289.543,0.712
10.15,315.566,1.0,289.893,289.893,0.713
10.16,304.136,1.0,290.239,290.239,0.714
10.17,297.57,1.0,290.579,290.579,0.715
10.18,320.52,1.0,290.914,290.914,0.715
10.19,338.372,1.0,291.244,291.244,0.716
10.2,320.114,1.0,291.569,291.569,0.717
10.21,298.122,1.0,291.889,291.889,0.717
10.22,279.743,1.0,292.204,292.204,0.718
10.23,298.765,1.0,292.514,292.514,0.719
10.24,283.853,1.0,292.819,292.819,0.72
10.25,293.727,1.0,293.12,293.12,0.72
10.26,311.231,1.0,293.415,293.415,0.721
10.27,285.959,1.0,293.707,293.707,0.722
10.28,273.089,1.0,293.993,293.993,0.722
10.29,290.013,1.0,294.275,294.275,0.723
10.3,295.601,1.0,294.552,294.552,0.724
10.31,287.901,1.0,294.825,294.825,0.725
10.32,282.502,1.0,295.093,295.093,0.725
10.33,268.512,1.0,295.357,295.357,0.726
10.34,284.078,1.0,295.616,295.616,0.727
10.35,300.376,1.0,295.871,295.871,0.727
10.36,311.879,1.0,296.122,296.122,0.728
10.37,320.182,1.0,296.368,296.368,0.729
10.38,292.284,1.0,296.611,296.611,0.73
10.39,300.661,1.0,296.849,296.849,0.73
10.4,296.62,1.0,297.083,297.083,0.731
10.41,309.444,1.0,297.313,297.313,0.732
10.42,305.625,1.0,297.539,297.539,0.732
10.43,296.94,1.0,297.761,297.761,0.733
10.44,291.524,1.0,297.978,297.978,0.734
10.45,299.053,1.0,298.192,298.192,0.734
10.46,310.733,1.0,298.403,298.403,0.735
10.47,305.742,1.0,298.609,298.609,0.736
10.48,333.598,1.0,298.811,298.811,0.737
10.49,297.694,1.0,299.01,299.01,0.737
10.5,295.679,1.0,299.205,299.205,0.738
10.51,301.355,1.0,299.397,299.397,0.739
10.52,302.892,1.0,299.584,299.584,0.739
10.53,279.812,1.0,299.768,299.768,0.74
10.54,279.674,1.0,299.949,299.949,0.741
10.55,307.624,1.0,300.126,300.126,0.742
10.56,294.967,1.0,300.3,300.3,0.742
10.57,289.439,1.0,300.47,300.47,0.743
10.58,300.569,1.0,300.636,300.636,0.744
10.59,293.994,1.0,300.8,300.8,0.744
10.6,300.114,1.0,300.96,300.96,0.745
10.61,296.556,1.0,301.117,301.117,0.746
10.62,294.223,1.0,301.27,301.27,0.747
10.63,286.895,1.0,301.42,301.42,0.747
10.64,278.898,1.0,301.567,301.567,0.748
10.65,291.31,1.0,301.711,301.711,0.749
10.66,269.94,1.0,301.852,301.852,0.749
10.67,291.824,1.0,301.99,301.99,0.75
10.68,309.179,1.0,302.125,302.125,0.751
10.69,288.855,1.0,302.257,302.257,0.751
10.7,302.823,1.0,302.385,302.385,0.752
10.71,292.61,1.0,302.511,302.511,0.753
10.72,302.5,1.0,302.634,302.634,0.754
10.73,298.694,1.0,302.755,302.755,0.754
10.74,301.536,1.0,302.872,302.872,0.755
10.75,305.534,1.0,302.986,302.986,0.756
10.76,321.896,1.0,303.098,303.098,0.756
10.77,312.525,1.0,303.207,303.207,0.757
10.78,313.647,1.0,303.314,303.314,0.758
10.79,309.59,1.0,303.417,303.417,0.759
10.8,293.132,1.0,303.519,303.519,0.759
10.81,277.782,1.0,303.649,303.617,0.76
10.82,292.735,1.0,303.745,303.713,0.761
10.83,304.685,1.0,303.838,303.807,0.761
10.84,292.8,1.0,303.93,303.898,0.762
10.85,291.0,1.0,304.018,303.986,0.763
10.86,269.019,1.0,304.104,304.072,0.764
10.87,282.698,1.0,304.204,304.156,0.764
10.88,313.989,1.0,304.286,304.238,0.765
10.89,304.829,1.0,304.365,304.317,0.766
10.9,295.101,1.0,304.442,304.394,0.766
10.91,302.773,1.0,304.516,304.468,0.767
10.92,302.246,1.0,304.589,304.54,0.768
10.93,300.247,1.0,304.659,304.61,0.768
10.94,290.363,1.0,304.727,304.678,0.769
10.95,293.379,1.0,304.793,304.744,0.77
10.96,295.751,1.0,304.856,304.808,0.771
10.97,318.748,1.0,304.918,304.87,0.771
10.98,309.756,1.0,304.978,304.929,0.772
10.99,280.901,1.0,305.035,304.987,0.773
11.0,278.748,1.0,305.091,305.042,0.773
11.01,292.974,1.0,305.145,305.096,0.774
11.02,301.111,1.0,305.196,305.148,0.775
11.03,283.676,1.0,305.246,305.197,0.776
11.04,284.489,1.0,305.294,305.245,0.776
11.05,285.0,1.0,305.34,305.291,0.777
11.06,293.714,1.0,305.385,305.336,0.778
11.07,298.484,1.0,305.427,305.378,0.778
11.08,296.388,1.0,305.468,305.419,0.779
11.09,308.182,1.0,305.507,305.458,0.78
11.1,281.298,1.0,305.544,305.495,0.781
11.11,266.568,1.0,305.58,305.531,0.781
11.12,285.855,1.0,305.614,305.565,0.782
11.13,306.371,1.0,305.647,305.597,0.783
11.14,302.923,1.0,305.677,305.628,0.783
11.15,299.397,1.0,305.707,305.657,0.784
11.16,302.469,1.0,305.734,305.684,0.785
11.17,308.202,1.0,305.761,305.711,0.785
11.18,302.934,1.0,305.785,305.735,0.786
11.19,292.472,1.0,305.808,305.758,0.787
11.2,293.597,1.0,305.83,305.78,0.788
11.21,300.923,1.0,305.851,305.8,0.788
11.22,293.351,1.0,305.87,305.819,0.789
11.23,285.948,1.0,305.887,305.837,0.79
11.24,294.505,1.0,305.904,305.853,0.79
11.25,302.91,1.0,305.919,305.868,0.791
11.26,303.137,1.0,305.932,305.882,0.792
11.27,315.943,1.0,305.945,305.894,0.793
11.28,311.963,1.0,305.956,305.905,0.793
11.29,312.724,1.0,305.966,305.915,0.794
11.3,306.107,1.0,305.975,305.924,0.795
11.31,298.971,1.0,305.982,305.931,0.795
11.32,303.165,1.0,305.989,305.938,0.796
11.33,316.046,1.0,305.994,305.943,0.797
11.34,310.26,1.0,305.998,305.947,0.798
11.35,287.51,1.0,306.002,305.95,0.798
11.36,290.014,1.0,306.004,305.952,0.799
11.37,288.424,1.0,306.005,305.954,0.8
11.38,284.567,1.0,306.005,305.954,0.8
11.39,300.301,1.0,306.004,305.953,0.801
11.4,293.567,1.0,306.002,305.951,0.802
11.41,304.857,1.0,306.0,305.948,0.802
11.42,304.43,1.0,305.996,305.944,0.803
11.43,305.713,1.0,305.991,305.94,0.804
11.44,312.847,1.0,305.986,305.934,0.805
11.45,322.555,1.0,305.98,305.928,0.805
11.46,317.16,1.0,305.972,305.92,0.806
11.47,298.907,1.0,305.965,305.912,0.807
11.48,283.187,1.0,305.956,305.904,0.807
11.49,280.146,1.0,305.946,305.894,0.808
11.5,299.628,1.0,305.936,305.884,0.809
11.51,297.882,1.0,305.925,305.873,0.81
11.52,298.705,1.0,305.914,305.861,0.81
11.53,278.549,1.0,305.901,305.849,0.811
11.54,288.627,1.0,305.888,305.836,0.812
11.55,301.215,1.0,305.875,305.822,0.812
11.56,305.553,1.0,305.86,305.808,0.813
11.57,287.29,1.0,305.846,305.793,0.814
11.58,280.6,1.0,305.83,305.777,0.815
11.59,283.398,1.0,305.814,305.761,0.815
11.6,297.587,1.0,305.798,305.744,0.816
11.61,304.244,1.0,305.781,305.727,0.817
11.62,309.242,1.0,305.763,305.71,0.817
11.63,297.282,1.0,305.745,305.692,0.818
11.64,291.61,1.0,305.726,305.673,0.819
11.65,307.941,1.0,305.707,305.654,0.819
11.66,307.614,1.0,305.688,305.634,0.82
11.67,303.615,1.0,305.668,305.614,0.821
11.68,294.542,1.0,305.648,305.594,0.822
11.69,291.309,1.0,305.627,305.573,0.822
11.7,292.69,1.0,305.606,305.552,0.823
11.71,298.911,1.0,305.585,305.531,0.824
11.72,283.119,1.0,305.563,305.509,0.824
11.73,292.654,1.0,305.541,305.487,0.825
11.74,297.53,1.0,305.519,305.465,0.826
11.75,291.258,1.0,305.497,305.442,0.827
11.76,300.108,1.0,305.474,305.42,0.827
11.77,322.206,1.0,305.451,305.396,0.828
11.78,294.024,1.0,305.428,305.373,0.829
11.79,283.795,1.0,305.404,305.35,0.829
