"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.063845
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -62.80
"Instparm: V",     57.73
"Instparm: W",      3.90
"Instparm: X",      7.41
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.05
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.20
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,300.437,1.0,279.973,279.973,0.715
10.01,303.089,1.0,280.467,280.467,0.716
10.02,295.718,1.0,280.953,280.953,0.717
10.03,307.738,1.0,281.432,281.432,0.718
10.04,302.633,1.0,281.905,281.905,0.718
10.05,313.819,1.0,282.372,282.372,0.719
10.06,303.185,1.0,282.831,282.831,0.72
10.07,296.549,1.0,283.285,283.285,0.72
10.08,273.297,1.0,283.731,283.731,0.721
10.09,279.17,1.0,284.171,284.171,0.722
10.1,302.686,1.0,284.605,284.605,0.723
10.11,279.602,1.0,285.033,285.033,0.723
10.12,286.067,1.0,285.454,285.454,0.724
10.13,280.655,1.0,285.869,285.869,0.725
10.14,280.0,1.0,286.279,286.279,0.725
10.15,295.396,1.0,286.681,286.681,0.726
10.16,308.769,1.0,287.078,287.078,0.727
10.17,310.0,1.0,287.469,287.469,0.728
10.18,313.618,1.0,287.854,287.854,0.728
10.19,294.107,1.0,288.233,288.233,0.729
10.2,301.039,1.0,288.607,288.607,0.73
10.21,320.974,1.0,288.974,288.974,0.73
10.22,302.227,1.0,289.336,289.336,0.731
10.23,310.834,1.0,289.692,289.692,0.732
10.24,301.171,1.0,290.043,290.043,0.733
10.25,290.077,1.0,290.388,290.388,0.733
10.26,270.965,1.0,290.727,290.727,0.734
10.27,261.789,1.0,291.061,291.061,0.735
10.28,294.337,1.0,291.389,291.389,0.735
10.29,289.894,1.0,291.713,291.713,0.736
10.3,288.1,1.0,292.031,292.031,0.737
10.31,273.601,1.0,292.343,292.343,0.737
10.32,298.987,1.0,292.651,292.651,0.738
10.33,309.194,1.0,292.953,292.953,0.739
10.34,279.44,1.0,293.25,293.25,0.74
10.35,265.218,1.0,293.542,293.542,0.74
10.36,289.147,1.0,293.829,293.829,0.741
10.37,305.466,1.0,294.111,294.111,0.742
10.38,295.334,1.0,294.388,294.388,0.742
10.39,284.133,1.0,294.66,294.66,0.743
10.4,285.69,1.0,294.928,294.928,0.744
10.41,309.303,1.0,295.19,295.19,0.745
10.42,301.249,1.0,295.448,295.448,0.745
10.43,296.418,1.0,295.701,295.701,0.746
10.44,306.742,1.0,295.95,295.95,0.747
10.45,298.157,1.0,296.194,296.194,0.747
10.46,297.894,1.0,296.433,296.433,0.748
10.47,319.457,1.0,296.668,296.668,0.749
10.48,296.977,1.0,296.899,296.899,0.75
10.49,274.347,1.0,297.124,297.124,0.75
10.5,276.465,1.0,297.346,297.346,0.751
10.51,289.496,1.0,297.563,297.563,0.752
10.52,305.275,1.0,297.776,297.776,0.752
10.53,309.675,1.0,297.985,297.985,0.753
10.54,316.24,1.0,298.189,298.189,0.754
10.55,308.98,1.0,298.39,298.39,0.754
10.56,308.891,1.0,298.586,298.586,0.755
10.57,309.89,1.0,298.778,298.778,0.756
10.58,302.88,1.0,298.966,298.966,0.757
10.59,306.448,1.0,299.15,299.15,0.757
10.6,295.44,1.0,299.331,299.331,0.758
10.61,292.222,1.0,299.507,299.507,0.759
10.62,299.108,1.0,299.679,299.679,0.759
10.63,278.686,1.0,299.848,299.848,0.76
10.64,285.765,1.0,300.013,300.013,0.761
10.65,287.887,1.0,300.174,300.174,0.762
10.66,313.721,1.0,300.331,300.331,0.762
10.67,286.857,1.0,300.485,300.485,0.763
10.68,283.0,1.0,300.635,300.635,0.764
10.69,279.457,1.0,300.781,300.781,0.764
10.7,275.458,1.0,300.924,300.924,0.765
10.71,298.011,1.0,301.063,301.063,0.766
10.72,299.231,1.0,301.199,301.199,0.767
10.73,290.157,1.0,301.332,301.332,0.767
10.74,281.045,1.0,301.461,301.461,0.768
10.75,302.971,1.0,301.587,301.587,0.769
10.76,305.117,1.0,301.709,301.709,0.769
10.77,316.475,1.0,301.828,301.828,0.77
10.78,310.059,1.0,301.944,301.944,0.771
10.79,286.951,1.0,302.057,302.057,0.771
10.8,301.631,1.0,302.166,302.166,0.772
10.81,314.574,1.0,302.273,302.273,0.773
10.82,305.43,1.0,302.376,302.376,0.774
10.83,303.12,1.0,302.476,302.476,0.774
10.84,300.36,1.0,302.574,302.574,0.775
10.85,304.398,1.0,302.668,302.668,0.776
10.86,319.947,1.0,302.759,302.759,0.776
10.87,310.575,1.0,302.848,302.848,0.777
10.88,293.188,1.0,302.933,302.933,0.778
10.89,288.366,1.0,303.016,303.016,0.779
10.9,301.165,1.0,303.096,303.096,0.779
10.91,290.718,1.0,303.173,303.173,0.78
10.92,324.076,1.0,303.247,303.247,0.781
10.93,321.988,1.0,303.319,303.319,0.781
10.94,299.973,1.0,303.388,303.388,0.782
10.95,304.006,1.0,303.454,303.454,0.783
10.96,306.751,1.0,303.518,303.518,0.784
10.97,313.999,1.0,303.579,303.579,0.784
10.98,307.129,1.0,303.638,303.638,0.785
10.99,311.245,1.0,303.694,303.694,0.786
11.0,322.485,1.0,303.747,303.747,0.786
11.01,304.786,1.0,303.798,303.798,0.787
11.02,289.779,1.0,303.847,303.847,0.788
