"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",   -272.18
"Instparm: V",     -2.00
"Instparm: W",     22.87
"Instparm: X",     13.72
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.01
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",     82.09
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.15
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,297.15,1.0,319.173,319.173,0.711
10.01,294.536,1.0,318.557,318.557,0.712
10.02,286.718,1.0,317.945,317.945,0.712
10.03,273.262,1.0,317.338,317.338,0.713
10.04,281.095,1.0,316.736,316.736,0.714
10.05,260.179,1.0,316.137,316.137,0.715
10.06,280.721,1.0,315.543,315.543,0.715
10.07,280.275,1.0,314.954,314.954,0.716
10.08,284.541,1.0,314.368,314.368,0.717
10.09,281.369,1.0,313.788,313.788,0.717
10.1,291.889,1.0,313.211,313.211,0.718
10.11,275.765,1.0,312.639,312.639,0.719
10.12,275.813,1.0,312.071,312.071,0.719
10.13,290.502,1.0,311.507,311.507,0.72
10.14,291.094,1.0,310.948,310.948,0.721
10.15,302.774,1.0,310.392,310.392,0.722
10.16,300.379,1.0,309.841,309.841,0.722
10.17,275.566,1.0,309.295,309.295,0.723
10.18,280.237,1.0,308.752,308.752,0.724
10.19,281.904,1.0,308.214,308.214,0.724
10.2,283.808,1.0,307.679,307.679,0.725
10.21,291.228,1.0,307.149,307.149,0.726
10.22,291.097,1.0,306.623,306.623,0.727
10.23,284.68,1.0,306.102,306.102,0.727
10.24,293.927,1.0,305.584,305.584,0.728
10.25,298.608,1.0,305.07,305.07,0.729
10.26,277.358,1.0,304.561,304.561,0.729
10.27,271.395,1.0,304.055,304.055,0.73
10.28,274.604,1.0,303.553,303.553,0.731
10.29,270.497,1.0,303.056,303.056,0.732
10.3,285.305,1.0,302.562,302.562,0.732
10.31,272.601,1.0,302.073,302.073,0.733
10.32,292.59,1.0,301.587,301.587,0.734
10.33,293.202,1.0,301.106,301.106,0.734
10.34,279.517,1.0,300.628,300.628,0.735
10.35,280.695,1.0,300.154,300.154,0.736
10.36,281.898,1.0,299.685,299.685,0.736
10.37,271.227,1.0,299.219,299.219,0.737
10.38,254.745,1.0,298.757,298.757,0.738
10.39,257.485,1.0,298.299,298.299,0.739
10.4,279.519,1.0,297.844,297.844,0.739
10.41,275.726,1.0,297.394,297.394,0.74
10.42,283.063,1.0,296.947,296.947,0.741
10.43,276.836,1.0,296.504,296.504,0.741
10.44,294.799,1.0,296.065,296.065,0.742
10.45,309.527,1.0,295.63,295.63,0.743
10.46,291.322,1.0,295.199,295.199,0.744
10.47,259.496,1.0,294.771,294.771,0.744
10.48,272.98,1.0,294.347,294.347,0.745
10.49,285.72,1.0,293.927,293.927,0.746
10.5,278.963,1.0,293.51,293.51,0.746
10.51,268.182,1.0,293.097,293.097,0.747
10.52,265.216,1.0,292.688,292.688,0.748
10.53,270.351,1.0,292.282,292.282,0.749
10.54,284.372,1.0,291.881,291.881,0.749
10.55,277.089,1.0,291.482,291.482,0.75
10.56,278.672,1.0,291.088,291.088,0.751
10.57,288.794,1.0,290.697,290.697,0.751
10.58,284.66,1.0,290.309,290.309,0.752
10.59,281.331,1.0,289.925,289.925,0.753
10.6,279.222,1.0,289.545,289.545,0.753
10.61,285.222,1.0,289.168,289.168,0.754
10.62,283.335,1.0,288.795,288.795,0.755
10.63,283.0,1.0,288.425,288.425,0.756
10.64,290.102,1.0,288.059,288.059,0.756
10.65,293.662,1.0,287.696,287.696,0.757
10.66,281.583,1.0,287.337,287.337,0.758
10.67,275.567,1.0,286.981,286.981,0.758
10.68,290.065,1.0,286.629,286.629,0.759
10.69,295.543,1.0,286.28,286.28,0.76
10.7,292.458,1.0,285.934,285.934,0.761
10.71,276.954,1.0,285.592,285.592,0.761
10.72,255.538,1.0,285.254,285.254,0.762
10.73,261.843,1.0,284.918,284.918,0.763
10.74,268.303,1.0,284.586,284.586,0.763
10.75,253.981,1.0,284.258,284.258,0.764
10.76,244.935,1.0,283.932,283.932,0.765
10.77,267.834,1.0,283.611,283.611,0.766
10.78,266.588,1.0,283.292,283.292,0.766
10.79,270.41,1.0,282.977,282.977,0.767
10.8,283.342,1.0,282.665,282.665,0.768
10.81,291.168,1.0,282.356,282.356,0.768
10.82,267.338,1.0,282.05,282.05,0.769
10.83,267.522,1.0,281.748,281.748,0.77
10.84,266.24,1.0,281.449,281.449,0.771
10.85,277.435,1.0,281.153,281.153,0.771
10.86,271.966,1.0,280.86,280.86,0.772
10.87,273.637,1.0,280.571,280.571,0.773
10.88,266.972,1.0,280.285,280.285,0.773
10.89,284.44,1.0,280.002,280.002,0.774
10.9,253.648,1.0,279.722,279.722,0.775
10.91,277.073,1.0,279.445,279.445,0.775
10.92,279.246,1.0,279.171,279.171,0.776
10.93,276.37,1.0,278.901,278.901,0.777
10.94,284.761,1.0,278.633,278.633,0.778
10.95,280.746,1.0,278.369,278.369,0.778
10.96,280.0,1.0,278.107,278.107,0.779
10.97,277.375,1.0,277.849,277.849,0.78
10.98,294.491,1.0,277.594,277.594,0.78
10.99,279.517,1.0,277.342,277.342,0.781
11.0,270.01,1.0,277.093,277.093,0.782
11.01,276.86,1.0,276.846,276.846,0.783
11.02,270.143,1.0,276.603,276.603,0.783
11.03,279.471,1.0,276.363,276.363,0.784
11.04,292.338,1.0,276.126,276.126,0.785
11.05,278.308,1.0,275.892,275.892,0.785
11.06,297.784,1.0,275.66,275.66,0.786
11.07,300.129,1.0,275.432,275.432,0.787
11.08,279.106,1.0,275.207,275.207,0.788
11.09,273.389,1.0,274.984,274.984,0.788
11.1,296.484,1.0,274.764,274.764,0.789
11.11,288.698,1.0,274.548,274.548,0.79
11.12,276.572,1.0,274.334,274.334,0.79
11.13,289.766,1.0,274.123,274.123,0.791
11.14,288.527,1.0,273.914,273.914,0.792
11.15,274.116,1.0,273.709,273.709,0.792
11.16,291.082,1.0,273.506,273.506,0.793
11.17,299.202,1.0,273.307,273.307,0.794
11.18,280.936,1.0,273.11,273.11,0.795
11.19,264.142,1.0,272.916,272.916,0.795
11.2,274.12,1.0,272.724,272.724,0.796
11.21,285.519,1.0,272.536,272.536,0.797
11.22,286.135,1.0,272.35,272.35,0.797
11.23,292.916,1.0,272.167,272.167,0.798
11.24,287.087,1.0,271.986,271.986,0.799
11.25,281.681,1.0,271.808,271.808,0.8
11.26,293.95,1.0,271.633,271.633,0.8
11.27,292.548,1.0,271.461,271.461,0.801
11.28,291.138,1.0,271.291,271.291,0.802
11.29,278.931,1.0,271.124,271.124,0.802
11.3,284.755,1.0,270.96,270.96,0.803
11.31,305.809,1.0,270.798,270.798,0.804
11.32,295.226,1.0,270.639,270.639,0.805
11.33,275.791,1.0,270.483,270.483,0.805
11.34,284.18,1.0,270.329,270.329,0.806
11.35,286.86,1.0,270.178,270.178,0.807
11.36,267.238,1.0,270.029,270.029,0.807
11.37,266.576,1.0,269.883,269.883,0.808
11.38,275.584,1.0,269.739,269.739,0.809
11.39,279.574,1.0,269.598,269.598,0.809
11.4,286.86,1.0,269.46,269.46,0.81
11.41,293.143,1.0,269.324,269.324,0.811
11.42,277.722,1.0,269.19,269.19,0.812
11.43,264.724,1.0,269.059,269.059,0.812
11.44,275.838,1.0,268.931,268.931,0.813
11.45,283.988,1.0,268.805,268.805,0.814
11.46,296.116,1.0,268.682,268.682,0.814
11.47,285.181,1.0,268.56,268.56,0.815
11.48,276.166,1.0,268.442,268.442,0.816
11.49,287.807,1.0,268.326,268.326,0.817
11.5,276.346,1.0,268.212,268.212,0.817
11.51,262.912,1.0,268.101,268.101,0.818
11.52,276.346,1.0,267.992,267.992,0.819
11.53,279.0,1.0,267.885,267.885,0.819
11.54,302.848,1.0,267.781,267.781,0.82
11.55,295.933,1.0,267.679,267.679,0.821
11.56,293.149,1.0,267.58,267.58,0.822
11.57,281.094,1.0,267.483,267.483,0.822
11.58,283.25,1.0,267.388,267.388,0.823
11.59,283.15,1.0,267.295,267.295,0.824
11.6,266.017,1.0,267.205,267.205,0.824
11.61,279.126,1.0,267.117,267.117,0.825
11.62,290.483,1.0,267.032,267.032,0.826
11.63,301.327,1.0,266.949,266.949,0.826
11.64,316.559,1.0,266.868,266.868,0.827
11.65,293.589,1.0,266.789,266.789,0.828
11.66,280.534,1.0,266.712,266.712,0.829
11.67,278.154,1.0,266.638,266.638,0.829
11.68,270.388,1.0,266.566,266.566,0.83
11.69,263.928,1.0,266.496,266.496,0.831
11.7,282.433,1.0,266.429,266.429,0.831
11.71,280.933,1.0,266.363,266.363,0.832
11.72,290.973,1.0,266.3,266.3,0.833
11.73,279.502,1.0,266.239,266.239,0.834
11.74,277.0,1.0,266.18,266.18,0.834
11.75,278.686,1.0,266.123,266.123,0.835
11.76,267.207,1.0,266.069,266.069,0.836
11.77,273.419,1.0,266.016,266.016,0.836
11.78,276.683,1.0,265.966,265.966,0.837
11.79,277.0,1.0,265.917,265.917,0.838
11.8,271.956,1.0,265.871,265.871,0.839
11.81,274.361,1.0,265.827,265.827,0.839
11.82,288.436,1.0,265.785,265.785,0.84
11.83,273.375,1.0,265.745,265.745,0.841
11.84,266.645,1.0,265.707,265.707,0.841
11.85,269.354,1.0,265.672,265.672,0.842
11.86,270.0,1.0,265.638,265.638,0.843
11.87,283.401,1.0,265.606,265.606,0.843
11.88,267.583,1.0,265.576,265.576,0.844
11.89,251.45,1.0,265.549,265.549,0.845
11.9,279.941,1.0,265.523,265.523,0.846
11.91,303.552,1.0,265.499,265.499,0.846
11.92,294.469,1.0,265.478,265.478,0.847
11.93,272.796,1.0,265.458,265.458,0.848
11.94,284.021,1.0,265.44,265.44,0.848
11.95,281.162,1.0,265.424,265.424,0.849
11.96,279.166,1.0,265.41,265.41,0.85
11.97,290.665,1.0,265.398,265.398,0.851
11.98,290.502,1.0,265.388,265.388,0.851
11.99,291.665,1.0,265.38,265.38,0.852
12.0,293.664,1.0,265.374,265.374,0.853
12.01,291.506,1.0,265.369,265.369,0.853
12.02,293.493,1.0,265.367,265.367,0.854
12.03,283.203,1.0,265.366,265.366,0.855
12.04,282.66,1.0,265.368,265.368,0.856
12.05,279.681,1.0,265.371,265.371,0.856
12.06,287.292,1.0,265.376,265.376,0.857
12.07,285.685,1.0,265.382,265.382,0.858
12.08,292.455,1.0,265.391,265.391,0.858
12.09,297.311,1.0,265.401,265.401,0.859
12.1,293.035,1.0,265.414,265.414,0.86
12.11,287.038,1.0,265.428,265.428,0.86
12.12,285.173,1.0,265.443,265.443,0.861
12.13,298.217,1.0,265.461,265.461,0.862
12.14,317.513,1.0,265.48,265.48,0.863
12.15,286.342,1.0,265.501,265.501,0.863
12.16,275.701,1.0,265.524,265.524,0.864
12.17,278.297,1.0,265.549,265.549,0.865
12.18,287.238,1.0,265.575,265.575,0.865
12.19,291.47,1.0,265.603,265.603,0.866
12.2,278.833,1.0,265.633,265.633,0.867
12.21,276.822,1.0,265.665,265.665,0.868
12.22,280.288,1.0,265.698,265.698,0.868
12.23,287.573,1.0,265.733,265.733,0.869
12.24,284.894,1.0,265.769,265.769,0.87
12.25,296.31,1.0,265.807,265.807,0.87
12.26,291.618,1.0,265.847,265.847,0.871
12.27,284.262,1.0,265.889,265.889,0.872
12.28,283.819,1.0,265.932,265.932,0.872
12.29,281.543,1.0,265.976,265.976,0.873
12.3,293.276,1.0,266.023,266.023,0.874
12.31,295.182,1.0,266.071,266.071,0.875
12.32,279.467,1.0,266.12,266.12,0.875
12.33,275.183,1.0,266.172,266.172,0.876
12.34,278.266,1.0,266.224,266.224,0.877
12.35,262.677,1.0,266.279,266.279,0.877
12.36,267.157,1.0,266.335,266.335,0.878
12.37,288.565,1.0,266.392,266.392,0.879
12.38,288.111,1.0,266.451,266.451,0.88
12.39,291.886,1.0,266.512,266.512,0.88
12.4,299.511,1.0,266.574,266.574,0.881
12.41,298.56,1.0,266.638,266.638,0.882
12.42,290.684,1.0,266.703,266.703,0.882
12.43,298.75,1.0,266.769,266.769,0.883
12.44,289.632,1.0,266.838,266.838,0.884
12.45,304.042,1.0,266.907,266.907,0.885
12.46,287.723,1.0,266.978,266.978,0.885
12.47,270.841,1.0,267.051,267.051,0.886
12.48,267.19,1.0,267.125,267.125,0.887
12.49,287.242,1.0,267.201,267.201,0.887
12.5,293.618,1.0,267.278,267.278,0.888
12.51,298.044,1.0,267.356,267.356,0.889
12.52,287.684,1.0,267.436,267.436,0.889
12.53,276.922,1.0,267.517,267.517,0.89
12.54,275.807,1.0,267.6,267.6,0.891
12.55,300.207,1.0,267.684,267.684,0.892
12.56,298.742,1.0,267.77,267.77,0.892
12.57,282.492,1.0,267.857,267.857,0.893
12.58,285.444,1.0,267.945,267.945,0.894
12.59,280.56,1.0,268.035,268.035,0.894
12.6,280.609,1.0,268.126,268.126,0.895
12.61,270.547,1.0,268.218,268.218,0.896
12.62,278.447,1.0,268.312,268.312,0.897
12.63,269.756,1.0,268.407,268.407,0.897
12.64,288.673,1.0,268.503,268.503,0.898
12.65,295.604,1.0,268.601,268.601,0.899
12.66,291.189,1.0,268.7,268.7,0.899
12.67,306.827,1.0,268.801,268.801,0.9
12.68,313.402,1.0,268.902,268.902,0.901
12.69,305.196,1.0,269.005,269.005,0.902
12.7,291.002,1.0,269.109,269.109,0.902
12.71,287.201,1.0,269.215,269.215,0.903
12.72,283.804,1.0,269.322,269.322,0.904
12.73,266.232,1.0,269.43,269.43,0.904
12.74,273.172,1.0,269.539,269.539,0.905
12.75,287.165,1.0,269.65,269.65,0.906
12.76,300.361,1.0,269.762,269.762,0.906
12.77,296.627,1.0,269.875,269.875,0.907
12.78,284.651,1.0,269.989,269.989,0.908
12.79,269.27,1.0,270.105,270.105,0.909
12.8,277.927,1.0,270.221,270.221,0.909
12.81,283.384,1.0,270.339,270.339,0.91
12.82,290.353,1.0,270.458,270.458,0.911
12.83,288.825,1.0,270.579,270.579,0.911
12.84,285.62,1.0,270.7,270.7,0.912
12.85,288.171,1.0,270.823,270.823,0.913
12.86,292.169,1.0,270.947,270.947,0.914
12.87,288.249,1.0,271.072,271.072,0.914
12.88,270.382,1.0,271.198,271.198,0.915
12.89,284.189,1.0,271.325,271.325,0.916
12.9,289.79,1.0,271.453,271.453,0.916
12.91,288.42,1.0,271.583,271.583,0.917
12.92,291.947,1.0,271.714,271.714,0.918
12.93,285.9,1.0,271.845,271.845,0.918
12.94,276.116,1.0,271.978,271.978,0.919
12.95,284.243,1.0,272.112,272.112,0.92
12.96,292.512,1.0,272.247,272.247,0.921
12.97,288.491,1.0,272.383,272.383,0.921
12.98,305.876,1.0,272.521,272.521,0.922
12.99,309.428,1.0,272.659,272.659,0.923
13.0,294.86,1.0,272.798,272.798,0.923
13.01,285.505,1.0,272.939,272.939,0.924
13.02,299.691,1.0,273.08,273.08,0.925
13.03,289.103,1.0,273.222,273.222,0.926
13.04,288.918,1.0,273.366,273.366,0.926
13.05,268.856,1.0,273.511,273.511,0.927
13.06,285.696,1.0,273.656,273.656,0.928
13.07,299.821,1.0,273.803,273.803,0.928
13.08,298.092,1.0,273.95,273.95,0.929
13.09,289.97,1.0,274.099,274.099,0.93
13.1,281.755,1.0,274.248,274.248,0.931
13.11,278.44,1.0,274.399,274.399,0.931
13.12,279.559,1.0,274.55,274.55,0.932
13.13,285.454,1.0,274.703,274.703,0.933
13.14,291.672,1.0,274.856,274.856,0.933
13.15,287.553,1.0,275.011,275.011,0.934
13.16,268.112,1.0,275.166,275.166,0.935
13.17,268.441,1.0,275.323,275.323,0.935
13.18,280.874,1.0,275.48,275.48,0.936
