"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.107877
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -15.54
"Instparm: V",    -85.76
"Instparm: W",    114.54
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.01
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    102.27
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.16
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,271.891,1.0,274.829,274.829,0.703
10.01,260.984,1.0,274.648,274.648,0.704
10.02,273.654,1.0,274.467,274.467,0.705
10.03,280.459,1.0,274.288,274.288,0.705
10.04,260.081,1.0,274.109,274.109,0.706
10.05,253.454,1.0,273.931,273.931,0.707
10.06,264.815,1.0,273.754,273.754,0.708
10.07,262.366,1.0,273.578,273.578,0.708
10.08,272.898,1.0,273.403,273.403,0.709
10.09,262.199,1.0,273.228,273.228,0.71
10.1,279.149,1.0,273.055,273.055,0.71
10.11,281.0,1.0,272.882,272.882,0.711
10.12,275.56,1.0,272.71,272.71,0.712
10.13,269.562,1.0,272.539,272.539,0.713
10.14,257.222,1.0,272.368,272.368,0.713
10.15,252.377,1.0,272.199,272.199,0.714
10.16,263.769,1.0,272.03,272.03,0.715
10.17,252.331,1.0,271.862,271.862,0.715
10.18,261.855,1.0,271.695,271.695,0.716
10.19,256.67,1.0,271.529,271.529,0.717
10.2,269.558,1.0,271.364,271.364,0.717
10.21,265.579,1.0,271.199,271.199,0.718
10.22,264.097,1.0,271.036,271.036,0.719
10.23,252.263,1.0,270.873,270.873,0.72
10.24,252.805,1.0,270.711,270.711,0.72
10.25,263.825,1.0,270.55,270.55,0.721
10.26,237.948,1.0,270.39,270.39,0.722
10.27,269.252,1.0,270.231,270.231,0.722
10.28,266.693,1.0,270.072,270.072,0.723
10.29,256.993,1.0,269.914,269.914,0.724
10.3,262.302,1.0,269.757,269.757,0.725
10.31,246.801,1.0,269.601,269.601,0.725
10.32,251.297,1.0,269.446,269.446,0.726
10.33,246.605,1.0,269.292,269.292,0.727
10.34,253.191,1.0,269.138,269.138,0.727
10.35,276.462,1.0,268.986,268.986,0.728
10.36,269.121,1.0,268.834,268.834,0.729
10.37,254.534,1.0,268.683,268.683,0.73
10.38,254.795,1.0,268.533,268.533,0.73
10.39,251.412,1.0,268.384,268.384,0.731
10.4,251.897,1.0,268.235,268.235,0.732
10.41,266.34,1.0,268.088,268.088,0.732
10.42,251.874,1.0,267.941,267.941,0.733
10.43,241.045,1.0,267.795,267.795,0.734
10.44,252.532,1.0,267.65,267.65,0.735
10.45,245.052,1.0,267.506,267.506,0.735
10.46,249.367,1.0,267.363,267.363,0.736
10.47,250.894,1.0,267.22,267.22,0.737
10.48,260.831,1.0,267.079,267.079,0.737
10.49,273.613,1.0,266.938,266.938,0.738
10.5,261.606,1.0,266.798,266.798,0.739
10.51,256.43,1.0,266.659,266.659,0.739
