"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.147721
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -62.22
"Instparm: V",     88.74
"Instparm: W",      5.00
"Instparm: X",      2.69
"Instparm: Y",      0.53
"Instparm: Z",      0.00
"Instparm: SH/L",      0.08
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -562.65
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.22
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,249.753,1.0,239.555,239.555,0.721
10.01,253.732,1.0,239.584,239.584,0.722
10.02,250.359,1.0,239.614,239.614,0.723
10.03,281.846,1.0,239.644,239.644,0.724
10.04,279.543,1.0,239.675,239.675,0.724
10.05,259.907,1.0,239.706,239.706,0.725
10.06,258.909,1.0,239.737,239.737,0.726
10.07,249.007,1.0,239.768,239.768,0.726
10.08,253.449,1.0,239.8,239.8,0.727
10.09,241.291,1.0,239.832,239.832,0.728
10.1,240.907,1.0,239.864,239.864,0.729
10.11,240.093,1.0,239.897,239.897,0.729
10.12,239.093,1.0,239.93,239.93,0.73
10.13,239.0,1.0,239.964,239.964,0.731
10.14,240.812,1.0,239.997,239.997,0.731
10.15,249.151,1.0,240.031,240.031,0.732
10.16,246.379,1.0,240.065,240.065,0.733
10.17,245.095,1.0,240.1,240.1,0.733
10.18,235.954,1.0,240.135,240.135,0.734
10.19,242.234,1.0,240.17,240.17,0.735
10.2,252.943,1.0,240.206,240.206,0.736
10.21,235.929,1.0,240.242,240.242,0.736
10.22,239.419,1.0,240.278,240.278,0.737
10.23,230.069,1.0,240.314,240.314,0.738
10.24,228.098,1.0,240.351,240.351,0.738
10.25,242.434,1.0,240.388,240.388,0.739
10.26,247.607,1.0,240.426,240.426,0.74
10.27,244.395,1.0,240.463,240.463,0.741
10.28,251.208,1.0,240.502,240.502,0.741
10.29,260.106,1.0,240.54,240.54,0.742
10.3,262.801,1.0,240.579,240.579,0.743
10.31,255.801,1.0,240.618,240.618,0.743
10.32,240.607,1.0,240.657,240.657,0.744
10.33,255.186,1.0,240.697,240.697,0.745
10.34,245.315,1.0,240.737,240.737,0.746
10.35,250.289,1.0,240.777,240.777,0.746
10.36,245.611,1.0,240.817,240.817,0.747
10.37,242.307,1.0,240.858,240.858,0.748
