"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.137688
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -9.28
"Instparm: W",     68.31
"Instparm: X",      0.63
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.05
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -166.92
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.19
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,261.227,1.0,304.145,304.145,0.721
10.01,265.374,1.0,303.927,303.927,0.721
10.02,293.307,1.0,303.71,303.71,0.722
10.03,286.901,1.0,303.494,303.494,0.723
10.04,293.276,1.0,303.279,303.279,0.724
10.05,284.908,1.0,303.065,303.065,0.724
10.06,284.909,1.0,302.851,302.851,0.725
10.07,275.007,1.0,302.639,302.639,0.726
10.08,303.969,1.0,302.427,302.427,0.726
10.09,305.184,1.0,302.217,302.217,0.727
10.1,294.111,1.0,302.007,302.007,0.728
10.11,295.721,1.0,301.798,301.798,0.729
10.12,293.28,1.0,301.59,301.59,0.729
10.13,276.685,1.0,301.383,301.383,0.73
10.14,255.068,1.0,301.177,301.177,0.731
10.15,267.491,1.0,300.972,300.972,0.731
10.16,290.728,1.0,300.767,300.767,0.732
10.17,286.665,1.0,300.564,300.564,0.733
10.18,290.523,1.0,300.362,300.362,0.733
10.19,278.341,1.0,300.16,300.16,0.734
10.2,271.577,1.0,299.959,299.959,0.735
10.21,279.132,1.0,299.76,299.76,0.736
10.22,284.516,1.0,299.561,299.561,0.736
10.23,285.903,1.0,299.363,299.363,0.737
10.24,292.317,1.0,299.166,299.166,0.738
10.25,284.881,1.0,298.97,298.97,0.738
10.26,282.197,1.0,298.775,298.775,0.739
10.27,283.803,1.0,298.581,298.581,0.74
10.28,277.693,1.0,298.387,298.387,0.741
10.29,276.099,1.0,298.195,298.195,0.741
10.3,292.205,1.0,298.003,298.003,0.742
10.31,287.701,1.0,297.813,297.813,0.743
10.32,295.096,1.0,297.623,297.623,0.743
10.33,277.117,1.0,297.435,297.435,0.744
10.34,266.91,1.0,297.247,297.247,0.745
10.35,283.969,1.0,297.06,297.06,0.746
10.36,297.675,1.0,296.874,296.874,0.746
10.37,306.182,1.0,296.689,296.689,0.747
10.38,287.258,1.0,296.505,296.505,0.748
10.39,275.133,1.0,296.322,296.322,0.748
10.4,283.863,1.0,296.139,296.139,0.749
10.41,292.17,1.0,295.958,295.958,0.75
10.42,311.814,1.0,295.778,295.778,0.75
10.43,309.522,1.0,295.598,295.598,0.751
10.44,303.629,1.0,295.42,295.42,0.752
10.45,298.526,1.0,295.242,295.242,0.753
10.46,296.211,1.0,295.065,295.065,0.753
10.47,270.966,1.0,294.89,294.89,0.754
10.48,269.787,1.0,294.715,294.715,0.755
10.49,295.906,1.0,294.541,294.541,0.755
10.5,275.783,1.0,294.368,294.368,0.756
10.51,268.537,1.0,294.196,294.196,0.757
