"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",   -118.29
"Instparm: W",    205.14
"Instparm: X",     -2.17
"Instparm: Y",      2.72
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",     29.10
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.20
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,265.842,1.0,292.06,292.041,0.711
10.01,286.122,1.0,291.862,291.843,0.712
10.02,264.334,1.0,291.666,291.647,0.712
10.03,255.631,1.0,291.47,291.451,0.713
10.04,275.01,1.0,291.275,291.256,0.714
10.05,288.819,1.0,291.081,291.062,0.715
10.06,288.182,1.0,290.888,290.869,0.715
10.07,281.641,1.0,290.696,290.677,0.716
10.08,273.735,1.0,290.505,290.486,0.717
10.09,281.17,1.0,290.315,290.295,0.717
10.1,292.889,1.0,290.125,290.106,0.718
10.11,277.673,1.0,289.937,289.917,0.719
10.12,269.653,1.0,289.749,289.73,0.719
10.13,278.064,1.0,289.563,289.543,0.72
10.14,276.282,1.0,289.377,289.357,0.721
10.15,259.698,1.0,289.192,289.173,0.722
10.16,255.284,1.0,289.008,288.989,0.722
10.17,255.905,1.0,288.825,288.805,0.723
10.18,264.141,1.0,288.643,288.623,0.724
10.19,264.096,1.0,288.462,288.442,0.724
10.2,276.654,1.0,288.281,288.262,0.725
10.21,291.553,1.0,288.102,288.082,0.726
10.22,273.13,1.0,287.924,287.904,0.727
10.23,261.069,1.0,287.746,287.726,0.727
10.24,267.22,1.0,287.569,287.55,0.728
10.25,265.294,1.0,287.394,287.374,0.729
10.26,286.642,1.0,287.219,287.199,0.729
10.27,287.197,1.0,287.045,287.025,0.73
10.28,266.277,1.0,286.872,286.852,0.731
10.29,262.199,1.0,286.7,286.68,0.732
10.3,268.302,1.0,286.529,286.509,0.732
10.31,304.997,1.0,286.358,286.338,0.733
10.32,273.917,1.0,286.189,286.169,0.734
10.33,281.69,1.0,286.021,286.0,0.734
10.34,291.988,1.0,285.853,285.833,0.735
10.35,287.609,1.0,285.686,285.666,0.736
10.36,285.204,1.0,285.521,285.501,0.736
10.37,267.943,1.0,285.356,285.336,0.737
10.38,259.718,1.0,285.192,285.172,0.738
10.39,259.897,1.0,285.029,285.009,0.739
10.4,268.966,1.0,284.867,284.847,0.739
10.41,275.378,1.0,284.706,284.686,0.74
10.42,267.041,1.0,284.546,284.526,0.741
10.43,253.462,1.0,284.387,284.366,0.741
10.44,284.226,1.0,284.228,284.208,0.742
10.45,291.579,1.0,284.071,284.051,0.743
10.46,282.161,1.0,283.915,283.894,0.744
10.47,297.987,1.0,283.759,283.739,0.744
10.48,279.445,1.0,283.604,283.584,0.745
10.49,273.427,1.0,283.451,283.43,0.746
10.5,283.715,1.0,283.298,283.277,0.746
10.51,276.074,1.0,283.146,283.126,0.747
10.52,271.431,1.0,282.995,282.975,0.748
10.53,258.514,1.0,282.845,282.825,0.749
10.54,281.069,1.0,282.696,282.675,0.749
10.55,285.782,1.0,282.548,282.527,0.75
10.56,290.454,1.0,282.401,282.38,0.751
10.57,277.645,1.0,282.254,282.234,0.751
10.58,259.981,1.0,282.109,282.088,0.752
10.59,258.89,1.0,281.965,281.944,0.753
10.6,267.892,1.0,281.821,281.8,0.753
10.61,270.778,1.0,281.679,281.658,0.754
10.62,282.55,1.0,281.537,281.516,0.755
10.63,290.217,1.0,281.396,281.375,0.756
10.64,285.674,1.0,281.256,281.235,0.756
10.65,275.24,1.0,281.117,281.096,0.757
10.66,254.487,1.0,280.979,280.958,0.758
10.67,254.66,1.0,280.842,280.821,0.758
10.68,269.179,1.0,280.706,280.685,0.759
10.69,276.315,1.0,280.571,280.55,0.76
10.7,276.115,1.0,280.437,280.416,0.761
10.71,271.575,1.0,280.304,280.283,0.761
10.72,268.346,1.0,280.171,280.15,0.762
10.73,279.495,1.0,280.04,280.019,0.763
10.74,270.393,1.0,279.909,279.888,0.763
10.75,262.816,1.0,279.78,279.758,0.764
10.76,270.831,1.0,279.651,279.63,0.765
10.77,262.29,1.0,279.523,279.502,0.766
10.78,257.471,1.0,279.396,279.375,0.766
10.79,257.882,1.0,279.271,279.249,0.767
10.8,272.987,1.0,279.146,279.124,0.768
10.81,275.0,1.0,279.022,279.0,0.768
10.82,292.616,1.0,278.899,278.877,0.769
10.83,288.837,1.0,278.776,278.755,0.77
10.84,277.44,1.0,278.655,278.634,0.771
10.85,275.12,1.0,278.535,278.513,0.771
10.86,271.483,1.0,278.416,278.394,0.772
10.87,276.273,1.0,278.297,278.276,0.773
10.88,269.094,1.0,278.18,278.158,0.773
10.89,276.781,1.0,278.063,278.041,0.774
10.9,265.712,1.0,277.947,277.926,0.775
10.91,271.896,1.0,277.833,277.811,0.775
10.92,281.769,1.0,277.719,277.697,0.776
10.93,276.864,1.0,277.606,277.584,0.777
10.94,280.381,1.0,277.494,277.472,0.778
10.95,272.243,1.0,277.383,277.361,0.778
10.96,272.751,1.0,277.273,277.251,0.779
10.97,279.999,1.0,277.164,277.142,0.78
10.98,276.627,1.0,277.056,277.034,0.78
10.99,273.378,1.0,276.949,276.927,0.781
11.0,273.874,1.0,276.842,276.82,0.782
11.01,263.52,1.0,276.737,276.715,0.783
11.02,262.0,1.0,276.632,276.61,0.783
11.03,264.618,1.0,276.529,276.507,0.784
11.04,254.534,1.0,276.426,276.404,0.785
11.05,258.231,1.0,276.325,276.302,0.785
11.06,272.942,1.0,276.224,276.202,0.786
11.07,277.613,1.0,276.124,276.102,0.787
11.08,282.353,1.0,276.025,276.003,0.788
11.09,281.26,1.0,275.927,275.905,0.788
11.1,288.828,1.0,275.83,275.808,0.789
11.11,293.477,1.0,275.734,275.712,0.79
11.12,291.393,1.0,275.639,275.616,0.79
11.13,285.789,1.0,275.545,275.522,0.791
11.14,288.473,1.0,275.451,275.429,0.792
11.15,282.926,1.0,275.359,275.336,0.792
11.16,288.072,1.0,275.267,275.245,0.793
11.17,294.202,1.0,275.177,275.154,0.794
11.18,276.802,1.0,275.087,275.065,0.795
11.19,272.268,1.0,274.999,274.976,0.795
11.2,265.074,1.0,274.911,274.888,0.796
11.21,270.057,1.0,274.824,274.801,0.797
11.22,274.46,1.0,274.738,274.715,0.797
11.23,274.135,1.0,274.653,274.63,0.798
11.24,274.0,1.0,274.569,274.546,0.799
11.25,258.453,1.0,274.486,274.463,0.8
11.26,256.863,1.0,274.404,274.381,0.8
11.27,284.613,1.0,274.322,274.3,0.801
11.28,282.1,1.0,274.242,274.219,0.802
11.29,283.586,1.0,274.163,274.14,0.802
11.3,284.862,1.0,274.084,274.061,0.803
11.31,274.665,1.0,274.007,273.984,0.804
11.32,266.113,1.0,273.93,273.907,0.805
11.33,262.419,1.0,273.854,273.831,0.805
11.34,255.98,1.0,273.779,273.756,0.806
11.35,273.052,1.0,273.706,273.682,0.807
11.36,278.578,1.0,273.633,273.609,0.807
11.37,269.553,1.0,273.561,273.537,0.808
11.38,263.708,1.0,273.489,273.466,0.809
11.39,259.568,1.0,273.419,273.396,0.809
11.4,271.006,1.0,273.35,273.327,0.81
11.41,286.714,1.0,273.282,273.258,0.811
11.42,298.424,1.0,273.214,273.191,0.812
11.43,303.425,1.0,273.148,273.124,0.812
11.44,286.882,1.0,273.082,273.059,0.813
11.45,277.156,1.0,273.018,272.994,0.814
11.46,270.015,1.0,272.954,272.93,0.814
11.47,254.471,1.0,272.891,272.867,0.815
11.48,257.979,1.0,272.829,272.805,0.816
11.49,261.561,1.0,272.768,272.744,0.817
11.5,265.414,1.0,272.708,272.684,0.817
11.51,295.001,1.0,272.649,272.625,0.818
11.52,278.687,1.0,272.591,272.567,0.819
11.53,281.817,1.0,272.533,272.509,0.819
11.54,283.0,1.0,272.477,272.453,0.82
11.55,277.892,1.0,272.421,272.398,0.821
11.56,281.254,1.0,272.367,272.343,0.822
11.57,282.85,1.0,272.313,272.289,0.822
11.58,283.0,1.0,272.26,272.236,0.823
11.59,268.557,1.0,272.208,272.185,0.824
11.6,265.151,1.0,272.157,272.134,0.824
11.61,277.731,1.0,272.107,272.083,0.825
11.62,291.028,1.0,272.058,272.034,0.826
11.63,281.13,1.0,272.01,271.986,0.826
11.64,267.135,1.0,271.963,271.939,0.827
11.65,288.717,1.0,271.916,271.892,0.828
11.66,297.233,1.0,271.871,271.847,0.829
11.67,281.076,1.0,271.827,271.802,0.829
11.68,282.229,1.0,271.783,271.759,0.83
11.69,277.928,1.0,271.74,271.716,0.831
11.7,272.775,1.0,271.698,271.674,0.831
11.71,269.467,1.0,271.657,271.633,0.832
11.72,266.468,1.0,271.617,271.593,0.833
11.73,267.687,1.0,271.578,271.554,0.834
11.74,274.746,1.0,271.54,271.515,0.834
11.75,273.472,1.0,271.503,271.478,0.835
11.76,268.788,1.0,271.466,271.442,0.836
11.77,271.368,1.0,271.431,271.406,0.836
11.78,270.317,1.0,271.396,271.371,0.837
11.79,269.159,1.0,271.363,271.338,0.838
11.8,271.522,1.0,271.33,271.305,0.839
11.81,278.721,1.0,271.298,271.273,0.839
11.82,261.526,1.0,271.267,271.242,0.84
11.83,274.786,1.0,271.237,271.212,0.841
11.84,282.194,1.0,271.207,271.182,0.841
11.85,268.747,1.0,271.179,271.154,0.842
11.86,283.598,1.0,271.152,271.126,0.843
11.87,295.376,1.0,271.125,271.1,0.843
11.88,278.583,1.0,271.099,271.074,0.844
11.89,270.817,1.0,271.075,271.049,0.845
