"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.079584
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",    137.04
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.06
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    -82.58
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.18
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,267.931,1.0,274.775,274.753,0.705
10.01,267.179,1.0,274.574,274.552,0.706
10.02,257.898,1.0,274.374,274.352,0.707
10.03,271.558,1.0,274.175,274.152,0.707
10.04,270.271,1.0,273.976,273.954,0.708
10.05,272.728,1.0,273.779,273.757,0.709
10.06,282.997,1.0,273.582,273.56,0.71
10.07,257.654,1.0,273.387,273.364,0.71
10.08,247.735,1.0,273.192,273.169,0.711
10.09,261.525,1.0,272.998,272.975,0.712
10.1,244.851,1.0,272.805,272.782,0.712
10.11,252.071,1.0,272.613,272.59,0.713
10.12,264.787,1.0,272.421,272.399,0.714
10.13,266.906,1.0,272.231,272.208,0.715
10.14,260.658,1.0,272.042,272.019,0.715
10.15,250.038,1.0,271.853,271.83,0.716
10.16,242.663,1.0,271.665,271.642,0.717
10.17,249.24,1.0,271.478,271.455,0.717
10.18,265.378,1.0,271.292,271.269,0.718
10.19,259.766,1.0,271.107,271.084,0.719
10.2,246.346,1.0,270.923,270.9,0.719
10.21,252.228,1.0,270.74,270.717,0.72
10.22,239.452,1.0,270.557,270.534,0.721
10.23,250.639,1.0,270.376,270.353,0.722
10.24,260.122,1.0,270.195,270.172,0.722
10.25,241.154,1.0,270.015,269.992,0.723
10.26,256.133,1.0,269.836,269.813,0.724
10.27,252.592,1.0,269.658,269.635,0.724
10.28,273.624,1.0,269.481,269.458,0.725
10.29,254.384,1.0,269.305,269.282,0.726
10.3,267.305,1.0,269.13,269.106,0.727
10.31,255.501,1.0,268.955,268.932,0.727
10.32,243.205,1.0,268.782,268.758,0.728
10.33,242.0,1.0,268.609,268.586,0.729
10.34,228.517,1.0,268.437,268.414,0.729
10.35,244.969,1.0,268.266,268.243,0.73
10.36,255.981,1.0,268.096,268.073,0.731
10.37,249.818,1.0,267.927,267.904,0.732
10.38,257.076,1.0,267.759,267.736,0.732
10.39,245.442,1.0,267.592,267.568,0.733
10.4,225.17,1.0,267.425,267.402,0.734
10.41,248.992,1.0,267.26,267.236,0.734
10.42,264.543,1.0,267.095,267.072,0.735
10.43,271.373,1.0,266.932,266.908,0.736
10.44,254.992,1.0,266.769,266.745,0.737
10.45,247.631,1.0,266.607,266.583,0.737
10.46,247.894,1.0,266.446,266.422,0.738
10.47,247.106,1.0,266.286,266.262,0.739
10.48,247.894,1.0,266.127,266.103,0.739
10.49,265.866,1.0,265.968,265.945,0.74
10.5,263.535,1.0,265.811,265.787,0.741
10.51,247.826,1.0,265.655,265.631,0.741
10.52,249.569,1.0,265.499,265.475,0.742
10.53,250.0,1.0,265.344,265.32,0.743
10.54,265.155,1.0,265.191,265.167,0.744
10.55,281.257,1.0,265.038,265.014,0.744
10.56,261.623,1.0,264.886,264.862,0.745
10.57,264.342,1.0,264.735,264.711,0.746
10.58,273.9,1.0,264.585,264.56,0.746
10.59,258.098,1.0,264.435,264.411,0.747
10.6,250.665,1.0,264.287,264.263,0.748
10.61,246.445,1.0,264.139,264.115,0.749
10.62,260.215,1.0,263.993,263.969,0.749
10.63,253.119,1.0,263.847,263.823,0.75
10.64,240.46,1.0,263.703,263.678,0.751
10.65,247.873,1.0,263.559,263.534,0.751
10.66,262.304,1.0,263.416,263.392,0.752
10.67,269.319,1.0,263.274,263.25,0.753
10.68,259.366,1.0,263.133,263.108,0.754
10.69,241.17,1.0,262.993,262.968,0.754
10.7,258.479,1.0,262.853,262.829,0.755
10.71,261.0,1.0,262.715,262.69,0.756
10.72,263.654,1.0,262.577,262.553,0.756
10.73,238.356,1.0,262.441,262.416,0.757
10.74,242.071,1.0,262.305,262.281,0.758
10.75,252.718,1.0,262.171,262.146,0.758
10.76,251.351,1.0,262.037,262.012,0.759
10.77,251.883,1.0,261.904,261.879,0.76
10.78,243.177,1.0,261.772,261.747,0.761
10.79,246.41,1.0,261.641,261.616,0.761
10.8,258.46,1.0,261.51,261.486,0.762
10.81,248.545,1.0,261.381,261.356,0.763
10.82,250.523,1.0,261.253,261.228,0.763
10.83,271.249,1.0,261.125,261.1,0.764
10.84,267.84,1.0,260.999,260.974,0.765
10.85,252.046,1.0,260.873,260.848,0.766
10.86,248.242,1.0,260.748,260.723,0.766
10.87,257.667,1.0,260.625,260.6,0.767
10.88,241.431,1.0,260.502,260.477,0.768
10.89,238.122,1.0,260.38,260.355,0.768
10.9,244.144,1.0,260.259,260.233,0.769
10.91,273.951,1.0,260.138,260.113,0.77
10.92,256.077,1.0,260.019,259.994,0.771
10.93,251.247,1.0,259.901,259.876,0.771
10.94,249.248,1.0,259.783,259.758,0.772
10.95,242.87,1.0,259.667,259.642,0.773
10.96,239.374,1.0,259.551,259.526,0.773
10.97,245.125,1.0,259.436,259.411,0.774
10.98,241.627,1.0,259.323,259.297,0.775
10.99,253.238,1.0,259.21,259.184,0.775
11.0,262.864,1.0,259.098,259.072,0.776
11.01,258.76,1.0,258.987,258.961,0.777
11.02,260.619,1.0,258.877,258.851,0.778
11.03,262.745,1.0,258.767,258.742,0.778
11.04,248.173,1.0,258.659,258.633,0.779
11.05,254.718,1.0,258.552,258.526,0.78
11.06,266.456,1.0,258.445,258.419,0.78
11.07,254.935,1.0,258.339,258.314,0.781
11.08,247.777,1.0,258.235,258.209,0.782
11.09,260.923,1.0,258.131,258.105,0.783
11.1,276.047,1.0,258.028,258.002,0.783
11.11,268.437,1.0,257.926,257.9,0.784
11.12,264.393,1.0,257.825,257.799,0.785
11.13,253.577,1.0,257.725,257.699,0.785
11.14,242.45,1.0,257.626,257.6,0.786
11.15,261.826,1.0,257.527,257.501,0.787
11.16,259.796,1.0,257.43,257.404,0.788
11.17,261.601,1.0,257.334,257.308,0.788
11.18,271.532,1.0,257.238,257.212,0.789
11.19,257.409,1.0,257.143,257.117,0.79
11.2,263.657,1.0,257.05,257.023,0.79
11.21,262.404,1.0,256.957,256.931,0.791
11.22,257.675,1.0,256.865,256.839,0.792
11.23,267.374,1.0,256.774,256.747,0.793
11.24,262.087,1.0,256.684,256.657,0.793
11.25,257.545,1.0,256.594,256.568,0.794
11.26,263.906,1.0,256.506,256.48,0.795
11.27,252.919,1.0,256.419,256.392,0.795
11.28,249.275,1.0,256.332,256.306,0.796
11.29,249.862,1.0,256.247,256.22,0.797
11.3,249.138,1.0,256.162,256.135,0.797
11.31,268.809,1.0,256.078,256.052,0.798
11.32,262.531,1.0,255.995,255.969,0.799
11.33,270.465,1.0,255.913,255.887,0.8
11.34,262.54,1.0,255.832,255.806,0.8
11.35,265.298,1.0,255.752,255.725,0.801
11.36,266.859,1.0,255.673,255.646,0.802
11.37,254.977,1.0,255.594,255.568,0.802
11.38,275.318,1.0,255.517,255.49,0.803
11.39,252.403,1.0,255.441,255.414,0.804
11.4,245.427,1.0,255.365,255.338,0.805
11.41,255.286,1.0,255.29,255.263,0.805
11.42,249.29,1.0,255.216,255.19,0.806
11.43,246.287,1.0,255.144,255.117,0.807
11.44,245.144,1.0,255.072,255.045,0.807
11.45,249.277,1.0,255.0,254.973,0.808
11.46,263.681,1.0,254.93,254.903,0.809
11.47,254.89,1.0,254.861,254.834,0.81
11.48,247.875,1.0,254.793,254.765,0.81
11.49,268.345,1.0,254.725,254.698,0.811
11.5,248.959,1.0,254.658,254.631,0.812
11.51,248.412,1.0,254.593,254.566,0.812
11.52,249.853,1.0,254.528,254.501,0.813
11.53,252.556,1.0,254.464,254.437,0.814
11.54,234.263,1.0,254.401,254.374,0.814
11.55,250.579,1.0,254.339,254.312,0.815
11.56,256.553,1.0,254.278,254.251,0.816
11.57,268.056,1.0,254.218,254.19,0.817
11.58,263.2,1.0,254.158,254.131,0.817
11.59,256.902,1.0,254.1,254.072,0.818
11.6,274.682,1.0,254.042,254.015,0.819
11.61,272.059,1.0,253.985,253.958,0.819
11.62,269.303,1.0,253.93,253.902,0.82
11.63,264.761,1.0,253.875,253.847,0.821
11.64,259.763,1.0,253.821,253.793,0.822
11.65,261.541,1.0,253.768,253.74,0.822
11.66,267.926,1.0,253.715,253.688,0.823
11.67,279.154,1.0,253.664,253.636,0.824
11.68,277.617,1.0,253.614,253.586,0.824
11.69,267.701,1.0,253.564,253.536,0.825
11.7,266.845,1.0,253.516,253.488,0.826
11.71,264.467,1.0,253.468,253.44,0.827
11.72,264.0,1.0,253.421,253.393,0.827
11.73,261.469,1.0,253.375,253.347,0.828
11.74,277.864,1.0,253.33,253.302,0.829
11.75,273.415,1.0,253.286,253.258,0.829
11.76,272.842,1.0,253.242,253.214,0.83
11.77,271.316,1.0,253.2,253.172,0.831
11.78,260.902,1.0,253.159,253.13,0.831
11.79,265.728,1.0,253.118,253.09,0.832
11.8,251.869,1.0,253.078,253.05,0.833
11.81,250.68,1.0,253.039,253.011,0.834
11.82,252.679,1.0,253.001,252.973,0.834
11.83,267.268,1.0,252.964,252.936,0.835
11.84,275.872,1.0,252.928,252.9,0.836
11.85,265.262,1.0,252.893,252.864,0.836
11.86,266.352,1.0,252.858,252.83,0.837
11.87,267.838,1.0,252.825,252.796,0.838
11.88,266.326,1.0,252.792,252.763,0.839
11.89,272.694,1.0,252.76,252.732,0.839
11.9,267.31,1.0,252.729,252.701,0.84
11.91,266.0,1.0,252.699,252.671,0.841
11.92,278.531,1.0,252.67,252.641,0.841
11.93,275.155,1.0,252.642,252.613,0.842
11.94,284.014,1.0,252.615,252.586,0.843
11.95,276.825,1.0,252.588,252.559,0.843
11.96,251.659,1.0,252.562,252.533,0.844
11.97,239.501,1.0,252.538,252.509,0.845
11.98,265.48,1.0,252.514,252.485,0.846
11.99,256.851,1.0,252.491,252.462,0.846
12.0,260.655,1.0,252.469,252.439,0.847
12.01,262.831,1.0,252.447,252.418,0.848
12.02,266.324,1.0,252.427,252.398,0.848
12.03,264.508,1.0,252.407,252.378,0.849
12.04,255.699,1.0,252.389,252.359,0.85
12.05,261.467,1.0,252.371,252.342,0.851
12.06,272.95,1.0,252.354,252.325,0.851
12.07,270.856,1.0,252.338,252.309,0.852
12.08,256.747,1.0,252.323,252.293,0.853
12.09,254.828,1.0,252.308,252.279,0.853
12.1,230.177,1.0,252.295,252.265,0.854
12.11,237.405,1.0,252.282,252.253,0.855
12.12,251.571,1.0,252.271,252.241,0.856
12.13,249.044,1.0,252.26,252.23,0.856
12.14,247.174,1.0,252.25,252.22,0.857
12.15,257.727,1.0,252.241,252.211,0.858
12.16,257.526,1.0,252.233,252.203,0.858
12.17,254.527,1.0,252.225,252.195,0.859
12.18,265.534,1.0,252.219,252.189,0.86
12.19,282.821,1.0,252.213,252.183,0.86
12.2,272.01,1.0,252.208,252.178,0.861
12.21,260.775,1.0,252.204,252.174,0.862
12.22,260.644,1.0,252.201,252.171,0.863
12.23,248.676,1.0,252.199,252.169,0.863
12.24,247.642,1.0,252.197,252.167,0.864
12.25,249.641,1.0,252.197,252.166,0.865
12.26,258.202,1.0,252.197,252.167,0.865
12.27,260.0,1.0,252.198,252.168,0.866
12.28,253.445,1.0,252.2,252.17,0.867
12.29,274.109,1.0,252.203,252.173,0.868
12.3,265.905,1.0,252.207,252.176,0.868
12.31,248.277,1.0,252.211,252.181,0.869
12.32,259.715,1.0,252.217,252.186,0.87
12.33,277.707,1.0,252.223,252.192,0.87
12.34,275.284,1.0,252.23,252.199,0.871
12.35,271.552,1.0,252.238,252.207,0.872
12.36,255.502,1.0,252.247,252.216,0.873
12.37,252.0,1.0,252.256,252.225,0.873
12.38,262.592,1.0,252.267,252.236,0.874
12.39,271.514,1.0,252.278,252.247,0.875
12.4,277.069,1.0,252.29,252.259,0.875
12.41,264.986,1.0,252.303,252.272,0.876
12.42,257.122,1.0,252.317,252.286,0.877
12.43,259.25,1.0,252.331,252.3,0.877
12.44,259.188,1.0,252.347,252.316,0.878
12.45,246.827,1.0,252.363,252.332,0.879
12.46,263.466,1.0,252.38,252.349,0.88
12.47,252.598,1.0,252.398,252.367,0.88
12.48,253.861,1.0,252.417,252.386,0.881
12.49,265.526,1.0,252.437,252.405,0.882
12.5,272.046,1.0,252.457,252.426,0.882
12.51,269.765,1.0,252.478,252.447,0.883
12.52,265.767,1.0,252.5,252.469,0.884
12.53,258.537,1.0,252.523,252.492,0.885
12.54,256.193,1.0,252.547,252.515,0.885
12.55,270.524,1.0,252.572,252.54,0.886
12.56,259.484,1.0,252.597,252.565,0.887
12.57,244.716,1.0,252.623,252.592,0.887
12.58,261.332,1.0,252.65,252.618,0.888
12.59,266.805,1.0,252.678,252.646,0.889
12.6,261.368,1.0,252.707,252.675,0.89
12.61,247.938,1.0,252.736,252.704,0.89
12.62,251.429,1.0,252.766,252.735,0.891
12.63,257.016,1.0,252.798,252.766,0.892
12.64,264.422,1.0,252.829,252.797,0.892
12.65,278.836,1.0,252.862,252.83,0.893
12.66,281.198,1.0,252.896,252.864,0.894
12.67,281.0,1.0,252.93,252.898,0.894
12.68,280.199,1.0,252.965,252.933,0.895
12.69,259.191,1.0,253.001,252.969,0.896
12.7,251.6,1.0,253.038,253.006,0.897
12.71,249.401,1.0,253.076,253.043,0.897
12.72,251.397,1.0,253.114,253.082,0.898
12.73,246.411,1.0,253.153,253.121,0.899
12.74,253.778,1.0,253.193,253.161,0.899
12.75,272.748,1.0,253.234,253.201,0.9
12.76,273.812,1.0,253.275,253.243,0.901
12.77,247.51,1.0,253.318,253.285,0.902
12.78,253.737,1.0,253.361,253.328,0.902
12.79,261.774,1.0,253.405,253.372,0.903
12.8,277.312,1.0,253.45,253.417,0.904
12.81,284.179,1.0,253.495,253.462,0.904
12.82,282.617,1.0,253.541,253.509,0.905
12.83,266.126,1.0,253.589,253.556,0.906
12.84,272.312,1.0,253.636,253.603,0.906
12.85,266.28,1.0,253.685,253.652,0.907
12.86,267.961,1.0,253.735,253.702,0.908
12.87,283.252,1.0,253.785,253.752,0.909
12.88,272.756,1.0,253.836,253.803,0.909
12.89,245.275,1.0,253.888,253.855,0.91
12.9,242.161,1.0,253.94,253.907,0.911
12.91,254.058,1.0,253.994,253.96,0.911
12.92,255.421,1.0,254.048,254.014,0.912
12.93,277.878,1.0,254.103,254.069,0.913
12.94,274.539,1.0,254.158,254.125,0.914
12.95,254.665,1.0,254.215,254.181,0.914
12.96,259.45,1.0,254.272,254.239,0.915
12.97,265.935,1.0,254.33,254.297,0.916
12.98,264.641,1.0,254.389,254.355,0.916
12.99,273.432,1.0,254.449,254.415,0.917
13.0,272.858,1.0,254.509,254.475,0.918
13.01,263.365,1.0,254.57,254.536,0.919
13.02,271.199,1.0,254.632,254.598,0.919
13.03,260.671,1.0,254.694,254.66,0.92
13.04,266.403,1.0,254.758,254.724,0.921
13.05,261.952,1.0,254.822,254.788,0.921
13.06,269.391,1.0,254.887,254.853,0.922
13.07,279.821,1.0,254.952,254.918,0.923
13.08,275.747,1.0,255.019,254.985,0.923
13.09,267.751,1.0,255.086,255.052,0.924
13.1,264.439,1.0,255.154,255.12,0.925
13.11,264.78,1.0,255.223,255.188,0.926
13.12,267.339,1.0,255.292,255.258,0.926
13.13,273.454,1.0,255.362,255.328,0.927
13.14,269.549,1.0,255.433,255.398,0.928
13.15,278.117,1.0,255.505,255.47,0.928
13.16,284.889,1.0,255.577,255.542,0.929
13.17,266.569,1.0,255.65,255.615,0.93
13.18,252.456,1.0,255.724,255.689,0.931
13.19,259.315,1.0,255.799,255.764,0.931
13.2,267.43,1.0,255.874,255.839,0.932
13.21,284.505,1.0,255.95,255.915,0.933
13.22,283.577,1.0,256.027,255.992,0.933
13.23,281.226,1.0,256.104,256.069,0.934
13.24,271.715,1.0,256.183,256.148,0.935
13.25,258.947,1.0,256.262,256.226,0.935
13.26,238.999,1.0,256.341,256.306,0.936
13.27,242.495,1.0,256.422,256.387,0.937
13.28,255.805,1.0,256.503,256.468,0.938
13.29,248.973,1.0,256.585,256.55,0.938
13.3,246.0,1.0,256.667,256.632,0.939
13.31,249.081,1.0,256.751,256.715,0.94
13.32,266.936,1.0,256.835,256.799,0.94
13.33,263.538,1.0,256.92,256.884,0.941
13.34,265.613,1.0,257.005,256.97,0.942
13.35,270.073,1.0,257.091,257.056,0.943
13.36,261.018,1.0,257.178,257.143,0.943
13.37,258.767,1.0,257.266,257.23,0.944
13.38,267.435,1.0,257.354,257.318,0.945
13.39,257.739,1.0,257.443,257.407,0.945
13.4,260.892,1.0,257.533,257.497,0.946
13.41,277.541,1.0,257.623,257.588,0.947
13.42,268.998,1.0,257.715,257.679,0.948
13.43,278.758,1.0,257.807,257.77,0.948
13.44,266.196,1.0,257.899,257.863,0.949
13.45,260.237,1.0,257.992,257.956,0.95
13.46,269.916,1.0,258.086,258.05,0.95
13.47,291.295,1.0,258.181,258.145,0.951
13.48,283.288,1.0,258.276,258.24,0.952
13.49,282.045,1.0,258.372,258.336,0.952
13.5,275.392,1.0,258.469,258.433,0.953
13.51,259.315,1.0,258.566,258.53,0.954
13.52,243.603,1.0,258.665,258.628,0.955
13.53,258.982,1.0,258.763,258.727,0.955
13.54,273.346,1.0,258.863,258.826,0.956
13.55,267.659,1.0,258.963,258.926,0.957
13.56,261.969,1.0,259.064,259.027,0.957
13.57,240.555,1.0,259.165,259.128,0.958
13.58,256.702,1.0,259.267,259.23,0.959
13.59,279.124,1.0,259.37,259.333,0.96
13.6,264.351,1.0,259.474,259.437,0.96
13.61,251.203,1.0,259.578,259.541,0.961
13.62,270.886,1.0,259.683,259.646,0.962
13.63,267.441,1.0,259.788,259.751,0.962
13.64,260.232,1.0,259.895,259.857,0.963
13.65,254.481,1.0,260.001,259.964,0.964
13.66,270.311,1.0,260.109,260.072,0.964
13.67,269.231,1.0,260.217,260.18,0.965
13.68,268.503,1.0,260.326,260.288,0.966
13.69,262.24,1.0,260.436,260.398,0.967
13.7,276.513,1.0,260.546,260.508,0.967
13.71,271.499,1.0,260.656,260.619,0.968
13.72,262.003,1.0,260.768,260.73,0.969
13.73,273.483,1.0,260.88,260.842,0.969
13.74,272.012,1.0,260.993,260.955,0.97
13.75,266.26,1.0,261.106,261.068,0.971
13.76,268.738,1.0,261.22,261.182,0.972
13.77,270.747,1.0,261.335,261.297,0.972
13.78,269.507,1.0,261.45,261.412,0.973
13.79,271.238,1.0,261.566,261.528,0.974
13.8,284.673,1.0,261.683,261.645,0.974
13.81,294.215,1.0,261.8,261.762,0.975
13.82,286.323,1.0,261.918,261.88,0.976
13.83,256.22,1.0,262.037,261.998,0.976
13.84,269.301,1.0,262.156,262.117,0.977
13.85,274.029,1.0,262.275,262.237,0.978
13.86,273.0,1.0,262.396,262.357,0.979
13.87,278.935,1.0,262.517,262.478,0.979
13.88,279.517,1.0,262.639,262.6,0.98
13.89,282.704,1.0,262.761,262.722,0.981
13.9,263.273,1.0,262.884,262.845,0.981
13.91,271.535,1.0,263.007,262.968,0.982
13.92,272.565,1.0,263.131,263.092,0.983
13.93,263.613,1.0,263.256,263.217,0.984
13.94,260.262,1.0,263.381,263.342,0.984
13.95,260.0,1.0,263.507,263.468,0.985
13.96,261.474,1.0,263.634,263.595,0.986
13.97,273.049,1.0,263.761,263.722,0.986
13.98,274.056,1.0,263.889,263.849,0.987
13.99,264.173,1.0,264.017,263.978,0.988
14.0,248.504,1.0,264.146,264.107,0.989
14.01,257.221,1.0,264.276,264.236,0.989
14.02,283.285,1.0,264.406,264.366,0.99
14.03,274.864,1.0,264.537,264.497,0.991
14.04,270.466,1.0,264.668,264.628,0.991
14.05,287.113,1.0,264.8,264.76,0.992
14.06,272.507,1.0,264.933,264.893,0.993
14.07,275.97,1.0,265.066,265.026,0.993
14.08,279.269,1.0,265.199,265.159,0.994
14.09,262.934,1.0,265.334,265.294,0.995
14.1,262.108,1.0,265.469,265.428,0.996
14.11,264.0,1.0,265.604,265.564,0.996
14.12,274.931,1.0,265.74,265.7,0.997
14.13,272.446,1.0,265.877,265.836,0.998
14.14,270.728,1.0,266.014,265.973,0.998
14.15,281.18,1.0,266.152,266.111,0.999
14.16,284.273,1.0,266.29,266.249,1.0
14.17,288.356,1.0,266.429,266.388,1.001
14.18,278.392,1.0,266.568,266.528,1.001
14.19,262.4,1.0,266.708,266.668,1.002
14.2,258.0,1.0,266.849,266.808,1.003
14.21,266.687,1.0,266.99,266.949,1.003
14.22,269.277,1.0,267.132,267.091,1.004
14.23,272.614,1.0,267.274,267.233,1.005
14.24,271.833,1.0,267.417,267.376,1.005
14.25,266.669,1.0,267.56,267.519,1.006
14.26,259.951,1.0,267.704,267.663,1.007
14.27,281.784,1.0,267.849,267.807,1.008
14.28,275.876,1.0,267.994,267.952,1.008
14.29,258.486,1.0,268.139,268.098,1.009
14.3,269.101,1.0,268.285,268.244,1.01
14.31,268.533,1.0,268.432,268.39,1.01
14.32,268.872,1.0,268.579,268.537,1.011
14.33,255.65,1.0,268.727,268.685,1.012
14.34,261.471,1.0,268.875,268.833,1.013
14.35,268.866,1.0,269.024,268.982,1.013
14.36,264.273,1.0,269.173,269.131,1.014
14.37,260.569,1.0,269.323,269.281,1.015
14.38,261.43,1.0,269.473,269.431,1.015
14.39,267.0,1.0,269.624,269.582,1.016
14.4,266.859,1.0,269.776,269.733,1.017
14.41,258.868,1.0,269.928,269.885,1.017
14.42,272.391,1.0,270.08,270.038,1.018
14.43,271.167,1.0,270.233,270.191,1.019
14.44,262.307,1.0,270.387,270.344,1.02
14.45,267.821,1.0,270.541,270.498,1.02
14.46,274.552,1.0,270.695,270.652,1.021
14.47,268.901,1.0,270.85,270.807,1.022
14.48,264.581,1.0,271.006,270.963,1.022
14.49,266.835,1.0,271.162,271.119,1.023
14.5,262.334,1.0,271.318,271.275,1.024
14.51,249.384,1.0,271.475,271.432,1.025
14.52,251.365,1.0,271.633,271.589,1.025
14.53,261.773,1.0,271.791,271.747,1.026
14.54,278.416,1.0,271.949,271.906,1.027
14.55,273.416,1.0,272.108,272.065,1.027
14.56,268.295,1.0,272.268,272.224,1.028
14.57,264.478,1.0,272.428,272.384,1.029
