"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.539612
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -60.18
"Instparm: V",     -2.00
"Instparm: W",    150.58
"Instparm: X",     -3.01
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.10
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",  -1335.92
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.26
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,243.583,1.0,236.808,236.8,0.749
10.01,254.659,1.0,237.202,237.193,0.75
10.02,256.91,1.0,237.59,237.582,0.751
10.03,246.991,1.0,237.973,237.965,0.751
10.04,243.271,1.0,238.35,238.342,0.752
10.05,254.819,1.0,238.723,238.715,0.753
10.06,237.823,1.0,239.091,239.083,0.753
10.07,235.092,1.0,239.453,239.445,0.754
10.08,248.622,1.0,239.811,239.803,0.755
10.09,240.922,1.0,240.163,240.155,0.756
10.1,251.797,1.0,240.511,240.503,0.756
10.11,253.907,1.0,240.854,240.846,0.757
10.12,254.907,1.0,241.192,241.184,0.758
10.13,241.404,1.0,241.525,241.517,0.758
10.14,240.0,1.0,241.853,241.845,0.759
10.15,251.774,1.0,242.177,242.169,0.76
10.16,254.811,1.0,242.496,242.488,0.761
10.17,265.859,1.0,242.811,242.802,0.761
10.18,237.148,1.0,243.12,243.112,0.762
10.19,226.766,1.0,243.426,243.418,0.763
10.2,254.924,1.0,243.727,243.718,0.763
10.21,266.132,1.0,244.023,244.015,0.764
10.22,243.518,1.0,244.315,244.307,0.765
10.23,238.292,1.0,244.603,244.594,0.766
10.24,244.317,1.0,244.886,244.878,0.766
10.25,245.0,1.0,245.165,245.156,0.767
10.26,225.162,1.0,245.44,245.431,0.768
