"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.011797
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -31.14
"Instparm: V",     -2.00
"Instparm: W",     19.36
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.10
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -539.29
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.14
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,217.514,1.0,216.452,216.452,0.71
10.01,215.089,1.0,216.554,216.554,0.711
10.02,205.898,1.0,216.653,216.653,0.712
10.03,195.901,1.0,216.751,216.751,0.712
10.04,215.01,1.0,216.848,216.848,0.713
10.05,226.092,1.0,216.942,216.942,0.714
10.06,218.82,1.0,217.035,217.035,0.714
10.07,216.183,1.0,217.125,217.125,0.715
10.08,232.347,1.0,217.214,217.214,0.716
10.09,224.014,1.0,217.302,217.302,0.717
10.1,222.093,1.0,217.387,217.387,0.717
10.11,220.186,1.0,217.471,217.471,0.718
10.12,216.373,1.0,217.554,217.554,0.719
10.13,221.438,1.0,217.634,217.634,0.719
10.14,229.248,1.0,217.713,217.713,0.72
10.15,213.698,1.0,217.791,217.791,0.721
10.16,206.568,1.0,217.867,217.867,0.721
10.17,199.665,1.0,217.941,217.941,0.722
10.18,215.283,1.0,218.013,218.013,0.723
10.19,211.575,1.0,218.085,218.085,0.724
10.2,224.558,1.0,218.154,218.154,0.724
10.21,235.939,1.0,218.222,218.222,0.725
10.22,207.195,1.0,218.289,218.289,0.726
10.23,205.806,1.0,218.354,218.354,0.726
10.24,198.78,1.0,218.418,218.418,0.727
10.25,192.587,1.0,218.48,218.48,0.728
10.26,206.428,1.0,218.541,218.541,0.729
10.27,218.816,1.0,218.6,218.6,0.729
10.28,211.891,1.0,218.659,218.659,0.73
10.29,205.596,1.0,218.715,218.715,0.731
10.3,205.9,1.0,218.771,218.771,0.731
10.31,223.999,1.0,218.825,218.825,0.732
10.32,216.105,1.0,218.878,218.878,0.733
10.33,215.0,1.0,218.929,218.929,0.734
10.34,215.0,1.0,218.979,218.979,0.734
10.35,218.594,1.0,219.028,219.028,0.735
10.36,215.408,1.0,219.076,219.076,0.736
10.37,227.568,1.0,219.122,219.122,0.736
