"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    -76.41
"Instparm: V",    131.68
"Instparm: W",      5.00
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.09
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -656.17
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.18
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,206.822,1.0,213.209,213.209,0.711
10.01,217.016,1.0,213.061,213.061,0.712
10.02,207.077,1.0,212.914,212.914,0.712
10.03,199.631,1.0,212.768,212.768,0.713
10.04,204.457,1.0,212.622,212.622,0.714
10.05,199.545,1.0,212.477,212.477,0.715
10.06,185.367,1.0,212.333,212.333,0.715
10.07,203.987,1.0,212.19,212.19,0.716
10.08,199.643,1.0,212.047,212.047,0.717
10.09,188.107,1.0,211.905,211.905,0.717
10.1,189.722,1.0,211.763,211.763,0.718
10.11,178.208,1.0,211.622,211.622,0.719
10.12,188.787,1.0,211.482,211.482,0.719
10.13,191.813,1.0,211.343,211.343,0.72
10.14,198.342,1.0,211.204,211.204,0.721
10.15,209.868,1.0,211.066,211.066,0.722
10.16,202.852,1.0,210.929,210.929,0.722
10.17,198.38,1.0,210.792,210.792,0.723
10.18,209.76,1.0,210.656,210.656,0.724
10.19,207.383,1.0,210.521,210.521,0.724
10.2,203.384,1.0,210.386,210.386,0.725
10.21,207.518,1.0,210.253,210.253,0.726
10.22,215.225,1.0,210.119,210.119,0.727
10.23,192.527,1.0,209.987,209.987,0.727
10.24,201.732,1.0,209.855,209.855,0.728
10.25,213.825,1.0,209.724,209.724,0.729
10.26,196.064,1.0,209.594,209.594,0.729
10.27,185.888,1.0,209.464,209.464,0.73
10.28,188.604,1.0,209.335,209.335,0.731
10.29,188.099,1.0,209.207,209.207,0.732
10.3,209.607,1.0,209.079,209.079,0.732
10.31,212.0,1.0,208.953,208.953,0.733
10.32,203.004,1.0,208.826,208.826,0.734
10.33,203.798,1.0,208.701,208.701,0.734
10.34,204.899,1.0,208.576,208.576,0.735
10.35,211.289,1.0,208.452,208.452,0.736
10.36,204.815,1.0,208.329,208.329,0.736
10.37,205.795,1.0,208.206,208.206,0.737
10.38,209.59,1.0,208.084,208.084,0.738
10.39,203.721,1.0,207.963,207.963,0.739
10.4,201.207,1.0,207.842,207.842,0.739
10.41,196.519,1.0,207.723,207.723,0.74
10.42,198.688,1.0,207.603,207.603,0.741
10.43,197.209,1.0,207.485,207.485,0.741
10.44,191.629,1.0,207.367,207.367,0.742
10.45,182.947,1.0,207.25,207.25,0.743
10.46,188.261,1.0,207.134,207.134,0.744
10.47,212.246,1.0,207.018,207.018,0.744
10.48,202.488,1.0,206.903,206.903,0.745
10.49,196.533,1.0,206.789,206.789,0.746
10.5,203.144,1.0,206.676,206.676,0.746
10.51,187.041,1.0,206.563,206.563,0.747
10.52,183.216,1.0,206.451,206.451,0.748
10.53,197.269,1.0,206.339,206.339,0.749
10.54,206.132,1.0,206.229,206.229,0.749
10.55,197.198,1.0,206.119,206.119,0.75
10.56,198.672,1.0,206.009,206.009,0.751
10.57,193.658,1.0,205.901,205.901,0.751
10.58,192.11,1.0,205.793,205.793,0.752
10.59,192.89,1.0,205.686,205.686,0.753
10.6,196.557,1.0,205.579,205.579,0.753
10.61,195.222,1.0,205.474,205.474,0.754
10.62,191.446,1.0,205.369,205.369,0.755
10.63,191.888,1.0,205.264,205.264,0.756
10.64,195.551,1.0,205.161,205.161,0.756
10.65,196.0,1.0,205.058,205.058,0.757
10.66,193.339,1.0,204.956,204.956,0.758
10.67,207.185,1.0,204.854,204.854,0.758
10.68,204.569,1.0,204.753,204.753,0.759
10.69,209.315,1.0,204.653,204.653,0.76
10.7,194.063,1.0,204.554,204.554,0.761
10.71,205.275,1.0,204.455,204.455,0.761
10.72,194.615,1.0,204.357,204.357,0.762
10.73,193.884,1.0,204.26,204.26,0.763
10.74,191.348,1.0,204.164,204.164,0.763
10.75,194.534,1.0,204.068,204.068,0.764
10.76,210.896,1.0,203.973,203.973,0.765
10.77,212.117,1.0,203.878,203.878,0.766
10.78,201.412,1.0,203.784,203.784,0.766
10.79,203.528,1.0,203.691,203.691,0.767
10.8,207.526,1.0,203.599,203.599,0.768
10.81,191.257,1.0,203.508,203.508,0.768
10.82,191.642,1.0,203.417,203.417,0.769
10.83,194.641,1.0,203.327,203.327,0.77
10.84,202.04,1.0,203.237,203.237,0.771
10.85,210.917,1.0,203.148,203.148,0.771
10.86,205.845,1.0,203.06,203.06,0.772
10.87,204.121,1.0,202.973,202.973,0.773
10.88,189.945,1.0,202.886,202.886,0.773
10.89,189.756,1.0,202.801,202.801,0.774
10.9,206.676,1.0,202.715,202.715,0.775
10.91,210.755,1.0,202.631,202.631,0.775
10.92,214.508,1.0,202.547,202.547,0.776
10.93,187.828,1.0,202.464,202.464,0.777
10.94,194.513,1.0,202.382,202.382,0.778
10.95,195.124,1.0,202.3,202.3,0.778
10.96,188.873,1.0,202.219,202.219,0.779
10.97,184.5,1.0,202.139,202.139,0.78
10.98,193.62,1.0,202.059,202.059,0.78
10.99,189.755,1.0,201.98,201.98,0.781
11.0,186.379,1.0,201.902,201.902,0.782
11.01,204.34,1.0,201.825,201.825,0.783
11.02,207.0,1.0,201.748,201.748,0.783
11.03,193.912,1.0,201.672,201.672,0.784
11.04,205.955,1.0,201.597,201.597,0.785
11.05,206.256,1.0,201.522,201.522,0.785
11.06,193.801,1.0,201.448,201.448,0.786
11.07,195.484,1.0,201.375,201.375,0.787
11.08,206.447,1.0,201.303,201.303,0.788
11.09,195.818,1.0,201.231,201.231,0.788
11.1,201.828,1.0,201.16,201.16,0.789
11.11,203.869,1.0,201.09,201.09,0.79
11.12,204.869,1.0,201.02,201.02,0.79
11.13,204.131,1.0,200.951,200.951,0.791
11.14,196.187,1.0,200.883,200.883,0.792
11.15,198.471,1.0,200.815,200.815,0.792
11.16,215.48,1.0,200.749,200.749,0.793
11.17,230.137,1.0,200.683,200.683,0.794
11.18,218.135,1.0,200.617,200.617,0.795
11.19,208.205,1.0,200.552,200.552,0.795
11.2,198.343,1.0,200.488,200.488,0.796
11.21,198.731,1.0,200.425,200.425,0.797
11.22,211.109,1.0,200.363,200.363,0.797
11.23,211.271,1.0,200.301,200.301,0.798
11.24,204.087,1.0,200.24,200.24,0.799
11.25,205.591,1.0,200.179,200.179,0.8
11.26,200.82,1.0,200.119,200.119,0.8
11.27,198.274,1.0,200.06,200.06,0.801
11.28,196.275,1.0,200.002,200.002,0.802
11.29,199.448,1.0,199.944,199.944,0.802
11.3,205.17,1.0,199.887,199.887,0.803
11.31,201.694,1.0,199.831,199.831,0.804
11.32,185.505,1.0,199.776,199.776,0.805
11.33,191.604,1.0,199.721,199.721,0.805
11.34,183.54,1.0,199.667,199.667,0.806
11.35,179.421,1.0,199.613,199.613,0.807
11.36,186.733,1.0,199.56,199.56,0.807
11.37,194.87,1.0,199.508,199.508,0.808
11.38,214.884,1.0,199.457,199.457,0.809
11.39,199.983,1.0,199.406,199.406,0.809
11.4,185.852,1.0,199.356,199.356,0.81
11.41,190.857,1.0,199.307,199.307,0.811
11.42,207.421,1.0,199.259,199.259,0.812
11.43,215.138,1.0,199.211,199.211,0.812
11.44,214.288,1.0,199.164,199.164,0.813
11.45,194.324,1.0,199.117,199.117,0.814
11.46,199.55,1.0,199.071,199.071,0.814
11.47,216.383,1.0,199.026,199.026,0.815
11.48,219.854,1.0,198.982,198.982,0.816
11.49,193.532,1.0,198.938,198.938,0.817
11.5,212.041,1.0,198.895,198.895,0.817
11.51,205.765,1.0,198.853,198.853,0.818
11.52,194.622,1.0,198.811,198.811,0.819
11.53,202.373,1.0,198.771,198.771,0.819
11.54,200.593,1.0,198.73,198.73,0.82
11.55,198.297,1.0,198.691,198.691,0.821
11.56,195.447,1.0,198.652,198.652,0.822
11.57,200.953,1.0,198.614,198.614,0.822
11.58,198.6,1.0,198.577,198.577,0.823
11.59,220.089,1.0,198.54,198.54,0.824
11.6,198.525,1.0,198.504,198.504,0.824
11.61,190.605,1.0,198.468,198.468,0.825
11.62,197.635,1.0,198.434,198.434,0.826
11.63,195.608,1.0,198.4,198.4,0.826
11.64,200.085,1.0,198.367,198.367,0.827
11.65,199.306,1.0,198.334,198.334,0.828
11.66,197.307,1.0,198.302,198.302,0.829
11.67,197.846,1.0,198.271,198.271,0.829
11.68,214.069,1.0,198.24,198.24,0.83
11.69,205.165,1.0,198.21,198.21,0.831
11.7,203.845,1.0,198.181,198.181,0.831
11.71,220.89,1.0,198.153,198.153,0.832
11.72,210.495,1.0,198.125,198.125,0.833
