"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",    103.84
"Instparm: W",      5.00
"Instparm: X",      7.60
"Instparm: Y",    -18.06
"Instparm: Z",      0.00
"Instparm: SH/L",      0.05
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    274.38
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.11
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,310.247,1.0,327.612,327.612,0.711
10.01,326.301,1.0,327.917,327.917,0.712
10.02,337.102,1.0,328.218,328.218,0.712
10.03,337.09,1.0,328.514,328.514,0.713
10.04,343.367,1.0,328.806,328.806,0.714
10.05,335.817,1.0,329.094,329.094,0.715
10.06,315.914,1.0,329.377,329.377,0.715
10.07,343.98,1.0,329.655,329.655,0.716
10.08,341.551,1.0,329.93,329.93,0.717
10.09,330.107,1.0,330.2,330.2,0.717
10.1,337.167,1.0,330.466,330.466,0.718
10.11,359.77,1.0,330.728,330.728,0.719
10.12,337.518,1.0,330.986,330.986,0.719
10.13,321.404,1.0,331.239,331.239,0.72
10.14,326.342,1.0,331.489,331.489,0.721
10.15,329.717,1.0,331.735,331.735,0.722
10.16,324.568,1.0,331.976,331.976,0.722
10.17,319.475,1.0,332.214,332.214,0.723
10.18,334.378,1.0,332.448,332.448,0.724
10.19,338.713,1.0,332.678,332.678,0.724
10.2,337.192,1.0,332.905,332.905,0.725
10.21,321.64,1.0,333.127,333.127,0.726
10.22,308.259,1.0,333.346,333.346,0.727
10.23,323.251,1.0,333.561,333.561,0.727
10.24,329.512,1.0,333.773,333.773,0.728
10.25,324.587,1.0,333.981,333.981,0.729
10.26,344.74,1.0,334.185,334.185,0.729
10.27,361.422,1.0,334.386,334.386,0.73
10.28,357.594,1.0,334.583,334.583,0.731
10.29,333.583,1.0,334.777,334.777,0.732
10.3,314.795,1.0,334.967,334.967,0.732
10.31,336.398,1.0,335.154,335.154,0.733
10.32,356.991,1.0,335.338,335.338,0.734
10.33,344.613,1.0,335.519,335.519,0.734
10.34,325.023,1.0,335.696,335.696,0.735
10.35,326.594,1.0,335.869,335.869,0.736
10.36,317.121,1.0,336.04,336.04,0.736
