"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.322328
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",   -243.17
"Instparm: V",    491.34
"Instparm: W",      5.00
"Instparm: X",     19.84
"Instparm: Y",    -65.47
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,340.733,1.0,381.825,381.782,0.734
10.01,344.642,1.0,380.999,380.956,0.735
10.02,316.783,1.0,380.178,380.135,0.735
10.03,323.099,1.0,379.363,379.32,0.736
10.04,319.452,1.0,378.554,378.51,0.737
10.05,318.091,1.0,377.749,377.706,0.737
10.06,308.912,1.0,376.95,376.907,0.738
10.07,333.438,1.0,376.157,376.113,0.739
10.08,313.297,1.0,375.369,375.325,0.739
10.09,303.738,1.0,374.586,374.542,0.74
10.1,333.853,1.0,373.808,373.764,0.741
10.11,337.0,1.0,373.036,372.992,0.742
10.12,338.813,1.0,372.269,372.225,0.742
10.13,341.719,1.0,371.507,371.463,0.743
10.14,338.376,1.0,370.751,370.706,0.744
10.15,333.472,1.0,369.999,369.955,0.744
10.16,321.231,1.0,369.253,369.209,0.745
10.17,327.24,1.0,368.512,368.468,0.746
10.18,318.049,1.0,367.777,367.732,0.747
10.19,315.192,1.0,367.046,367.002,0.747
10.2,315.0,1.0,366.321,366.276,0.748
10.21,323.132,1.0,365.601,365.556,0.749
10.22,336.644,1.0,364.886,364.841,0.749
10.23,322.652,1.0,364.176,364.131,0.75
10.24,321.0,1.0,363.471,363.426,0.751
10.25,337.238,1.0,362.771,362.726,0.752
10.26,315.555,1.0,362.076,362.031,0.752
10.27,317.507,1.0,361.386,361.341,0.753
10.28,318.901,1.0,360.702,360.657,0.754
10.29,322.603,1.0,360.022,359.977,0.754
10.3,316.698,1.0,359.347,359.302,0.755
10.31,311.5,1.0,358.677,358.632,0.756
10.32,314.598,1.0,358.013,357.967,0.756
10.33,330.286,1.0,357.353,357.307,0.757
