"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.248305
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",      7.71
"Instparm: W",     38.12
"Instparm: X",      0.45
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.07
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    752.81
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,336.931,1.0,318.569,318.569,0.693
10.01,326.162,1.0,319.045,319.045,0.694
10.02,325.0,1.0,319.515,319.515,0.695
10.03,328.64,1.0,319.977,319.977,0.695
10.04,325.362,1.0,320.433,320.433,0.696
10.05,351.367,1.0,320.882,320.882,0.697
10.06,344.003,1.0,321.324,321.324,0.698
10.07,335.732,1.0,321.759,321.759,0.698
10.08,329.551,1.0,322.188,322.188,0.699
10.09,365.312,1.0,322.61,322.61,0.7
10.1,333.61,1.0,323.026,323.026,0.7
10.11,333.628,1.0,323.435,323.435,0.701
10.12,341.254,1.0,323.838,323.838,0.702
10.13,339.281,1.0,324.235,324.235,0.703
10.14,346.248,1.0,324.625,324.625,0.703
10.15,317.113,1.0,325.009,325.009,0.704
10.16,327.58,1.0,325.387,325.387,0.705
10.17,348.909,1.0,325.759,325.759,0.705
10.18,334.717,1.0,326.125,326.125,0.706
10.19,316.724,1.0,326.484,326.484,0.707
10.2,304.153,1.0,326.838,326.838,0.708
10.21,340.948,1.0,327.186,327.186,0.708
10.22,352.225,1.0,327.528,327.528,0.709
10.23,323.207,1.0,327.864,327.864,0.71
10.24,320.902,1.0,328.195,328.195,0.71
10.25,335.434,1.0,328.52,328.52,0.711
10.26,339.705,1.0,328.839,328.839,0.712
10.27,296.734,1.0,329.153,329.153,0.712
10.28,319.931,1.0,329.461,329.461,0.713
10.29,312.192,1.0,329.764,329.764,0.714
10.3,319.103,1.0,330.061,330.061,0.715
10.31,342.498,1.0,330.353,330.353,0.715
10.32,345.9,1.0,330.639,330.639,0.716
10.33,337.008,1.0,330.921,330.921,0.717
10.34,341.393,1.0,331.197,331.197,0.717
10.35,338.406,1.0,331.468,331.468,0.718
10.36,338.0,1.0,331.734,331.734,0.719
10.37,335.307,1.0,331.995,331.995,0.72
10.38,328.718,1.0,332.251,332.251,0.72
10.39,331.588,1.0,332.501,332.501,0.721
10.4,334.69,1.0,332.747,332.747,0.722
10.41,326.934,1.0,332.988,332.988,0.722
10.42,326.0,1.0,333.225,333.225,0.723
10.43,315.254,1.0,333.456,333.456,0.724
10.44,317.581,1.0,333.683,333.683,0.725
10.45,318.895,1.0,333.905,333.905,0.725
10.46,307.372,1.0,334.123,334.123,0.726
10.47,309.576,1.0,334.336,334.336,0.727
10.48,323.405,1.0,334.544,334.544,0.727
10.49,345.546,1.0,334.748,334.748,0.728
10.5,348.0,1.0,334.948,334.948,0.729
10.51,354.248,1.0,335.143,335.143,0.73
10.52,348.755,1.0,335.334,335.334,0.73
10.53,339.974,1.0,335.52,335.52,0.731
10.54,349.697,1.0,335.703,335.703,0.732
10.55,358.129,1.0,335.881,335.881,0.732
10.56,352.765,1.0,336.055,336.055,0.733
10.57,335.084,1.0,336.225,336.225,0.734
10.58,342.79,1.0,336.39,336.39,0.734
10.59,322.65,1.0,336.552,336.552,0.735
10.6,311.108,1.0,336.71,336.71,0.736
10.61,341.109,1.0,336.864,336.864,0.737
10.62,357.438,1.0,337.013,337.013,0.737
10.63,365.217,1.0,337.16,337.16,0.738
10.64,372.214,1.0,337.302,337.302,0.739
10.65,349.042,1.0,337.44,337.44,0.739
10.66,319.392,1.0,337.575,337.575,0.74
10.67,309.794,1.0,337.706,337.706,0.741
10.68,335.585,1.0,337.834,337.834,0.742
10.69,358.487,1.0,337.957,337.957,0.742
10.7,354.802,1.0,338.078,338.078,0.743
10.71,365.505,1.0,338.195,338.195,0.744
10.72,336.037,1.0,338.308,338.308,0.744
10.73,320.505,1.0,338.418,338.418,0.745
10.74,334.91,1.0,338.524,338.524,0.746
10.75,340.534,1.0,338.627,338.627,0.747
10.76,333.052,1.0,338.727,338.727,0.747
10.77,350.537,1.0,338.824,338.824,0.748
10.78,347.706,1.0,338.917,338.917,0.749
10.79,339.944,1.0,339.007,339.007,0.749
10.8,340.763,1.0,339.094,339.094,0.75
10.81,348.931,1.0,339.178,339.178,0.751
10.82,346.477,1.0,339.259,339.259,0.751
10.83,333.674,1.0,339.336,339.336,0.752
10.84,339.04,1.0,339.411,339.411,0.753
10.85,321.528,1.0,339.483,339.483,0.754
10.86,310.208,1.0,339.551,339.551,0.754
10.87,302.848,1.0,339.617,339.617,0.755
10.88,315.177,1.0,339.68,339.68,0.756
10.89,309.097,1.0,339.741,339.741,0.756
10.9,336.964,1.0,339.798,339.798,0.757
10.91,346.264,1.0,339.853,339.853,0.758
10.92,339.108,1.0,339.905,339.905,0.759
10.93,316.964,1.0,339.954,339.954,0.759
10.94,342.036,1.0,340.001,340.001,0.76
10.95,335.491,1.0,340.045,340.045,0.761
10.96,312.117,1.0,340.086,340.086,0.761
10.97,318.624,1.0,340.125,340.125,0.762
10.98,350.609,1.0,340.162,340.162,0.763
10.99,350.629,1.0,340.196,340.196,0.764
11.0,355.243,1.0,340.227,340.227,0.764
11.01,348.14,1.0,340.257,340.257,0.765
11.02,324.303,1.0,340.283,340.283,0.766
11.03,328.853,1.0,340.308,340.308,0.766
11.04,330.872,1.0,340.33,340.33,0.767
11.05,350.179,1.0,340.35,340.35,0.768
11.06,338.187,1.0,340.368,340.368,0.769
11.07,319.452,1.0,340.383,340.383,0.769
11.08,317.871,1.0,340.397,340.397,0.77
11.09,333.663,1.0,340.408,340.408,0.771
11.1,346.437,1.0,340.417,340.417,0.771
11.11,328.005,1.0,340.424,340.424,0.772
11.12,327.607,1.0,340.429,340.429,0.773
11.13,329.737,1.0,340.432,340.432,0.773
11.14,341.286,1.0,340.433,340.433,0.774
11.15,333.455,1.0,340.432,340.432,0.775
11.16,337.204,1.0,340.429,340.429,0.776
11.17,336.266,1.0,340.424,340.424,0.776
11.18,327.334,1.0,340.418,340.418,0.777
11.19,331.197,1.0,340.409,340.409,0.778
11.2,317.282,1.0,340.399,340.399,0.778
11.21,308.943,1.0,340.387,340.387,0.779
11.22,345.192,1.0,340.374,340.374,0.78
11.23,344.084,1.0,340.358,340.358,0.781
11.24,309.299,1.0,340.341,340.341,0.781
11.25,321.274,1.0,340.323,340.323,0.782
11.26,331.77,1.0,340.302,340.302,0.783
11.27,340.766,1.0,340.28,340.28,0.783
11.28,367.875,1.0,340.257,340.257,0.784
