"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.315955
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    129.03
"Instparm: V",   -162.39
"Instparm: W",     67.88
"Instparm: X",      6.28
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,327.069,1.0,377.169,377.169,0.733
10.01,324.179,1.0,376.471,376.471,0.734
10.02,329.461,1.0,375.777,375.777,0.735
10.03,324.541,1.0,375.087,375.087,0.735
10.04,337.643,1.0,374.402,374.402,0.736
10.05,330.817,1.0,373.722,373.722,0.737
10.06,311.823,1.0,373.045,373.045,0.738
10.07,305.458,1.0,372.373,372.373,0.738
10.08,317.714,1.0,371.706,371.706,0.739
10.09,308.107,1.0,371.042,371.042,0.74
10.1,316.074,1.0,370.384,370.384,0.74
10.11,327.885,1.0,369.729,369.729,0.741
10.12,308.145,1.0,369.079,369.079,0.742
10.13,319.596,1.0,368.433,368.433,0.743
10.14,327.342,1.0,367.792,367.792,0.743
10.15,337.057,1.0,367.154,367.154,0.744
10.16,345.243,1.0,366.521,366.521,0.745
10.17,334.236,1.0,365.893,365.893,0.745
10.18,320.336,1.0,365.269,365.269,0.746
10.19,334.372,1.0,364.648,364.648,0.747
10.2,321.538,1.0,364.033,364.033,0.748
10.21,340.781,1.0,363.421,363.421,0.748
10.22,345.71,1.0,362.814,362.814,0.749
10.23,334.263,1.0,362.211,362.211,0.75
10.24,315.853,1.0,361.612,361.612,0.75
10.25,325.727,1.0,361.017,361.017,0.751
10.26,327.902,1.0,360.427,360.427,0.752
10.27,332.507,1.0,359.841,359.841,0.753
10.28,332.099,1.0,359.258,359.258,0.753
10.29,328.397,1.0,358.681,358.681,0.754
10.3,331.601,1.0,358.107,358.107,0.755
10.31,323.901,1.0,357.537,357.537,0.755
10.32,296.013,1.0,356.972,356.972,0.756
10.33,301.093,1.0,356.41,356.41,0.757
10.34,311.887,1.0,355.853,355.853,0.757
10.35,343.548,1.0,355.3,355.3,0.758
10.36,338.019,1.0,354.751,354.751,0.759
10.37,326.227,1.0,354.206,354.206,0.76
10.38,326.795,1.0,353.665,353.665,0.76
10.39,324.309,1.0,353.129,353.129,0.761
10.4,324.0,1.0,352.596,352.596,0.762
10.41,332.066,1.0,352.067,352.067,0.762
10.42,336.584,1.0,351.543,351.543,0.763
10.43,327.149,1.0,351.022,351.022,0.764
10.44,316.153,1.0,350.506,350.506,0.765
10.45,337.37,1.0,349.993,349.993,0.765
10.46,315.85,1.0,349.485,349.485,0.766
10.47,322.835,1.0,348.98,348.98,0.767
10.48,336.512,1.0,348.48,348.48,0.767
10.49,325.494,1.0,347.983,347.983,0.768
10.5,346.324,1.0,347.49,347.49,0.769
10.51,319.545,1.0,347.002,347.002,0.77
10.52,328.491,1.0,346.517,346.517,0.77
10.53,319.298,1.0,346.036,346.036,0.771
10.54,320.674,1.0,345.559,345.559,0.772
10.55,306.743,1.0,345.086,345.086,0.772
10.56,307.672,1.0,344.617,344.617,0.773
10.57,316.903,1.0,344.152,344.152,0.774
10.58,313.55,1.0,343.691,343.691,0.774
10.59,315.669,1.0,343.233,343.233,0.775
10.6,335.563,1.0,342.78,342.78,0.776
10.61,341.555,1.0,342.33,342.33,0.777
10.62,334.004,1.0,341.884,341.884,0.777
10.63,344.545,1.0,341.442,341.442,0.778
10.64,325.583,1.0,341.004,341.004,0.779
10.65,311.465,1.0,340.57,340.57,0.779
10.66,317.982,1.0,340.139,340.139,0.78
10.67,325.206,1.0,339.712,339.712,0.781
10.68,337.52,1.0,339.289,339.289,0.782
10.69,351.401,1.0,338.87,338.87,0.782
10.7,341.49,1.0,338.455,338.455,0.783
10.71,311.679,1.0,338.043,338.043,0.784
10.72,306.231,1.0,337.635,337.635,0.784
10.73,321.917,1.0,337.231,337.231,0.785
10.74,358.471,1.0,336.83,336.83,0.786
10.75,363.883,1.0,336.434,336.434,0.787
10.76,338.39,1.0,336.041,336.041,0.787
10.77,342.062,1.0,335.651,335.651,0.788
10.78,321.824,1.0,335.265,335.265,0.789
10.79,324.292,1.0,334.883,334.883,0.789
10.8,337.342,1.0,334.505,334.505,0.79
10.81,337.238,1.0,334.13,334.13,0.791
10.82,320.265,1.0,333.759,333.759,0.791
10.83,325.043,1.0,333.392,333.392,0.792
10.84,326.88,1.0,333.028,333.028,0.793
10.85,336.676,1.0,332.668,332.668,0.794
10.86,336.242,1.0,332.312,332.312,0.794
10.87,350.941,1.0,331.959,331.959,0.795
10.88,331.038,1.0,331.609,331.609,0.796
10.89,349.074,1.0,331.264,331.264,0.796
10.9,344.101,1.0,330.921,330.921,0.797
10.91,314.927,1.0,330.583,330.583,0.798
10.92,322.4,1.0,330.248,330.248,0.799
10.93,317.864,1.0,329.916,329.916,0.799
10.94,320.504,1.0,329.588,329.588,0.8
10.95,308.74,1.0,329.264,329.264,0.801
10.96,329.759,1.0,328.943,328.943,0.801
10.97,337.375,1.0,328.625,328.625,0.802
10.98,358.114,1.0,328.311,328.311,0.803
10.99,353.133,1.0,328.001,328.001,0.804
11.0,338.02,1.0,327.694,327.694,0.804
11.01,328.14,1.0,327.39,327.39,0.805
11.02,310.414,1.0,327.09,327.09,0.806
11.03,331.559,1.0,326.793,326.793,0.806
11.04,352.443,1.0,326.5,326.5,0.807
11.05,347.154,1.0,326.21,326.21,0.808
11.06,330.315,1.0,325.924,325.924,0.808
11.07,330.613,1.0,325.641,325.641,0.809
11.08,327.518,1.0,325.362,325.362,0.81
11.09,323.519,1.0,325.085,325.085,0.811
11.1,329.958,1.0,324.813,324.813,0.811
11.11,332.739,1.0,324.543,324.543,0.812
11.12,333.0,1.0,324.277,324.277,0.813
11.13,357.32,1.0,324.014,324.014,0.813
11.14,332.351,1.0,323.755,323.755,0.814
11.15,334.074,1.0,323.499,323.499,0.815
11.16,334.133,1.0,323.246,323.246,0.816
11.17,333.133,1.0,322.997,322.997,0.816
11.18,334.733,1.0,322.751,322.751,0.817
11.19,309.882,1.0,322.508,322.508,0.818
11.2,312.926,1.0,322.268,322.268,0.818
11.21,337.364,1.0,322.032,322.032,0.819
11.22,327.161,1.0,321.799,321.799,0.82
11.23,336.239,1.0,321.569,321.569,0.821
11.24,363.059,1.0,321.343,321.343,0.821
11.25,353.181,1.0,321.12,321.12,0.822
11.26,350.137,1.0,320.9,320.9,0.823
11.27,349.137,1.0,320.683,320.683,0.823
11.28,311.913,1.0,320.469,320.469,0.824
11.29,320.655,1.0,320.259,320.259,0.825
11.3,341.957,1.0,320.052,320.052,0.825
11.31,341.555,1.0,319.848,319.848,0.826
11.32,336.696,1.0,319.647,319.647,0.827
11.33,342.883,1.0,319.449,319.449,0.828
11.34,345.72,1.0,319.255,319.255,0.828
11.35,341.702,1.0,319.063,319.063,0.829
11.36,350.451,1.0,318.875,318.875,0.83
11.37,364.023,1.0,318.69,318.69,0.83
11.38,351.408,1.0,318.508,318.508,0.831
11.39,355.006,1.0,318.329,318.329,0.832
11.4,340.564,1.0,318.153,318.153,0.833
11.41,331.143,1.0,317.981,317.981,0.833
11.42,333.427,1.0,317.811,317.811,0.834
11.43,337.425,1.0,317.644,317.644,0.835
11.44,341.424,1.0,317.481,317.481,0.835
11.45,347.988,1.0,317.32,317.32,0.836
11.46,364.391,1.0,317.163,317.163,0.837
11.47,342.216,1.0,317.009,317.009,0.838
11.48,331.166,1.0,316.857,316.857,0.838
11.49,333.415,1.0,316.709,316.709,0.839
11.5,339.974,1.0,316.564,316.564,0.84
11.51,325.647,1.0,316.421,316.421,0.84
11.52,322.147,1.0,316.282,316.282,0.841
11.53,329.669,1.0,316.146,316.146,0.842
11.54,321.631,1.0,316.012,316.012,0.842
11.55,333.62,1.0,315.882,315.882,0.843
11.56,332.597,1.0,315.754,315.754,0.844
11.57,337.953,1.0,315.63,315.63,0.845
11.58,327.1,1.0,315.508,315.508,0.845
11.59,329.248,1.0,315.389,315.389,0.846
11.6,328.302,1.0,315.274,315.274,0.847
11.61,322.059,1.0,315.161,315.161,0.847
