"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.746648
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",    -19.61
"Instparm: W",     45.65
"Instparm: X",      7.16
"Instparm: Y",    -16.14
"Instparm: Z",      0.00
"Instparm: SH/L",     -0.09
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -648.58
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,355.466,1.0,381.403,381.403,0.764
10.01,331.414,1.0,380.558,380.558,0.765
10.02,307.154,1.0,379.719,379.719,0.765
10.03,289.532,1.0,378.886,378.886,0.766
10.04,321.653,1.0,378.058,378.058,0.767
10.05,317.726,1.0,377.236,377.236,0.767
10.06,325.18,1.0,376.419,376.419,0.768
10.07,328.725,1.0,375.607,375.607,0.769
10.08,324.459,1.0,374.802,374.802,0.77
10.09,313.107,1.0,374.001,374.001,0.77
10.1,308.37,1.0,373.207,373.207,0.771
10.11,316.164,1.0,372.417,372.417,0.772
10.12,319.72,1.0,371.633,371.633,0.772
10.13,342.659,1.0,370.855,370.855,0.773
10.14,358.59,1.0,370.082,370.082,0.774
10.15,356.377,1.0,369.314,369.314,0.775
10.16,329.746,1.0,368.551,368.551,0.775
10.17,335.145,1.0,367.794,367.794,0.776
10.18,353.187,1.0,367.043,367.043,0.777
10.19,348.67,1.0,366.296,366.296,0.777
10.2,316.364,1.0,365.555,365.555,0.778
10.21,328.36,1.0,364.82,364.82,0.779
10.22,326.387,1.0,364.089,364.089,0.779
10.23,321.486,1.0,363.364,363.364,0.78
10.24,324.61,1.0,362.644,362.644,0.781
10.25,310.566,1.0,361.929,361.929,0.782
10.26,338.757,1.0,361.219,361.219,0.782
10.27,321.268,1.0,360.515,360.515,0.783
10.28,309.99,1.0,359.816,359.816,0.784
10.29,301.795,1.0,359.122,359.122,0.784
10.3,331.61,1.0,358.433,358.433,0.785
10.31,338.6,1.0,357.749,357.749,0.786
10.32,329.105,1.0,357.07,357.07,0.787
10.33,324.403,1.0,356.397,356.397,0.787
10.34,310.517,1.0,355.728,355.728,0.788
10.35,326.969,1.0,355.065,355.065,0.789
10.36,323.611,1.0,354.407,354.407,0.789
10.37,305.943,1.0,353.753,353.753,0.79
10.38,305.795,1.0,353.105,353.105,0.791
10.39,323.94,1.0,352.462,352.462,0.792
10.4,317.93,1.0,351.823,351.823,0.792
10.41,317.0,1.0,351.19,351.19,0.793
10.42,325.063,1.0,350.562,350.562,0.794
10.43,330.478,1.0,349.938,349.938,0.794
10.44,306.83,1.0,349.32,349.32,0.795
10.45,291.473,1.0,348.706,348.706,0.796
10.46,299.839,1.0,348.097,348.097,0.796
10.47,313.517,1.0,347.494,347.494,0.797
10.48,322.15,1.0,346.895,346.895,0.798
10.49,324.787,1.0,346.301,346.301,0.799
10.5,326.786,1.0,345.711,345.711,0.799
10.51,323.43,1.0,345.127,345.127,0.8
10.52,322.108,1.0,344.547,344.547,0.801
10.53,330.918,1.0,343.972,343.972,0.801
10.54,313.279,1.0,343.402,343.402,0.802
10.55,308.327,1.0,342.837,342.837,0.803
10.56,337.393,1.0,342.276,342.276,0.804
10.57,337.439,1.0,341.721,341.721,0.804
10.58,344.12,1.0,341.169,341.169,0.805
10.59,307.638,1.0,340.623,340.623,0.806
10.6,313.67,1.0,340.081,340.081,0.806
10.61,333.665,1.0,339.544,339.544,0.807
10.62,333.335,1.0,339.012,339.012,0.808
10.63,310.798,1.0,338.484,338.484,0.809
10.64,314.214,1.0,337.961,337.961,0.809
10.65,324.76,1.0,337.442,337.442,0.81
10.66,308.261,1.0,336.929,336.929,0.811
10.67,313.979,1.0,336.419,336.419,0.811
10.68,312.341,1.0,335.914,335.914,0.812
10.69,307.571,1.0,335.414,335.414,0.813
10.7,314.969,1.0,334.919,334.919,0.813
10.71,316.885,1.0,334.427,334.427,0.814
10.72,325.846,1.0,333.941,333.941,0.815
10.73,320.81,1.0,333.459,333.459,0.816
10.74,320.884,1.0,332.981,332.981,0.816
10.75,316.583,1.0,332.508,332.508,0.817
10.76,334.545,1.0,332.039,332.039,0.818
10.77,353.772,1.0,331.575,331.575,0.818
10.78,345.412,1.0,331.115,331.115,0.819
