"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",   -690.97
"Instparm: V",    210.88
"Instparm: W",     26.60
"Instparm: X",      0.00
"Instparm: Y",     14.79
"Instparm: Z",      0.00
"Instparm: SH/L",      0.03
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    392.87
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,356.287,1.0,322.466,322.466,0.711
10.01,325.129,1.0,322.497,322.497,0.712
10.02,328.372,1.0,322.527,322.527,0.712
10.03,343.558,1.0,322.559,322.559,0.713
10.04,378.653,1.0,322.591,322.591,0.714
10.05,375.636,1.0,322.624,322.624,0.715
10.06,335.011,1.0,322.658,322.658,0.715
10.07,334.634,1.0,322.693,322.693,0.716
10.08,332.276,1.0,322.728,322.728,0.717
10.09,328.369,1.0,322.764,322.764,0.717
10.1,343.426,1.0,322.8,322.8,0.718
10.11,331.394,1.0,322.837,322.837,0.719
10.12,353.575,1.0,322.875,322.875,0.719
10.13,335.153,1.0,322.914,322.914,0.72
10.14,343.872,1.0,322.953,322.953,0.721
10.15,346.811,1.0,322.993,322.993,0.722
10.16,343.379,1.0,323.034,323.034,0.722
10.17,342.095,1.0,323.076,323.076,0.723
10.18,360.092,1.0,323.118,323.118,0.724
10.19,357.479,1.0,323.161,323.161,0.724
10.2,334.403,1.0,323.205,323.205,0.725
10.21,333.807,1.0,323.249,323.249,0.726
10.22,328.581,1.0,323.294,323.294,0.727
10.23,341.542,1.0,323.34,323.34,0.727
10.24,343.902,1.0,323.387,323.387,0.728
10.25,321.448,1.0,323.434,323.434,0.729
10.26,343.347,1.0,323.482,323.482,0.729
10.27,324.367,1.0,323.531,323.531,0.73
10.28,324.703,1.0,323.58,323.58,0.731
10.29,361.026,1.0,323.63,323.63,0.732
10.3,363.199,1.0,323.681,323.681,0.732
10.31,368.4,1.0,323.733,323.733,0.733
10.32,379.795,1.0,323.785,323.785,0.734
10.33,350.427,1.0,323.838,323.838,0.734
10.34,353.292,1.0,323.892,323.892,0.735
10.35,367.477,1.0,323.946,323.946,0.736
10.36,361.815,1.0,324.002,324.002,0.736
10.37,353.818,1.0,324.057,324.057,0.737
10.38,359.282,1.0,324.114,324.114,0.738
10.39,343.854,1.0,324.172,324.172,0.739
10.4,335.723,1.0,324.23,324.23,0.739
10.41,336.793,1.0,324.288,324.288,0.74
10.42,345.063,1.0,324.348,324.348,0.741
10.43,341.522,1.0,324.408,324.408,0.741
