"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.777711
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",    553.85
"Instparm: W",      5.00
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",   -688.13
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.14
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,342.02,1.0,263.6,263.6,0.766
10.01,343.911,1.0,263.888,263.888,0.767
10.02,347.641,1.0,264.177,264.177,0.768
10.03,359.829,1.0,264.466,264.466,0.768
10.04,330.985,1.0,264.755,264.755,0.769
10.05,311.635,1.0,265.045,265.045,0.77
10.06,319.088,1.0,265.334,265.334,0.77
10.07,333.627,1.0,265.624,265.624,0.771
10.08,336.816,1.0,265.915,265.915,0.772
10.09,334.277,1.0,266.205,266.205,0.772
10.1,356.686,1.0,266.496,266.496,0.773
10.11,351.743,1.0,266.787,266.787,0.774
10.12,319.264,1.0,267.078,267.078,0.775
10.13,324.157,1.0,267.37,267.37,0.775
10.14,326.812,1.0,267.662,267.662,0.776
10.15,311.604,1.0,267.954,267.954,0.777
10.16,323.58,1.0,268.246,268.246,0.777
10.17,326.81,1.0,268.539,268.539,0.778
10.18,327.905,1.0,268.832,268.832,0.779
10.19,322.575,1.0,269.125,269.125,0.78
10.2,343.693,1.0,269.418,269.418,0.78
10.21,336.061,1.0,269.712,269.712,0.781
10.22,329.581,1.0,270.006,270.006,0.782
10.23,324.486,1.0,270.3,270.3,0.782
10.24,347.464,1.0,270.595,270.595,0.783
10.25,357.217,1.0,270.889,270.889,0.784
10.26,333.653,1.0,271.184,271.184,0.785
10.27,322.888,1.0,271.48,271.48,0.785
10.28,321.099,1.0,271.775,271.775,0.786
10.29,337.212,1.0,272.071,272.071,0.787
10.3,337.199,1.0,272.367,272.367,0.787
10.31,321.701,1.0,272.663,272.663,0.788
10.32,343.389,1.0,272.96,272.96,0.789
10.33,319.923,1.0,273.256,273.256,0.789
10.34,332.28,1.0,273.553,273.553,0.79
10.35,331.305,1.0,273.851,273.851,0.791
10.36,319.325,1.0,274.148,274.148,0.792
10.37,292.863,1.0,274.446,274.446,0.792
10.38,313.332,1.0,274.744,274.744,0.793
10.39,319.588,1.0,275.042,275.042,0.794
10.4,310.137,1.0,275.341,275.341,0.794
10.41,331.407,1.0,275.64,275.64,0.795
10.42,346.543,1.0,275.939,275.939,0.796
10.43,332.776,1.0,276.238,276.238,0.797
10.44,331.895,1.0,276.538,276.538,0.797
10.45,342.738,1.0,276.838,276.838,0.798
10.46,327.9,1.0,277.138,277.138,0.799
10.47,317.953,1.0,277.438,277.438,0.799
10.48,323.256,1.0,277.748,277.739,0.8
10.49,332.04,1.0,278.049,278.039,0.801
10.5,307.997,1.0,278.35,278.341,0.802
10.51,311.248,1.0,278.651,278.642,0.802
10.52,312.0,1.0,278.953,278.943,0.803
10.53,339.647,1.0,279.255,279.245,0.804
10.54,326.062,1.0,279.561,279.547,0.804
10.55,317.762,1.0,279.864,279.85,0.805
10.56,335.705,1.0,280.166,280.152,0.806
10.57,347.794,1.0,280.469,280.455,0.806
10.58,343.66,1.0,280.772,280.758,0.807
10.59,343.0,1.0,281.075,281.061,0.808
10.6,329.662,1.0,281.379,281.365,0.809
10.61,330.666,1.0,281.683,281.669,0.809
10.62,327.446,1.0,281.987,281.973,0.81
