"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.007705
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",    437.79
"Instparm: V",   -437.05
"Instparm: W",    143.46
"Instparm: X",     10.56
"Instparm: Y",    -10.81
"Instparm: Z",      0.00
"Instparm: SH/L",      0.03
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",    377.11
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,312.178,1.0,371.271,371.202,0.712
10.01,299.252,1.0,370.369,370.3,0.712
10.02,325.307,1.0,369.473,369.404,0.713
10.03,325.27,1.0,368.582,368.513,0.714
10.04,311.357,1.0,367.698,367.629,0.714
10.05,301.817,1.0,366.819,366.75,0.715
10.06,331.901,1.0,365.946,365.877,0.716
10.07,315.013,1.0,365.079,365.009,0.716
10.08,301.194,1.0,364.218,364.148,0.717
10.09,324.51,1.0,363.362,363.292,0.718
10.1,329.722,1.0,362.512,362.442,0.719
10.11,321.836,1.0,361.668,361.598,0.719
10.12,316.466,1.0,360.829,360.759,0.72
10.13,322.345,1.0,359.996,359.926,0.721
10.14,310.316,1.0,359.169,359.099,0.721
10.15,298.132,1.0,358.347,358.277,0.722
10.16,300.621,1.0,357.531,357.461,0.723
10.17,299.19,1.0,356.721,356.65,0.724
10.18,285.431,1.0,355.916,355.845,0.724
10.19,299.372,1.0,355.117,355.046,0.725
10.2,315.462,1.0,354.323,354.252,0.726
10.21,298.929,1.0,353.535,353.464,0.726
10.22,329.514,1.0,352.752,352.681,0.727
10.23,283.345,1.0,351.975,351.904,0.728
10.24,317.708,1.0,351.203,351.132,0.729
10.25,325.608,1.0,350.437,350.366,0.729
10.26,318.786,1.0,349.676,349.605,0.73
10.27,290.959,1.0,348.921,348.849,0.731
10.28,282.594,1.0,348.171,348.099,0.731
10.29,292.808,1.0,347.426,347.355,0.732
10.3,288.598,1.0,346.687,346.615,0.733
10.31,313.198,1.0,345.953,345.881,0.733
10.32,298.009,1.0,345.225,345.153,0.734
10.33,313.984,1.0,344.501,344.429,0.735
10.34,307.012,1.0,343.784,343.712,0.736
10.35,287.132,1.0,343.071,342.999,0.736
10.36,292.185,1.0,342.364,342.291,0.737
10.37,319.035,1.0,341.662,341.589,0.738
10.38,330.076,1.0,340.965,340.892,0.738
10.39,324.721,1.0,340.273,340.201,0.739
10.4,312.344,1.0,339.587,339.514,0.74
10.41,309.207,1.0,338.906,338.833,0.741
10.42,308.104,1.0,338.23,338.157,0.741
10.43,301.731,1.0,337.559,337.486,0.742
10.44,316.218,1.0,336.893,336.82,0.743
10.45,328.738,1.0,336.232,336.159,0.743
