"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.146106
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -6.80
"Instparm: W",     56.23
"Instparm: X",      2.71
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.02
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.07
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,324.623,1.0,316.196,316.196,0.721
10.01,332.195,1.0,316.487,316.487,0.722
10.02,345.743,1.0,316.775,316.775,0.723
10.03,313.334,1.0,317.057,317.057,0.723
10.04,319.095,1.0,317.336,317.336,0.724
10.05,321.818,1.0,317.61,317.61,0.725
10.06,304.732,1.0,317.88,317.88,0.726
10.07,318.444,1.0,318.146,318.146,0.726
10.08,318.184,1.0,318.408,318.408,0.727
10.09,329.801,1.0,318.665,318.665,0.728
10.1,316.481,1.0,318.919,318.919,0.728
10.11,313.186,1.0,319.168,319.168,0.729
10.12,347.456,1.0,319.413,319.413,0.73
10.13,352.813,1.0,319.655,319.655,0.731
10.14,324.007,1.0,319.892,319.892,0.731
10.15,310.132,1.0,320.126,320.126,0.732
10.16,311.716,1.0,320.355,320.355,0.733
10.17,315.62,1.0,320.581,320.581,0.733
10.18,319.618,1.0,320.803,320.803,0.734
10.19,327.234,1.0,321.022,321.022,0.735
10.2,309.922,1.0,321.236,321.236,0.735
10.21,301.675,1.0,321.447,321.447,0.736
10.22,310.935,1.0,321.655,321.655,0.737
10.23,307.486,1.0,321.858,321.858,0.738
10.24,311.512,1.0,322.058,322.058,0.738
10.25,311.098,1.0,322.255,322.255,0.739
10.26,308.295,1.0,322.448,322.448,0.74
10.27,301.69,1.0,322.638,322.638,0.74
10.28,321.723,1.0,322.824,322.824,0.741
10.29,342.013,1.0,323.007,323.007,0.742
