"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero", -0.194302
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",     40.77
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.06
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",     75.14
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10.0,327.555,1.0,339.296,339.281,0.725
10.01,318.894,1.0,339.159,339.144,0.725
10.02,312.539,1.0,339.023,339.008,0.726
10.03,326.558,1.0,338.887,338.873,0.727
10.04,354.377,1.0,338.753,338.738,0.728
10.05,342.453,1.0,338.619,338.605,0.728
10.06,335.547,1.0,338.487,338.472,0.729
10.07,322.281,1.0,338.355,338.34,0.73
10.08,340.979,1.0,338.224,338.209,0.73
10.09,333.014,1.0,338.094,338.079,0.731
10.1,314.759,1.0,337.965,337.95,0.732
10.11,302.115,1.0,337.836,337.822,0.733
10.12,321.855,1.0,337.709,337.694,0.733
10.13,335.783,1.0,337.582,337.568,0.734
10.14,306.195,1.0,337.456,337.442,0.735
10.15,308.434,1.0,337.331,337.317,0.735
10.16,329.822,1.0,337.207,337.193,0.736
10.17,334.715,1.0,337.084,337.07,0.737
10.18,333.191,1.0,336.962,336.947,0.737
10.19,335.713,1.0,336.84,336.826,0.738
10.2,335.096,1.0,336.72,336.705,0.739
10.21,317.833,1.0,336.6,336.585,0.74
10.22,321.419,1.0,336.481,336.467,0.74
10.23,346.376,1.0,336.363,336.349,0.741
10.24,318.317,1.0,336.246,336.232,0.742
10.25,307.783,1.0,336.13,336.115,0.742
10.26,344.873,1.0,336.015,336.0,0.743
10.27,336.381,1.0,335.9,335.886,0.744
10.28,346.713,1.0,335.787,335.772,0.745
10.29,329.086,1.0,335.674,335.659,0.745
10.3,306.293,1.0,335.562,335.547,0.746
10.31,318.399,1.0,335.451,335.436,0.747
10.32,339.79,1.0,335.341,335.326,0.747
10.33,333.907,1.0,335.232,335.217,0.748
10.34,333.0,1.0,335.124,335.109,0.749
10.35,350.969,1.0,335.016,335.001,0.75
10.36,321.566,1.0,334.91,334.895,0.75
10.37,307.227,1.0,334.804,334.789,0.751
10.38,326.64,1.0,334.699,334.684,0.752
10.39,312.854,1.0,334.595,334.581,0.752
10.4,312.793,1.0,334.492,334.478,0.753
10.41,330.926,1.0,334.39,334.375,0.754
10.42,338.375,1.0,334.289,334.274,0.755
10.43,324.671,1.0,334.189,334.174,0.755
10.44,330.161,1.0,334.089,334.074,0.756
10.45,353.37,1.0,333.991,333.976,0.757
10.46,347.95,1.0,333.893,333.878,0.757
10.47,348.788,1.0,333.796,333.781,0.758
10.48,351.681,1.0,333.7,333.685,0.759
10.49,334.134,1.0,333.605,333.59,0.759
10.5,340.037,1.0,333.511,333.496,0.76
10.51,317.793,1.0,333.418,333.403,0.761
10.52,323.03,1.0,333.326,333.311,0.762
10.53,331.135,1.0,333.234,333.219,0.762
10.54,344.48,1.0,333.144,333.129,0.763
10.55,338.871,1.0,333.054,333.039,0.764
